Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,28.74,29.17,27.889999,27.969999,124600,27.969999
2016-01-22,28.92,29.34,28.549999,28.959999,194100,28.959999
2016-01-21,28.700001,29.98,28.040001,28.559999,205400,28.559999
2016-01-20,27.530001,28.780001,27.09,28.59,209400,28.59
2016-01-19,28.940001,29.01,27.530001,27.90,191100,27.90
2016-01-15,28.23,28.709999,28.07,28.709999,182000,28.709999
2016-01-14,28.76,29.35,28.52,29.049999,154500,29.049999
2016-01-13,29.549999,29.68,28.389999,28.59,98100,28.59
2016-01-12,29.57,29.83,28.77,29.42,160100,29.42
2016-01-11,29.639999,29.639999,29.00,29.389999,185900,29.389999
2016-01-08,29.98,30.110001,29.450001,29.530001,154300,29.530001
2016-01-07,30.08,30.290001,29.77,29.91,120500,29.91
2016-01-06,30.83,31.309999,30.559999,30.690001,171800,30.690001
2016-01-05,31.379999,31.450001,30.99,31.34,90900,31.34
2016-01-04,31.940001,32.189999,31.17,31.35,175500,31.35
2015-12-31,32.459999,34.709999,32.189999,32.509998,193700,32.509998
2015-12-30,32.779999,32.900002,32.400002,32.529999,111500,32.529999
2015-12-29,32.509998,32.900002,32.369999,32.77,107600,32.77
2015-12-28,32.34,32.549999,31.83,32.360001,119100,32.360001
2015-12-24,32.470001,33.310001,32.32,32.43,60600,32.43
2015-12-23,32.119999,32.610001,32.119999,32.349998,109200,32.349998
2015-12-22,31.83,32.060001,31.290001,31.99,192400,31.99
2015-12-21,31.639999,32.169998,31.469999,31.75,188500,31.75
2015-12-18,32.740002,32.900002,30.940001,31.48,641200,31.48
2015-12-17,33.380001,33.419998,32.82,32.950001,249700,32.950001
2015-12-16,32.900002,33.459999,32.73,33.32,122400,33.32
2015-12-15,32.48,32.98,32.439999,32.720001,125900,32.720001
2015-12-14,32.299999,32.549999,31.93,32.27,197100,32.27
2015-12-11,32.450001,32.990002,32.09,32.349998,236200,32.349998
2015-12-10,33.27,33.610001,32.77,33.299999,195900,33.159999
2015-12-09,33.93,34.200001,33.259998,33.310001,361400,33.169959
2015-12-08,34.32,34.650002,33.740002,34.099998,181900,33.956635
2015-12-07,35.610001,35.610001,34.509998,34.669998,175000,34.524238
2015-12-04,35.299999,35.77,35.240002,35.650002,102100,35.500121
2015-12-03,36.240002,36.959999,35.220001,35.330002,168000,35.181467
2015-12-02,36.549999,36.73,35.950001,36.049999,104900,35.898437
2015-12-01,36.380001,36.830002,36.16,36.639999,178400,36.485957
2015-11-30,35.869999,36.349998,35.560001,36.220001,198300,36.067725
2015-11-27,35.91,36.139999,35.73,35.84,86300,35.689321
2015-11-25,35.439999,36.07,35.209999,35.93,131500,35.778943
2015-11-24,35.09,35.450001,34.939999,35.389999,137700,35.241212
2015-11-23,35.07,35.52,34.919998,35.349998,85900,35.20138
2015-11-20,35.549999,35.720001,35.00,35.200001,113000,35.052012
2015-11-19,35.029999,35.380001,34.990002,35.34,109100,35.191423
2015-11-18,34.599998,35.200001,34.299999,35.119999,198100,34.972347
