Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,14.83,14.95,14.09,14.43,40400,14.43
2016-01-22,14.79,14.97,14.61,14.90,86600,14.90
2016-01-21,14.36,14.68,13.925,14.53,49300,14.53
2016-01-20,14.34,14.72,13.79,14.29,84600,14.29
2016-01-19,14.78,14.78,14.225,14.52,54000,14.52
2016-01-15,14.19,14.74,13.945,14.70,90800,14.70
2016-01-14,13.93,14.70,13.74,14.52,76000,14.52
2016-01-13,14.55,14.55,13.76,13.89,120600,13.89
2016-01-12,14.03,14.90,13.81,14.48,208200,14.48
2016-01-11,13.85,14.06,13.55,13.97,56500,13.97
2016-01-08,14.05,14.24,13.81,13.86,58500,13.86
2016-01-07,14.40,14.44,13.91,14.01,71700,14.01
2016-01-06,14.49,14.86,14.43,14.64,53300,14.64
2016-01-05,14.29,14.80,14.13,14.75,70800,14.75
2016-01-04,15.00,15.20,14.085,14.23,153100,14.23
2015-12-31,14.85,15.65,14.64,15.16,74600,15.16
2015-12-30,14.64,15.00,14.55,14.88,101800,14.88
2015-12-29,14.53,14.85,14.48,14.70,56600,14.70
2015-12-28,14.42,14.66,14.42,14.50,68200,14.50
2015-12-24,14.62,14.81,14.40,14.43,69200,14.43
2015-12-23,14.85,14.99,14.35,14.58,108700,14.58
2015-12-22,14.70,15.08,14.32,14.87,125900,14.87
2015-12-21,15.50,15.615,14.67,14.76,136800,14.76
2015-12-18,15.06,15.602,15.02,15.29,212200,15.29
2015-12-17,15.12,15.45,14.885,15.15,108200,15.15
2015-12-16,15.36,15.42,14.97,15.10,87500,15.10
2015-12-15,15.12,15.69,14.88,15.21,146000,15.21
2015-12-14,14.28,15.18,14.28,14.99,163200,14.99
2015-12-11,15.38,15.46,14.28,14.36,199800,14.36
2015-12-10,15.80,16.040001,15.51,15.54,101900,15.54
2015-12-09,15.81,16.049999,15.60,15.84,64800,15.84
2015-12-08,15.78,15.91,15.51,15.83,34100,15.83
2015-12-07,16.200001,16.200001,15.80,15.94,47800,15.94
2015-12-04,16.02,16.264999,15.715,16.200001,64500,16.200001
2015-12-03,16.48,16.59,15.878,16.049999,63400,16.049999
2015-12-02,16.16,16.629999,16.01,16.389999,50300,16.389999
2015-12-01,16.48,16.584999,16.059999,16.290001,36900,16.290001
2015-11-30,16.75,16.84,16.379999,16.379999,96400,16.379999
2015-11-27,16.73,16.969999,16.42,16.83,41800,16.83
2015-11-25,16.26,16.690001,16.118,16.66,64300,16.66
2015-11-24,15.95,16.280001,15.89,16.219999,36400,16.219999
2015-11-23,15.73,16.08,15.62,16.030001,71200,16.030001
2015-11-20,15.80,15.98,15.47,15.80,119300,15.80
2015-11-19,15.81,15.88,15.50,15.70,86900,15.70
2015-11-18,15.41,15.90,15.28,15.81,170100,15.81
2015-11-17,15.51,15.58,15.05,15.41,167900,15.41
2015-11-16,15.51,15.68,14.98,15.45,108300,15.45
2015-11-13,15.20,15.76,15.051,15.44,84100,15.44
2015-11-12,15.17,15.53,15.04,15.27,83300,15.27
2015-11-11,15.16,15.28,14.79,15.23,65500,15.23
2015-11-10,14.64,15.32,14.64,15.08,97100,15.08
2015-11-09,15.59,15.59,14.65,14.81,242500,14.81
2015-11-06,15.23,15.686,15.03,15.63,59700,15.63
2015-11-05,15.49,15.50,14.87,15.25,148000,15.25
2015-11-04,16.49,16.676001,15.354,15.50,504100,15.50
2015-11-03,16.200001,17.200001,15.96,17.049999,408500,17.049999
2015-11-02,15.13,16.08,15.09,15.94,180100,15.94
2015-10-30,15.10,15.19,14.82,15.10,188600,15.10
2015-10-29,15.50,15.60,15.01,15.14,135600,15.14
2015-10-28,14.47,15.63,14.315,15.61,180600,15.61
2015-10-27,15.00,15.07,14.115,14.48,534300,14.48
