Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,24.40,24.615,24.40,24.52,19600,24.52
2016-01-22,24.549999,24.625,24.389999,24.389999,72000,24.389999
2016-01-21,23.52,23.91,23.51,23.76,57600,23.76
2016-01-20,24.290001,24.290001,23.530001,23.74,50200,23.74
2016-01-19,25.41,25.41,24.530001,24.610001,40500,24.610001
2016-01-15,24.74,24.780001,24.52,24.549999,34500,24.549999
2016-01-14,24.82,25.129999,24.809999,25.030001,33600,25.030001
2016-01-13,25.33,25.60,25.219999,25.25,68600,25.25
2016-01-12,25.290001,25.41,25.139999,25.299999,131200,25.299999
2016-01-11,25.309999,25.34,24.799999,25.09,121600,25.09
2016-01-08,25.77,25.77,25.49,25.49,47700,25.49
2016-01-07,25.83,25.860001,25.250999,25.76,24000,25.76
2016-01-06,26.16,26.24,26.15,26.200001,1600,26.200001
2016-01-05,26.34,26.639999,26.34,26.60,4500,26.60
2016-01-04,26.610001,26.610001,26.360001,26.48,32300,26.48
2015-12-31,27.15,27.23,27.120001,27.139999,7800,27.139999
2015-12-30,27.200001,27.50,26.77,27.190001,5200,27.190001
2015-12-29,27.200001,27.76,27.200001,27.379999,4400,27.379999
2015-12-28,27.15,27.32,27.15,27.290001,2100,27.290001
2015-12-24,27.139999,27.450001,27.139999,27.309999,148300,27.309999
2015-12-23,27.299999,27.700001,27.025,27.280001,40700,27.280001
2015-12-22,27.16,27.16,27.030001,27.09,1600,27.09
2015-12-21,27.139999,27.24,26.809999,27.030001,1400,27.030001
2015-12-18,27.17,27.17,26.905001,27.030001,17900,27.030001
2015-12-17,27.57,27.655001,27.264999,27.32,15100,27.32
2015-12-16,27.120001,27.190001,26.934999,27.16,6600,27.16
2015-12-15,26.77,26.77,26.58,26.67,44400,26.67
2015-12-14,26.290001,26.41,26.184999,26.290001,42800,26.290001
2015-12-11,26.60,26.66,26.32,26.41,15000,26.41
2015-12-10,26.90,26.98,26.83,26.879999,8800,26.879999
2015-12-09,27.200001,27.309999,27.07,27.16,31100,27.16
2015-12-08,27.059999,27.299999,27.030001,27.110001,45100,27.110001
2015-12-07,27.42,27.545,27.290001,27.440001,25700,27.440001
2015-12-04,27.379999,27.549999,27.34,27.440001,19600,27.440001
2015-12-03,27.379999,27.67,27.375,27.50,102400,27.50
2015-12-02,27.389999,27.594999,27.355,27.440001,43200,27.440001
2015-12-01,27.27,27.450001,27.27,27.40,67600,27.40
2015-11-30,26.950001,27.139999,26.924999,27.02,33300,27.02
2015-11-27,26.99,27.10,26.85,26.99,23500,26.99
2015-11-25,27.24,27.24,27.02,27.16,58000,27.16
2015-11-24,26.99,27.110001,26.98,27.049999,28700,27.049999
2015-11-23,27.33,27.41,27.33,27.35,22300,27.35
2015-11-20,27.24,27.35,27.23,27.27,33200,27.27
2015-11-19,27.01,27.290001,27.00,27.120001,34400,27.120001
2015-11-18,27.00,27.02,26.735001,26.93,27400,26.93
2015-11-17,26.950001,27.02,26.719999,26.879999,92200,26.879999
2015-11-16,26.610001,26.809999,26.549999,26.67,83500,26.67
2015-11-13,26.690001,26.76,26.57,26.610001,28600,26.610001
2015-11-12,27.00,27.190001,26.940001,27.07,70200,27.07
2015-11-11,27.049999,27.222,26.959999,27.07,63600,27.07
2015-11-10,27.049999,27.290001,26.969999,27.120001,39800,27.120001
2015-11-09,27.50,27.50,27.190001,27.33,47900,27.33
2015-11-06,27.77,27.780001,27.52,27.620001,19400,27.620001
2015-11-05,27.879999,27.950001,27.700001,27.76,2200,27.76
2015-11-04,27.889999,27.959999,27.610001,27.74,20100,27.74
2015-11-03,27.629999,27.719999,27.52,27.610001,21700,27.610001
2015-11-02,27.51,27.66,27.370001,27.49,47100,27.49
2015-10-30,27.48,27.66,27.360001,27.469999,17900,27.469999
2015-10-29,27.280001,27.434999,27.219999,27.370001,16400,27.370001
2015-10-28,27.43,27.66,27.290001,27.370001,36800,27.370001
2015-10-27,27.67,27.67,27.389999,27.49,32200,27.49
2015-10-26,27.559999,27.60,27.264999,27.440001,23200,27.440001
2015-10-23,27.49,27.50,27.173,27.379999,28900,27.379999
2015-10-22,26.90,26.93,26.695,26.83,15900,26.83
2015-10-21,27.120001,27.120001,26.780001,26.860001,35100,26.860001
2015-10-20,27.129999,27.40,26.940001,27.01,28600,27.01
2015-10-19,27.139999,27.309999,27.01,27.18,70700,27.18
2015-10-16,27.190001,27.24,26.924999,27.129999,40000,27.129999
2015-10-15,27.030001,27.200001,26.92,27.200001,43500,27.200001
2015-10-14,27.16,27.16,26.469999,26.639999,23100,26.639999
2015-10-13,27.42,27.42,26.77,26.85,22200,26.85
2015-10-12,27.040001,27.15,26.860001,27.00,19000,27.00
2015-10-09,26.93,26.969999,26.93,26.950001,1400,26.950001
2015-10-08,26.559999,26.66,26.559999,26.66,2400,26.66
2015-10-07,26.68,26.73,26.620001,26.639999,1000,26.639999
2015-10-06,26.309999,26.32,26.309999,26.32,300,26.32
2015-10-05,26.129999,26.129999,26.10,26.10,500,26.10
2015-10-02,25.43,25.68,25.43,25.639999,700,25.639999
2015-10-01,25.059999,25.059999,24.889999,24.889999,900,24.889999
2015-09-30,25.209999,25.209999,25.18,25.18,800,25.18
2015-09-29,25.379999,25.379999,25.379999,25.379999,000,25.379999
2015-09-28,25.42,25.42,25.379999,25.379999,1700,25.379999
2015-09-25,25.68,25.68,25.68,25.68,400,25.68
2015-09-24,25.27,25.59,25.27,25.389999,800,25.389999
2015-09-23,26.17,26.17,26.17,26.17,000,26.17
2015-09-22,25.98,26.17,25.93,26.17,1700,26.034
2015-09-21,26.68,26.68,26.67,26.67,300,26.531401
2015-09-18,26.90,26.940001,26.709999,26.709999,1600,26.571192
2015-09-17,26.93,26.93,26.93,26.93,500,26.79005
2015-09-16,26.65,26.73,26.65,26.73,700,26.591089
2015-09-15,26.35,26.35,26.35,26.35,300,26.213064
2015-09-14,26.26,26.290001,26.26,26.290001,800,26.153377
2015-09-11,26.40,26.40,26.40,26.40,000,26.262804
2015-09-10,26.370001,26.42,26.370001,26.40,300,26.262804
2015-09-09,26.74,26.74,26.73,26.73,300,26.591089
2015-09-08,26.860001,26.860001,26.860001,26.860001,300,26.720414
2015-09-04,26.549999,26.549999,25.93,25.940001,1100,25.805195
2015-09-03,26.379999,26.440001,26.379999,26.440001,800,26.302597
2015-09-02,26.40,26.40,26.40,26.40,100,26.262804
2015-09-01,26.48,26.49,26.48,26.49,200,26.352336
2015-08-31,27.15,27.559999,27.120001,27.139999,1100,26.998958
2015-08-28,27.290001,27.290001,27.24,27.24,300,27.098439
2015-08-27,27.379999,27.700001,27.379999,27.459999,800,27.317295
2015-08-26,26.82,26.82,26.82,26.82,000,26.680621
2015-08-25,26.860001,26.889999,26.82,26.82,1400,26.680621
2015-08-24,27.51,27.51,27.51,27.51,000,27.367036
2015-08-21,27.51,27.51,27.51,27.51,700,27.367036
2015-08-20,28.059999,28.431999,27.860001,27.860001,5000,27.715217
2015-08-19,28.65,28.65,28.639999,28.639999,400,28.491163
2015-08-18,29.10,29.10,29.10,29.10,000,28.948773
2015-08-17,29.10,29.10,29.10,29.10,000,28.948773
2015-08-14,29.10,29.700001,29.10,29.10,1300,28.948773
2015-08-13,29.370001,29.370001,29.370001,29.370001,000,29.217371
2015-08-12,29.370001,29.370001,29.370001,29.370001,000,29.217371
2015-08-11,29.42,29.43,29.370001,29.370001,3000,29.217371
2015-08-10,30.35,30.35,28.809999,29.73,6200,29.575498
2015-08-07,29.766001,29.766001,29.766001,29.766001,000,29.611313
2015-08-06,29.766001,29.766001,29.766001,29.766001,000,29.611313
2015-08-05,29.809999,29.809999,29.75,29.766001,600,29.611313
2015-08-04,29.530001,29.530001,29.530001,29.530001,000,29.376539
2015-08-03,29.530001,29.530001,29.530001,29.530001,000,29.376539
2015-07-31,29.530001,29.530001,29.530001,29.530001,400,29.376539
2015-07-30,29.309999,29.309999,29.309999,29.309999,200,29.157681
2015-07-29,29.879999,29.879999,29.879999,29.879999,000,29.724718
2015-07-28,29.879999,29.879999,29.879999,29.879999,000,29.724718
2015-07-27,29.879999,29.879999,29.879999,29.879999,100,29.724718
2015-07-24,30.030001,30.030001,30.030001,30.030001,400,29.87394
2015-07-23,30.127001,30.127001,30.127001,30.127001,000,29.970437
2015-07-22,30.127001,30.127001,30.127001,30.127001,000,29.970437
2015-07-21,30.127001,30.127001,30.127001,30.127001,000,29.970437
2015-07-20,30.127001,30.127001,30.127001,30.127001,100,29.970437
2015-07-17,30.209999,30.209999,30.209999,30.209999,300,30.053003
2015-07-16,29.92,29.92,29.92,29.92,100,29.764512
2015-07-15,29.66,29.66,29.66,29.66,300,29.505862
2015-07-14,30.951,30.951,30.951,30.951,000,30.790154
2015-07-13,30.951,30.951,30.951,30.951,000,30.790154
2015-07-10,30.951,30.951,30.951,30.951,000,30.790154
2015-07-09,30.951,30.951,30.951,30.951,000,30.790154
2015-07-08,30.951,30.951,30.951,30.951,000,30.790154
2015-07-07,30.951,30.951,30.951,30.951,000,30.790154
2015-07-06,30.951,30.951,30.951,30.951,000,30.790154
