Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,85.339996,86.459999,83.709999,83.739998,59600,83.739998
2016-01-22,83.040001,86.75,83.040001,86.629997,69800,86.629997
2016-01-21,80.748001,82.220001,79.809998,81.139999,44400,81.139999
2016-01-20,82.120003,82.18,77.93,79.809998,41400,79.809998
2016-01-19,86.040001,86.209999,83.790001,83.949997,67200,83.949997
2016-01-15,84.489998,87.370003,82.760002,85.629997,237300,85.629997
2016-01-14,85.220001,87.050003,80.394997,86.50,58800,86.50
2016-01-13,87.550003,87.550003,83.089996,83.629997,482000,83.629997
2016-01-12,89.519997,89.519997,87.00,87.160004,15500,87.160004
2016-01-11,91.639,91.790001,88.485001,89.00,11400,89.00
2016-01-08,92.50,92.945999,91.00,91.50,14300,91.50
2016-01-07,92.300003,92.980003,91.519997,91.599998,77600,91.599998
2016-01-06,91.800003,93.459999,91.57,92.970001,36400,92.970001
2016-01-05,90.93,92.730003,90.779999,92.059998,9400,92.059998
2016-01-04,91.099998,91.660004,89.50,91.139999,15100,91.139999
2015-12-31,92.199997,92.199997,91.099998,91.580002,2700,91.580002
2015-12-30,92.949997,92.949997,91.459999,91.519997,36400,91.519997
2015-12-29,94.50,94.529999,92.980003,93.099998,3700,93.099998
2015-12-28,94.550003,94.550003,92.692001,94.169998,2900,94.169998
2015-12-24,94.629997,94.690002,93.889999,94.629997,3500,94.629997
2015-12-23,91.550003,93.760002,91.510002,93.620003,8700,93.620003
2015-12-22,89.849998,91.400002,89.080002,90.93,29600,90.93
2015-12-21,91.019997,91.809998,90.059998,90.50,56900,90.50
2015-12-18,92.739998,93.050003,89.440002,90.510002,35000,90.510002
2015-12-17,93.599998,94.120003,92.709999,93.110001,23400,93.110001
2015-12-16,89.150002,92.279999,89.129997,92.230003,19300,92.230003
2015-12-15,89.519997,89.639999,87.68,88.690002,359200,88.690002
2015-12-14,89.589996,90.202003,87.949997,87.949997,37600,87.949997
2015-12-11,92.199997,92.449997,89.400002,89.400002,27800,89.400002
2015-12-10,95.720001,96.57,94.849998,94.879997,71000,92.098998
2015-12-09,96.25,97.099998,95.410004,95.559998,103700,92.759067
2015-12-08,96.910004,97.93,95.669998,95.830002,19500,93.021157
2015-12-07,98.650002,98.650002,97.00,97.870003,25400,95.001364
2015-12-04,97.540001,98.650002,97.216003,98.650002,16100,95.758501
2015-12-03,97.75,97.889999,96.00,97.230003,20400,94.380124
2015-12-02,98.82,99.269997,96.919998,97.25,132600,94.399534
2015-12-01,97.169998,98.489998,97.169998,98.260002,43100,95.379932
2015-11-30,97.300003,97.459999,96.349998,96.639999,67600,93.807413
2015-11-27,95.75,98.260002,95.75,97.169998,7700,94.321877
2015-11-25,95.339996,95.889999,95.192001,95.650002,10200,92.846433
2015-11-24,96.43,96.849998,95.43,95.809998,14100,93.001739
2015-11-23,96.139999,97.980003,95.809998,96.739998,22300,93.90448
2015-11-20,96.580002,96.739998,95.519997,95.889999,13400,93.079396
2015-11-19,95.489998,96.580002,95.120003,96.209999,38000,93.390016
2015-11-18,94.299004,95.360001,94.299004,95.360001,11100,92.564932
2015-11-17,93.239998,94.790001,92.610001,93.669998,101900,90.924465
2015-11-16,92.25,93.434998,91.449997,93.169998,28500,90.43912
2015-11-13,92.889999,92.889999,91.684998,91.699997,14900,89.012206
2015-11-12,92.239998,93.550003,92.239998,92.889999,84600,90.167328
2015-11-11,94.150002,94.349998,92.300003,92.309998,12600,89.604327
2015-11-10,100.00,100.00,93.00,93.00,49300,90.274105
2015-11-09,92.029999,95.150002,91.769997,94.900002,38300,92.118416
2015-11-06,93.099998,93.099998,91.300003,92.029999,20800,89.332535
2015-11-05,94.00,94.004997,91.589996,92.75,88600,90.031432
2015-11-04,95.339996,95.599998,93.519997,93.559998,53300,90.817688
2015-11-03,98.800003,98.800003,94.190002,94.190002,282900,91.429227
2015-11-02,99.169998,100.290001,97.669998,99.550003,49500,96.632122
2015-10-30,99.75,99.876999,98.499001,99.129997,41600,96.224427
2015-10-29,101.120003,101.190002,99.459999,99.459999,514700,96.544757
2015-10-28,101.480003,102.529999,100.739998,101.559998,59700,98.583203
2015-10-27,103.099998,103.620003,100.529999,101.169998,34700,98.204634
2015-10-26,103.849998,104.519997,102.889999,103.519997,239700,100.485753
2015-10-23,104.57,104.699997,103.349998,103.349998,60800,100.320737
2015-10-22,102.550003,104.160004,102.550003,103.900002,22900,100.854619
2015-10-21,102.82,103.07,101.900002,101.900002,207700,98.913241
2015-10-20,101.290001,103.080002,101.269997,102.57,116200,99.563601
2015-10-19,101.25,101.769997,101.029999,101.029999,69800,98.068738
2015-10-16,102.589996,102.919998,99.139999,101.150002,126300,98.185224
2015-10-15,99.459999,102.32,98.949997,102.110001,22500,99.117085
