Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,9.70,9.70,9.70,9.70,000,9.70
2016-01-22,9.70,9.70,9.70,9.70,000,9.70
2016-01-21,9.70,9.70,9.70,9.70,000,9.70
2016-01-20,9.59,9.70,9.59,9.70,11500,9.70
2016-01-19,9.61,9.61,9.56,9.57,362300,9.57
2016-01-15,9.61,9.61,9.59,9.59,5200,9.59
2016-01-14,9.79,9.79,9.79,9.79,500,9.79
2016-01-13,9.61,9.61,9.60,9.60,129100,9.60
2016-01-12,9.61,9.61,9.61,9.61,5000,9.61
2016-01-11,10.00,10.40,9.61,9.61,2800,9.61
2016-01-08,9.65,9.67,9.65,9.65,3400,9.65
2016-01-07,9.62,9.62,9.61,9.61,5100,9.61
2016-01-06,9.61,9.61,9.61,9.61,000,9.61
2016-01-05,9.61,9.61,9.61,9.61,000,9.61
2016-01-04,9.61,9.61,9.61,9.61,000,9.61
2015-12-31,9.61,9.61,9.61,9.61,000,9.61
2015-12-30,9.61,9.61,9.61,9.61,200,9.61
2015-12-29,9.61,9.61,9.50,9.59,7900,9.59
2015-12-28,9.50,9.52,9.50,9.51,1700,9.51
2015-12-24,9.61,9.61,9.61,9.61,000,9.61
2015-12-23,9.61,9.61,9.61,9.61,5100,9.61
2015-12-22,9.63,9.63,9.59,9.61,135800,9.61
2015-12-21,9.57,9.57,9.57,9.57,000,9.57
2015-12-18,9.57,9.57,9.57,9.57,300,9.57
2015-12-17,9.58,9.58,9.58,9.58,000,9.58
2015-12-16,9.58,9.58,9.58,9.58,000,9.58
2015-12-15,9.58,9.58,9.58,9.58,200000,9.58
2015-12-14,9.61,9.61,9.61,9.61,300,9.61
2015-12-11,9.77,9.77,9.77,9.77,000,9.77
2015-12-10,9.77,9.77,9.77,9.77,000,9.77
2015-12-09,9.77,9.77,9.77,9.77,000,9.77
2015-12-08,9.77,9.77,9.77,9.77,000,9.77
2015-12-07,9.77,9.77,9.77,9.77,000,9.77
2015-12-04,9.77,9.77,9.77,9.77,000,9.77
2015-12-03,9.77,9.77,9.77,9.77,000,9.77
2015-12-02,9.77,9.77,9.77,9.77,000,9.77
2015-12-01,9.77,9.77,9.77,9.77,000,9.77
2015-11-30,9.55,9.77,9.55,9.77,1400,9.77
2015-11-27,9.60,9.60,9.60,9.60,000,9.60
2015-11-25,9.60,9.60,9.60,9.60,000,9.60
2015-11-24,9.60,9.63,9.60,9.60,226400,9.60
2015-11-23,9.61,9.61,9.61,9.61,000,9.61
2015-11-20,9.61,9.61,9.61,9.61,000,9.61
2015-11-19,9.61,9.61,9.61,9.61,100,9.61
2015-11-18,9.63,9.63,9.60,9.60,45100,9.60
2015-11-17,9.60,9.75,9.58,9.63,200400,9.63
2015-11-16,9.75,9.75,9.75,9.75,000,9.75
2015-11-13,9.75,9.75,9.75,9.75,000,9.75
2015-11-12,9.75,9.75,9.75,9.75,000,9.75
2015-11-11,9.75,9.75,9.75,9.75,000,9.75
2015-11-10,9.75,9.75,9.75,9.75,000,9.75
2015-11-09,9.75,9.75,9.75,9.75,1000,9.75
2015-11-06,9.56,9.56,9.56,9.56,000,9.56
2015-11-05,9.56,9.56,9.56,9.56,000,9.56
2015-11-04,9.56,9.56,9.56,9.56,000,9.56
2015-11-03,9.56,9.56,9.56,9.56,000,9.56
2015-11-02,9.56,9.56,9.56,9.56,000,9.56
2015-10-30,9.56,9.56,9.56,9.56,000,9.56
2015-10-29,9.61,9.61,9.56,9.56,5100,9.56
2015-10-28,9.60,9.77,9.60,9.60,56100,9.60
2015-10-27,9.70,9.70,9.70,9.70,000,9.70
2015-10-26,9.70,9.70,9.70,9.70,300,9.70
2015-10-23,9.63,9.63,9.63,9.63,000,9.63
2015-10-22,9.63,9.63,9.63,9.63,000,9.63
2015-10-21,9.63,9.63,9.63,9.63,000,9.63
2015-10-20,9.63,9.63,9.63,9.63,000,9.63
2015-10-19,9.63,9.63,9.63,9.63,000,9.63
2015-10-16,9.63,9.63,9.63,9.63,000,9.63
2015-10-15,9.63,9.63,9.63,9.63,200,9.63
2015-10-14,9.63,9.63,9.63,9.63,000,9.63
2015-10-13,9.61,9.63,9.61,9.63,161000,9.63
2015-10-12,9.61,9.61,9.61,9.61,34300,9.61
2015-10-09,9.61,9.61,9.61,9.61,000,9.61
2015-10-08,9.61,9.61,9.61,9.61,000,9.61
2015-10-07,9.62,9.65,9.61,9.61,34400,9.61
2015-10-06,9.65,9.65,9.61,9.61,19200,9.61
2015-10-05,9.65,9.65,9.65,9.65,000,9.65
2015-10-02,9.65,9.65,9.65,9.65,000,9.65
2015-10-01,9.65,9.65,9.65,9.65,000,9.65
2015-09-30,9.65,9.65,9.65,9.65,000,9.65
2015-09-29,9.65,9.65,9.65,9.65,000,9.65
2015-09-28,9.65,9.65,9.65,9.65,150000,9.65
2015-09-25,9.64,9.64,9.64,9.64,100,9.64
2015-09-24,9.64,9.70,9.64,9.70,28700,9.70
2015-09-23,9.60,9.60,9.60,9.60,000,9.60
2015-09-22,9.60,9.60,9.60,9.60,100,9.60
2015-09-21,9.65,9.65,9.61,9.61,200,9.61
2015-09-18,9.61,9.61,9.61,9.61,5000,9.61
2015-09-10,9.70,9.70,9.70,9.70,6000,9.70
2015-09-09,9.70,9.70,9.70,9.70,000,9.70
2015-09-08,9.70,9.70,9.70,9.70,4000,9.70
2015-09-04,9.75,9.75,9.75,9.75,000,9.75
2015-09-03,9.75,9.75,9.75,9.75,10900,9.75
2015-09-02,9.75,9.75,9.75,9.75,000,9.75
2015-09-01,9.75,9.75,9.75,9.75,000,9.75
2015-08-31,9.75,9.75,9.75,9.75,000,9.75
2015-08-28,9.75,9.75,9.75,9.75,200,9.75
