Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,10.03,10.03,10.03,10.03,000,10.03
2016-01-22,10.03,10.03,10.03,10.03,000,10.03
2016-01-21,9.51,10.03,9.50,10.03,800,10.03
2016-01-20,8.65,10.05,8.64,10.05,2100,10.05
2016-01-19,9.85,9.85,9.85,9.85,200,9.85
2016-01-15,9.73,10.05,9.65,10.03,3800,10.03
2016-01-14,10.05,10.05,10.05,10.05,000,10.05
2016-01-13,10.04,10.05,10.04,10.05,400,10.05
2016-01-12,10.06,10.06,9.75,10.00,625200,10.00
2016-01-11,9.96,10.00,9.96,10.00,1600,10.00
2016-01-08,10.09,10.09,10.09,10.09,000,10.09
2016-01-07,10.09,10.09,10.09,10.09,000,10.09
2016-01-06,10.09,10.09,10.09,10.09,000,10.09
2016-01-05,10.15,10.15,10.003,10.09,2300,10.09
2016-01-04,10.00,10.00,10.00,10.00,8900,10.00
2015-12-31,10.00,10.00,10.00,10.00,100000,10.00
2015-12-30,10.00,10.00,10.00,10.00,000,10.00
2015-12-29,10.00,10.00,10.00,10.00,000,10.00
2015-12-28,10.00,10.00,10.00,10.00,000,10.00
2015-12-24,10.00,10.00,10.00,10.00,000,10.00
2015-12-23,10.00,10.00,10.00,10.00,254700,10.00
2015-12-22,10.01,10.27,10.00,10.27,11100,10.27
2015-12-21,10.00,10.00,10.00,10.00,000,10.00
2015-12-18,10.00,10.00,10.00,10.00,7000,10.00
2015-12-17,10.00,10.34,10.00,10.34,400,10.34
2015-12-16,10.00,10.00,10.00,10.00,600,10.00
2015-12-15,10.00,10.01,10.00,10.00,18500,10.00
2015-12-14,10.00,10.00,10.00,10.00,000,10.00
2015-12-11,10.00,10.00,10.00,10.00,12600,10.00
2015-12-10,10.00,10.00,10.00,10.00,000,10.00
2015-12-09,10.00,10.00,10.00,10.00,000,10.00
2015-12-08,10.00,10.01,10.00,10.00,77700,10.00
2015-12-07,10.00,10.00,9.99,10.00,33700,10.00
2015-12-04,10.00,10.00,10.00,10.00,18500,10.00
2015-12-03,10.01,10.01,10.00,10.00,42100,10.00
2015-12-02,10.02,10.02,10.02,10.02,000,10.02
2015-12-01,10.02,10.02,10.02,10.02,400,10.02
2015-11-30,10.15,10.15,10.15,10.15,1000,10.15
2015-11-27,10.00,10.00,10.00,10.00,326700,10.00
2015-11-25,9.96,10.00,9.95,9.96,5800,9.96
2015-11-24,9.92,10.045,9.92,10.04,1500,10.04
2015-11-23,10.24,10.24,10.24,10.24,000,10.24
2015-11-20,10.24,10.24,10.24,10.24,100,10.24
2015-11-19,10.00,10.00,10.00,10.00,000,10.00
2015-11-18,10.00,10.00,10.00,10.00,000,10.00
2015-11-17,10.00,10.00,10.00,10.00,000,10.00
2015-11-16,10.00,10.20,10.00,10.00,32600,10.00
2015-11-13,10.01,10.01,10.01,10.01,100,10.01
2015-11-12,9.95,10.01,9.94,10.00,2100,10.00
2015-11-11,10.00,10.00,10.00,10.00,000,10.00
2015-11-10,10.00,10.00,10.00,10.00,1400,10.00
2015-11-09,10.00,10.01,10.00,10.00,5000,10.00
2015-11-06,10.00,10.00,10.00,10.00,100,10.00
2015-11-05,10.14,10.14,10.14,10.14,000,10.14
2015-11-04,10.14,10.14,10.14,10.14,000,10.14
2015-11-03,10.14,10.14,10.14,10.14,000,10.14
2015-11-02,10.19,10.20,10.14,10.14,5400,10.14
2015-10-30,10.43,10.43,10.43,10.43,6800,10.43
2015-10-29,10.12,10.12,10.12,10.12,000,10.12
2015-10-28,10.12,10.12,10.12,10.12,000,10.12
2015-10-27,10.12,10.12,10.12,10.12,000,10.12
2015-10-26,10.12,10.12,10.12,10.12,000,10.12
2015-10-23,10.12,10.12,10.12,10.12,000,10.12
2015-10-22,10.12,10.12,10.12,10.12,000,10.12
2015-10-21,10.12,10.12,10.12,10.12,000,10.12
2015-10-20,10.12,10.12,10.12,10.12,000,10.12
2015-10-19,10.12,10.12,10.12,10.12,10100,10.12
2015-10-16,10.10,10.10,10.10,10.10,000,10.10
2015-10-15,10.10,10.10,10.10,10.10,000,10.10
2015-10-14,10.10,10.10,10.10,10.10,000,10.10
2015-10-13,10.10,10.10,10.10,10.10,000,10.10
2015-10-12,10.10,10.10,10.10,10.10,000,10.10
2015-10-09,10.10,10.11,10.10,10.10,600,10.10
2015-10-08,10.10,10.10,10.10,10.10,000,10.10
2015-10-07,10.10,10.10,10.10,10.10,15400,10.10
2015-10-06,10.10,10.10,10.10,10.10,15400,10.10
2015-10-05,10.09,10.09,10.09,10.09,000,10.09
2015-10-02,10.09,10.09,10.09,10.09,000,10.09
2015-10-01,10.09,10.09,10.09,10.09,000,10.09
2015-09-30,10.14,10.14,10.09,10.09,15400,10.09
2015-09-29,10.14,10.14,10.14,10.14,000,10.14
2015-09-28,10.14,10.14,10.14,10.14,14600,10.14
2015-09-25,10.15,10.15,10.15,10.15,3000,10.15
2015-09-24,10.21,10.21,10.21,10.21,000,10.21
2015-09-23,10.21,10.21,10.21,10.21,000,10.21
2015-09-22,10.21,10.21,10.21,10.21,000,10.21
2015-09-21,10.21,10.21,10.21,10.21,000,10.21
2015-09-18,10.21,10.21,10.21,10.21,200,10.21
2015-09-17,10.05,10.05,10.05,10.05,000,10.05
2015-09-16,10.05,10.05,10.05,10.05,14700,10.05
2015-09-15,10.20,10.30,10.05,10.05,3100,10.05
2015-09-14,10.45,10.45,10.01,10.19,38900,10.19
2015-09-11,10.00,10.00,10.00,10.00,000,10.00
2015-09-10,10.00,10.00,10.00,10.00,200,10.00
2015-09-09,10.01,10.01,10.01,10.01,10700,10.01
2015-09-08,10.00,10.20,10.00,10.05,500,10.05
2015-09-04,10.01,10.01,10.01,10.01,000,10.01
2015-09-03,10.01,10.01,10.01,10.01,000,10.01
2015-09-02,10.01,10.01,10.01,10.01,000,10.01
2015-09-01,10.15,10.15,10.01,10.01,700,10.01
2015-08-31,10.01,10.01,10.01,10.01,100,10.01
2015-08-28,10.03,10.03,10.03,10.03,4400,10.03
2015-08-27,10.03,10.03,10.03,10.03,1100,10.03
2015-08-26,10.15,10.15,10.02,10.03,1200,10.03
2015-08-25,10.058,10.058,10.058,10.058,8400,10.058
2015-08-24,10.15,10.15,10.00,10.02,15700,10.02
