Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,9.87,9.87,9.87,9.87,000,9.87
2016-01-22,9.87,9.87,9.87,9.87,000,9.87
2016-01-21,9.87,9.87,9.87,9.87,000,9.87
2016-01-20,9.87,9.87,9.87,9.87,000,9.87
2016-01-19,9.87,9.87,9.87,9.87,100,9.87
2016-01-15,9.82,9.82,9.82,9.82,000,9.82
2016-01-14,9.82,9.82,9.82,9.82,000,9.82
2016-01-13,9.82,9.82,9.82,9.82,000,9.82
2016-01-12,9.82,9.82,9.82,9.82,000,9.82
2016-01-11,9.82,9.82,9.82,9.82,000,9.82
2016-01-08,9.82,9.82,9.82,9.82,000,9.82
2016-01-07,9.82,9.82,9.82,9.82,000,9.82
2016-01-06,9.82,9.82,9.82,9.82,000,9.82
2016-01-05,9.82,9.82,9.82,9.82,000,9.82
2016-01-04,9.82,9.82,9.82,9.82,000,9.82
2015-12-31,9.82,9.82,9.82,9.82,000,9.82
2015-12-30,9.82,9.82,9.82,9.82,000,9.82
2015-12-29,9.82,9.82,9.82,9.82,000,9.82
2015-12-28,9.82,9.82,9.82,9.82,000,9.82
2015-12-24,9.82,9.82,9.82,9.82,100,9.82
2015-12-23,9.82,9.82,9.70,9.70,800,9.70
2015-12-22,9.80,9.80,9.79,9.79,1000,9.79
2015-12-21,9.79,9.79,9.79,9.79,000,9.79
2015-12-18,9.69,9.79,9.69,9.79,2300,9.79
2015-12-17,9.75,9.75,9.75,9.75,200000,9.75
2015-12-16,9.95,9.95,9.95,9.95,100,9.95
2015-12-15,9.75,9.75,9.75,9.75,100000,9.75
2015-12-14,9.90,9.90,9.90,9.90,000,9.90
2015-12-11,9.90,9.90,9.90,9.90,000,9.90
2015-12-10,9.90,9.90,9.90,9.90,000,9.90
2015-12-09,9.90,9.90,9.90,9.90,000,9.90
2015-12-08,9.90,9.90,9.90,9.90,000,9.90
2015-12-07,9.90,9.90,9.90,9.90,000,9.90
2015-12-04,9.90,9.90,9.90,9.90,000,9.90
2015-12-03,9.90,9.90,9.90,9.90,000,9.90
2015-12-02,9.90,9.90,9.90,9.90,000,9.90
2015-12-01,9.90,9.90,9.90,9.90,000,9.90
2015-11-30,9.90,9.90,9.90,9.90,000,9.90
2015-11-27,9.90,9.90,9.90,9.90,000,9.90
2015-11-25,9.90,9.90,9.90,9.90,000,9.90
2015-11-24,9.90,9.90,9.90,9.90,000,9.90
2015-11-23,9.90,9.90,9.90,9.90,000,9.90
2015-11-20,9.90,9.90,9.90,9.90,000,9.90
2015-11-19,9.90,9.90,9.90,9.90,000,9.90
2015-11-18,9.90,9.90,9.90,9.90,000,9.90
2015-11-17,9.90,9.90,9.90,9.90,000,9.90
2015-11-16,9.90,9.90,9.90,9.90,000,9.90
2015-11-13,9.90,9.90,9.90,9.90,000,9.90
2015-11-12,9.90,9.90,9.90,9.90,000,9.90
2015-11-11,9.90,9.90,9.90,9.90,000,9.90
2015-11-10,9.90,9.90,9.90,9.90,000,9.90
2015-11-09,9.90,9.90,9.90,9.90,000,9.90
2015-11-06,9.90,9.90,9.90,9.90,000,9.90
2015-11-05,9.90,9.90,9.90,9.90,000,9.90
2015-11-04,9.90,9.90,9.90,9.90,000,9.90
2015-11-03,9.90,9.90,9.90,9.90,000,9.90
2015-11-02,9.90,9.90,9.90,9.90,000,9.90
2015-10-30,9.90,9.90,9.90,9.90,000,9.90
2015-10-29,9.90,9.90,9.90,9.90,000,9.90
2015-10-28,9.90,9.90,9.90,9.90,000,9.90
2015-10-27,9.90,9.90,9.90,9.90,000,9.90
2015-10-26,9.90,9.90,9.90,9.90,000,9.90
2015-10-23,9.90,9.90,9.90,9.90,000,9.90
2015-10-22,9.90,9.90,9.90,9.90,000,9.90
2015-10-21,9.90,9.90,9.90,9.90,000,9.90
2015-10-20,9.90,9.90,9.90,9.90,000,9.90
2015-10-19,9.90,9.90,9.90,9.90,000,9.90
2015-10-16,9.90,9.90,9.90,9.90,000,9.90
2015-10-15,9.90,9.90,9.90,9.90,1600,9.90
2015-10-14,9.90,9.90,9.90,9.90,000,9.90
2015-10-13,9.90,9.90,9.90,9.90,000,9.90
2015-10-12,10.03,10.03,9.90,9.90,500,9.90
2015-10-09,9.90,9.90,9.90,9.90,000,9.90
2015-10-08,9.90,9.90,9.90,9.90,000,9.90
2015-10-07,9.90,9.90,9.90,9.90,000,9.90
2015-10-06,9.90,9.90,9.90,9.90,000,9.90
2015-10-05,9.90,9.90,9.90,9.90,000,9.90
2015-10-02,9.90,9.90,9.90,9.90,000,9.90
2015-10-01,9.90,9.90,9.90,9.90,000,9.90
2015-09-30,9.90,9.90,9.90,9.90,000,9.90
2015-09-29,9.90,9.90,9.90,9.90,000,9.90
2015-09-28,9.90,9.90,9.90,9.90,000,9.90
2015-09-25,9.90,9.90,9.90,9.90,000,9.90
2015-09-24,9.90,9.90,9.90,9.90,000,9.90
2015-09-23,9.90,9.90,9.90,9.90,000,9.90
2015-09-22,9.90,9.90,9.90,9.90,000,9.90
2015-09-21,9.90,9.90,9.90,9.90,000,9.90
2015-09-18,9.90,9.90,9.90,9.90,000,9.90
2015-09-17,9.90,9.90,9.90,9.90,000,9.90
2015-09-16,9.90,9.90,9.90,9.90,000,9.90
2015-09-15,9.90,9.90,9.90,9.90,000,9.90
2015-09-14,9.90,9.90,9.90,9.90,000,9.90
2015-09-11,9.90,9.90,9.90,9.90,000,9.90
2015-09-10,9.90,9.90,9.90,9.90,000,9.90
2015-09-09,9.90,9.90,9.90,9.90,000,9.90
2015-09-08,9.90,9.90,9.90,9.90,000,9.90
2015-09-04,9.90,9.90,9.90,9.90,000,9.90
2015-09-03,9.90,9.90,9.90,9.90,000,9.90
2015-09-02,9.90,9.90,9.90,9.90,000,9.90
2015-09-01,9.90,9.90,9.90,9.90,000,9.90
2015-08-31,9.90,9.90,9.90,9.90,500,9.90
2015-08-28,9.90,9.90,9.90,9.90,000,9.90
2015-08-27,9.90,9.90,9.90,9.90,000,9.90
