Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,7.76,8.30,7.76,8.15,127400,8.15
2016-01-22,7.65,7.84,7.50,7.82,169600,7.82
2016-01-21,7.62,7.82,7.34,7.43,188300,7.43
2016-01-20,7.46,7.81,7.32,7.66,209200,7.66
2016-01-19,7.92,7.98,7.41,7.62,246200,7.62
2016-01-15,7.85,7.91,7.50,7.79,185500,7.79
2016-01-14,7.91,8.44,7.35,8.08,262000,8.08
2016-01-13,9.03,9.156,7.76,7.89,186900,7.89
2016-01-12,8.94,9.33,8.62,9.01,109500,9.01
2016-01-11,9.31,9.51,8.44,8.89,348600,8.89
2016-01-08,9.92,10.15,9.20,9.25,391000,9.25
2016-01-07,10.51,10.66,9.76,9.81,320800,9.81
2016-01-06,10.95,11.004,10.21,10.66,343000,10.66
2016-01-05,11.71,11.887,11.02,11.12,353600,11.12
2016-01-04,11.13,11.74,10.95,11.59,229000,11.59
2015-12-31,11.06,11.556,11.06,11.33,145200,11.33
2015-12-30,11.02,11.35,10.86,11.27,196600,11.27
2015-12-29,11.20,11.26,10.815,11.01,97500,11.01
2015-12-28,11.24,11.40,11.095,11.20,214500,11.20
2015-12-24,11.23,11.40,11.11,11.30,58000,11.30
2015-12-23,10.82,11.385,10.82,11.20,205800,11.20
2015-12-22,11.18,11.20,10.50,10.79,193300,10.79
2015-12-21,11.49,11.57,10.90,11.18,169300,11.18
2015-12-18,11.59,11.95,11.16,11.46,891500,11.46
2015-12-17,11.99,11.99,11.55,11.69,205800,11.69
2015-12-16,11.72,12.02,11.65,11.89,187300,11.89
2015-12-15,11.54,11.91,11.387,11.68,198900,11.68
2015-12-14,11.51,11.80,11.20,11.42,191100,11.42
2015-12-11,11.05,11.51,10.685,11.46,129000,11.46
2015-12-10,10.48,11.21,10.40,11.20,184400,11.20
2015-12-09,10.67,10.84,10.25,10.40,132800,10.40
2015-12-08,10.08,10.73,10.011,10.71,75100,10.71
2015-12-07,10.63,10.63,10.11,10.15,116400,10.15
2015-12-04,10.92,10.94,10.33,10.71,126600,10.71
2015-12-03,11.79,11.95,10.80,10.94,129400,10.94
2015-12-02,11.49,11.98,11.39,11.82,98000,11.82
2015-12-01,12.02,12.20,11.09,11.56,283600,11.56
2015-11-30,11.87,12.41,11.73,11.99,174200,11.99
2015-11-27,11.25,11.94,11.05,11.87,73100,11.87
2015-11-25,11.01,11.47,10.53,11.18,154700,11.18
2015-11-24,11.00,11.21,10.61,11.08,96700,11.08
2015-11-23,10.07,11.00,10.07,10.78,99800,10.78
2015-11-20,10.42,10.46,10.05,10.11,136400,10.11
2015-11-19,11.18,11.19,10.37,10.42,101000,10.42
2015-11-18,10.88,11.43,10.71,11.10,416700,11.10
2015-11-17,11.23,11.32,10.67,10.86,91200,10.86
2015-11-16,10.64,11.37,10.64,11.20,95200,11.20
2015-11-13,10.86,11.25,10.58,10.74,115400,10.74
2015-11-12,11.40,11.97,10.60,10.92,151800,10.92
2015-11-11,12.42,12.598,11.25,11.53,155300,11.53
2015-11-10,13.31,13.36,11.925,12.28,156800,12.28
2015-11-09,12.22,13.36,11.57,13.30,321800,13.30
2015-11-06,11.32,12.23,10.97,12.08,232400,12.08
2015-11-05,11.70,11.81,10.97,11.35,116900,11.35
2015-11-04,11.80,11.95,11.545,11.78,100700,11.78
2015-11-03,11.09,11.80,10.897,11.79,154100,11.79
2015-11-02,10.85,11.56,10.60,11.17,149200,11.17
2015-10-30,11.08,11.10,10.44,10.89,123000,10.89
2015-10-29,10.41,11.22,10.16,11.11,202300,11.11
2015-10-28,10.19,10.48,9.89,10.42,204700,10.42
2015-10-27,9.88,10.56,9.54,10.25,234300,10.25
2015-10-26,9.46,10.16,9.32,9.97,106300,9.97
2015-10-23,10.12,10.12,9.138,9.53,203000,9.53
2015-10-22,10.19,10.30,9.30,9.88,162100,9.88
2015-10-21,10.64,10.856,9.93,10.14,155300,10.14
2015-10-20,11.10,11.60,10.30,10.54,329000,10.54
2015-10-19,10.69,11.68,10.60,11.18,137500,11.18
2015-10-16,11.05,12.25,10.41,10.82,554000,10.82
2015-10-15,9.93,11.20,9.93,11.02,226300,11.02
