Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,21.52,21.535,21.25,21.25,1800,21.25
2016-01-22,21.389999,21.549999,21.360001,21.514,6000,21.514
2016-01-21,21.030001,21.440001,21.01,21.07,3200,21.07
2016-01-20,20.959999,21.01,20.379999,21.01,7400,21.01
2016-01-19,21.709999,21.77,21.10,21.280001,5900,21.280001
2016-01-15,21.559,21.610001,21.280001,21.530001,3400,21.530001
2016-01-14,22.15,22.15,21.50,21.950001,4600,21.950001
2016-01-13,22.92,22.98,22.200001,22.219999,2400,22.219999
2016-01-12,22.889,23.030001,22.614,22.780001,3700,22.780001
2016-01-11,22.93,22.93,22.546,22.75,3700,22.75
2016-01-08,23.110001,23.129999,22.75,22.75,8000,22.75
2016-01-07,23.02,23.173,22.889999,22.92,3900,22.92
2016-01-06,23.25,23.540001,23.25,23.370001,6700,23.370001
2016-01-05,23.889999,23.889999,23.559999,23.613001,5400,23.613001
2016-01-04,23.84,23.84,23.629999,23.77,4400,23.77
2015-12-31,24.200001,24.280001,24.10,24.10,3900,24.10
2015-12-30,24.40,24.406,24.233,24.233,2300,24.233
2015-12-29,24.48,24.52,24.413,24.493,2500,24.493
2015-12-28,24.49,24.49,24.27,24.379999,5700,24.379999
2015-12-24,24.32,24.466999,24.32,24.42,2800,24.42
2015-12-23,24.209999,24.289,24.030001,24.287001,3700,24.287001
2015-12-22,24.17,24.17,23.969999,24.040001,4900,24.040001
2015-12-21,27.33,27.33,24.00,24.052999,3900,24.052999
2015-12-18,24.040001,24.08,23.99,23.99,1800,23.99
2015-12-17,24.280001,24.48,24.18,24.18,3400,24.18
2015-12-16,24.18,24.32,24.02,24.26,7400,24.26
2015-12-15,23.959999,24.18,23.941,24.08,11200,24.08
2015-12-14,23.76,23.77,23.59,23.757999,3000,23.757999
2015-12-11,24.129999,24.129999,23.833,23.85,8600,23.85
2015-12-10,24.309999,24.41,24.292999,24.292999,5500,24.292999
2015-12-09,24.530001,24.610001,24.274,24.34,3600,24.34
2015-12-08,24.34,24.65,24.298,24.629,8800,24.629
2015-12-07,24.889999,24.889999,24.611,24.667,8200,24.667
2015-12-04,24.879999,25.110001,24.879999,25.054001,7700,25.054001
2015-12-03,25.062,25.062,24.622999,24.75,4400,24.75
2015-12-02,25.25,25.348,25.209999,25.242001,3000,25.242001
2015-12-01,25.112,25.226999,25.112,25.209999,2100,25.209999
2015-11-30,25.26,25.26,25.110001,25.17,4900,25.17
2015-11-27,25.24,25.24,25.09,25.15,3400,25.15
2015-11-25,25.113001,25.228001,25.113001,25.228001,3500,25.228001
2015-11-24,24.860001,25.00,24.799999,24.99,3400,24.99
2015-11-23,25.01,25.01,24.93,24.93,7000,24.93
2015-11-20,24.98,25.049999,24.950001,24.950001,3000,24.950001
2015-11-19,24.790001,24.92,24.790001,24.92,2800,24.92
2015-11-18,24.58,24.783001,24.417,24.774,5100,24.774
2015-11-17,24.24,24.60,24.24,24.433001,3700,24.433001
2015-11-16,24.129999,24.200001,24.00,24.172001,5900,24.172001
2015-11-13,24.33,24.370001,24.135,24.135,6000,24.135
2015-11-12,24.49,24.695999,24.43,24.431,5200,24.431
2015-11-11,24.940001,24.940001,24.549999,24.549999,5200,24.549999
2015-11-10,24.889999,24.92,24.74,24.879999,4300,24.879999
2015-11-09,25.290001,25.290001,24.879999,25.049999,7300,25.049999
2015-11-06,25.129999,25.27,25.030001,25.25,9100,25.25
2015-11-05,25.49,25.49,25.110001,25.190001,9900,25.190001
2015-11-04,25.41,25.577999,25.389999,25.443001,18700,25.443001
