Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,8.54,8.96,8.50,8.88,24200,8.88
2016-01-22,8.65,8.89,8.49,8.85,24500,8.85
2016-01-21,8.48,8.94,8.335,8.60,27800,8.60
2016-01-20,8.30,9.06,8.07,8.86,61100,8.86
2016-01-19,8.21,8.55,8.015,8.49,53000,8.49
2016-01-15,7.95,9.08,7.85,8.20,47800,8.20
2016-01-14,7.89,8.50,7.45,8.15,34600,8.15
2016-01-13,8.01,8.20,7.745,7.93,40300,7.93
2016-01-12,7.70,8.19,7.35,7.85,55300,7.85
2016-01-11,7.83,7.98,7.37,7.66,43700,7.66
2016-01-08,8.41,8.62,7.85,7.92,44500,7.92
2016-01-07,8.62,8.87,8.37,8.43,31800,8.43
2016-01-06,9.04,9.04,8.65,8.77,46800,8.77
2016-01-05,8.805,9.09,8.61,9.04,42000,9.04
2016-01-04,8.75,9.07,8.47,8.75,50600,8.75
2015-12-31,8.75,9.13,8.62,8.82,33300,8.82
2015-12-30,8.65,9.12,8.46,8.75,65300,8.75
2015-12-29,9.07,9.23,8.66,8.71,81200,8.71
2015-12-28,9.05,9.54,8.75,8.95,70500,8.95
2015-12-24,9.38,9.58,8.74,9.02,38800,9.02
2015-12-23,9.77,10.17,9.11,9.40,85700,9.40
2015-12-22,10.20,10.20,9.64,9.78,14200,9.78
2015-12-21,9.69,10.00,9.545,9.83,312200,9.83
2015-12-18,9.65,10.20,9.65,9.84,90800,9.84
2015-12-17,8.97,9.88,8.97,9.71,450900,9.71
2015-12-16,9.61,9.72,9.01,9.38,46200,9.38
2015-12-15,9.80,10.00,9.26,9.41,556700,9.41
2015-12-14,10.30,10.61,9.22,9.77,39500,9.77
2015-12-11,10.13,10.70,10.13,10.21,21200,10.21
2015-12-10,11.10,11.31,10.29,10.36,27700,10.36
2015-12-09,11.10,11.51,10.91,10.91,12200,10.91
2015-12-08,11.72,11.735,11.20,11.22,14700,11.22
2015-12-07,11.635,11.96,11.102,11.72,18200,11.72
2015-12-04,10.65,11.846,10.06,11.64,34100,11.64
2015-12-03,11.62,12.09,11.03,11.03,15700,11.03
2015-12-02,12.00,12.05,11.83,11.86,15200,11.86
2015-12-01,12.00,12.17,11.88,12.06,11200,12.06
2015-11-30,12.29,12.44,11.77,12.01,46900,12.01
2015-11-27,12.60,12.71,12.16,12.29,15600,12.29
2015-11-25,12.71,13.172,12.46,12.66,27900,12.66
2015-11-24,13.14,13.205,12.67,12.77,9700,12.77
2015-11-23,13.08,13.40,12.80,13.14,101200,13.14
2015-11-20,13.16,13.50,13.06,13.27,24400,13.27
2015-11-19,12.87,13.20,12.87,13.05,14100,13.05
2015-11-18,13.22,13.41,13.03,13.25,25800,13.25
2015-11-17,13.05,13.32,12.60,13.20,28000,13.20
2015-11-16,13.08,13.95,12.52,13.00,20000,13.00
2015-11-13,12.94,13.50,12.51,12.66,15400,12.66
2015-11-12,13.11,13.32,12.35,13.00,24100,13.00
2015-11-11,12.50,13.045,12.35,12.62,22200,12.62
2015-11-10,13.17,13.17,12.35,12.44,17100,12.44
2015-11-09,13.15,13.39,12.56,12.80,26600,12.80
2015-11-06,13.58,13.71,13.12,13.66,27700,13.66
2015-11-05,14.02,14.40,13.40,13.54,52100,13.54
2015-11-04,13.38,14.19,13.22,14.13,28200,14.13
2015-11-03,12.94,13.57,12.37,13.56,17000,13.56
2015-11-02,13.24,13.60,12.93,13.39,17400,13.39
2015-10-30,13.00,13.50,12.20,13.43,31100,13.43
2015-10-29,12.41,13.05,12.00,13.05,16000,13.05
2015-10-28,12.41,12.54,11.99,12.28,68800,12.28
2015-10-27,12.43,12.55,11.36,12.36,41300,12.36
2015-10-26,12.14,12.69,11.685,11.92,10000,11.92
2015-10-23,12.16,12.50,11.82,12.25,19100,12.25
2015-10-22,12.69,12.74,11.53,12.02,36400,12.02
2015-10-21,12.31,12.81,12.18,12.31,14700,12.31
2015-10-20,13.25,13.25,11.99,12.30,21200,12.30
2015-10-19,12.99,13.48,12.52,13.37,19300,13.37
2015-10-16,13.45,13.45,12.32,13.00,19700,13.00
2015-10-15,12.28,13.50,12.00,13.47,28900,13.47
2015-10-14,12.28,12.40,11.94,12.32,17800,12.32
2015-10-13,12.25,12.33,11.94,12.31,14100,12.31
2015-10-12,12.50,12.50,11.69,12.45,85700,12.45
2015-10-09,12.11,12.66,11.30,12.53,63200,12.53
2015-10-08,13.13,13.13,11.80,12.18,94900,12.18
2015-10-07,12.34,13.45,11.85,13.07,51800,13.07
2015-10-06,12.13,13.63,12.00,12.25,32100,12.25
2015-10-05,12.38,14.645,11.60,12.23,66500,12.23
2015-10-02,12.90,13.88,12.10,12.40,78500,12.40
2015-10-01,14.14,15.05,12.59,13.11,46300,13.11
2015-09-30,14.47,15.46,13.66,14.02,532300,14.02
2015-09-29,13.25,14.68,12.52,14.23,37900,14.23
2015-09-28,14.12,14.12,12.68,12.93,49300,12.93
2015-09-25,14.26,14.48,13.00,14.18,33900,14.18
2015-09-24,13.31,14.29,13.06,14.20,28500,14.20
2015-09-23,13.07,13.64,12.866,13.64,19600,13.64
2015-09-22,13.00,13.33,12.95,13.29,21800,13.29
2015-09-21,12.61,13.34,12.44,13.27,59300,13.27
2015-09-18,14.01,14.45,12.11,12.11,137800,12.11
2015-09-17,14.18,15.00,13.85,14.22,36200,14.22
2015-09-16,14.29,14.90,14.05,14.25,42100,14.25
2015-09-15,14.64,15.04,14.043,14.25,36500,14.25
2015-09-14,18.18,18.18,13.69,14.47,21000,14.47
2015-09-11,14.09,14.12,13.242,13.91,26800,13.91
2015-09-10,13.73,14.22,13.206,13.63,23100,13.63
2015-09-09,14.41,14.46,13.386,13.84,20700,13.84
2015-09-08,15.26,15.26,13.988,14.33,27500,14.33
2015-09-04,13.98,14.99,13.52,14.22,32800,14.22
2015-09-03,13.81,14.43,13.56,14.34,28100,14.34
2015-09-02,13.98,13.98,13.40,13.78,18300,13.78
2015-09-01,14.65,14.65,13.52,13.67,11800,13.67
