Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,10.15,10.39,10.06,10.08,89800,10.08
2016-01-22,9.90,10.17,9.83,10.15,163900,10.15
2016-01-21,9.85,10.00,9.73,9.79,160800,9.79
2016-01-20,9.70,9.92,9.55,9.87,145100,9.87
2016-01-19,9.83,9.95,9.77,9.88,144900,9.88
2016-01-15,9.50,9.85,9.50,9.78,194200,9.78
2016-01-14,9.82,9.91,9.65,9.79,121300,9.79
2016-01-13,9.90,9.94,9.55,9.67,140300,9.67
2016-01-12,9.83,9.89,9.63,9.86,100200,9.86
2016-01-11,9.66,9.82,9.45,9.70,156500,9.70
2016-01-08,9.70,9.82,9.50,9.53,83100,9.53
2016-01-07,9.58,10.05,9.58,9.70,109700,9.70
2016-01-06,9.76,9.87,9.67,9.75,166300,9.75
2016-01-05,9.71,9.94,9.70,9.92,73900,9.92
2016-01-04,9.58,10.02,9.46,9.65,136700,9.65
2015-12-31,9.90,10.00,9.73,9.77,91000,9.77
2015-12-30,10.05,10.31,9.81,9.93,66400,9.93
2015-12-29,10.00,10.18,9.91,10.10,48200,10.10
2015-12-28,10.12,10.29,9.85,9.89,39400,9.89
2015-12-24,10.21,10.32,10.07,10.23,31000,10.23
2015-12-23,10.49,10.49,10.08,10.24,66100,10.24
2015-12-22,10.30,10.56,10.19,10.46,190500,10.46
2015-12-21,10.18,10.46,10.18,10.34,55500,10.285
2015-12-18,10.50,10.50,10.14,10.16,256600,10.105957
2015-12-17,10.76,10.87,10.53,10.57,55100,10.513776
2015-12-16,10.66,10.81,10.56,10.72,62900,10.662979
2015-12-15,10.43,10.63,10.24,10.62,77800,10.56351
2015-12-14,10.55,10.82,10.33,10.37,82400,10.31484
2015-12-11,10.70,10.94,10.41,10.46,109000,10.404361
2015-12-10,11.05,11.09,10.76,10.88,74400,10.822127
2015-12-09,11.33,11.47,11.06,11.07,99700,11.011116
2015-12-08,11.46,11.71,11.37,11.42,63500,11.359255
2015-12-07,11.92,11.94,11.53,11.61,80400,11.548244
2015-12-04,11.88,12.03,11.76,11.96,56000,11.896383
2015-12-03,12.16,12.20,11.75,11.76,59600,11.697447
