Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,5.30,5.671,5.10,5.27,22800,5.27
2016-01-22,5.35,5.711,5.05,5.20,88600,5.20
2016-01-21,4.66,5.08,4.57,4.67,27400,4.67
2016-01-20,5.70,5.97,4.68,4.86,123300,4.86
2016-01-19,6.55,6.55,5.31,5.60,108900,5.60
2016-01-15,6.50,6.65,5.76,5.97,108100,5.97
2016-01-14,6.767,6.767,5.96,6.47,28500,6.47
2016-01-13,7.10,7.18,6.73,6.79,19000,6.79
2016-01-12,7.08,7.48,6.97,7.09,16100,7.09
2016-01-11,7.02,7.71,6.75,6.98,74500,6.98
2016-01-08,6.89,7.89,6.70,6.98,29900,6.98
2016-01-07,7.02,7.105,6.68,6.93,26500,6.93
2016-01-06,8.15,8.15,6.91,7.09,46800,7.09
2016-01-05,8.90,8.90,8.04,8.15,28600,8.15
2016-01-04,8.58,8.85,8.24,8.60,84200,8.60
2015-12-31,7.75,8.40,7.47,8.40,136600,8.40
2015-12-30,7.26,7.40,7.17,7.28,70000,7.28
2015-12-29,6.96,7.22,6.91,7.01,15700,7.01
2015-12-28,7.01,7.26,6.86,6.86,11300,6.86
2015-12-24,7.22,7.254,6.961,6.961,7900,6.961
2015-12-23,7.332,7.41,7.01,7.19,15200,7.19
2015-12-22,7.57,7.57,7.01,7.29,15300,7.29
2015-12-21,7.54,7.75,7.24,7.33,15200,7.33
2015-12-18,8.01,8.39,7.14,7.72,219900,7.72
2015-12-17,8.11,8.40,7.53,8.01,42500,8.01
2015-12-16,8.70,8.86,7.80,8.13,64800,8.13
2015-12-15,8.36,8.70,7.975,8.21,42200,8.21
2015-12-14,7.85,8.42,7.65,8.25,67500,8.25
2015-12-11,7.37,8.00,7.37,7.93,19900,7.93
2015-12-10,7.63,8.00,7.36,8.00,18600,8.00
2015-12-09,7.47,7.95,7.05,7.95,15200,7.95
2015-12-08,7.251,7.665,7.15,7.30,27500,7.30
2015-12-07,7.98,7.98,6.72,7.36,40100,7.36
2015-12-04,7.96,8.00,7.50,7.77,21700,7.77
2015-12-03,7.75,7.98,7.71,7.98,7400,7.98
2015-12-02,7.90,7.98,7.841,7.98,2500,7.98
2015-12-01,7.50,8.00,7.50,8.00,36000,8.00
2015-11-30,7.99,7.99,7.50,7.77,3900,7.77
2015-11-27,7.96,8.053,7.96,8.00,4400,8.00
2015-11-25,7.998,8.00,7.81,8.00,27000,8.00
2015-11-24,8.00,8.01,7.96,8.00,14000,8.00
2015-11-23,7.98,8.20,7.65,8.10,37500,8.10
2015-11-20,7.72,8.25,7.40,8.25,11300,8.25
2015-11-19,7.47,7.85,7.47,7.827,10000,7.827
2015-11-18,7.60,8.35,7.60,7.75,20100,7.75
2015-11-17,8.35,8.35,7.33,7.56,65500,7.56
2015-11-16,8.40,8.45,8.10,8.16,32100,8.16
2015-11-13,8.79,8.79,8.25,8.33,29400,8.33
2015-11-12,8.54,8.79,8.26,8.695,19200,8.695
2015-11-11,8.20,8.65,8.15,8.65,34000,8.65
2015-11-10,8.71,9.06,8.06,8.35,35200,8.35
2015-11-06,7.80,8.30,7.80,8.07,69300,8.07
2015-11-05,8.00,8.25,7.50,7.84,789400,7.84
2015-11-04,13.00,14.00,10.00,12.00,25000,12.00
2015-11-03,18.190001,19.49,13.00,13.90,7400,13.90
2015-11-02,20.00,25.00,20.00,20.00,1900,20.00
2015-10-27,14.00,16.00,14.00,16.00,700,16.00
2015-10-26,13.95,14.00,13.95,14.00,6100,14.00
2015-10-23,13.70,13.70,13.70,13.70,100,13.70
2015-10-22,13.50,13.50,13.50,13.50,200,13.50
2015-10-21,14.00,14.00,13.50,13.55,21200,13.55
2015-10-20,15.00,15.00,13.90,13.90,27100,13.90
2015-10-19,14.00,14.00,14.00,14.00,27300,14.00
2015-10-16,14.00,14.50,14.00,14.00,26600,14.00
2015-10-15,15.00,15.00,14.00,14.00,4100,14.00
2015-09-22,14.00,14.00,14.00,14.00,5400,14.00
2015-09-16,15.00,15.00,15.00,15.00,300,15.00
