Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,33.93,34.310001,32.790001,33.84,147900,33.84
2016-01-22,33.880001,34.330002,33.32,34.07,99400,34.07
2016-01-21,33.939999,34.230999,32.919998,33.380001,183400,33.380001
2016-01-20,35.27,35.27,33.233002,33.84,390300,33.84
2016-01-19,35.830002,36.07,35.099998,35.91,91700,35.91
2016-01-15,36.540001,36.740002,34.610001,35.34,124900,35.34
2016-01-14,37.139999,38.380001,36.689999,37.52,67500,37.52
2016-01-13,37.860001,38.299999,37.00,37.099998,72100,37.099998
2016-01-12,38.209999,38.209999,37.279999,37.740002,153900,37.740002
2016-01-11,37.84,38.310001,37.400002,37.869999,95400,37.869999
2016-01-08,37.849998,38.23,37.34,37.889999,71600,37.889999
2016-01-07,38.099998,38.529999,37.41,37.75,82400,37.75
2016-01-06,38.330002,39.00,37.560001,38.73,23300,38.73
2016-01-05,39.189999,39.57,37.919998,38.900002,98700,38.900002
2016-01-04,40.82,41.139999,38.93,39.099998,127900,39.099998
2015-12-31,40.34,41.900002,40.139999,41.369999,76400,41.369999
2015-12-30,40.259998,40.889999,40.174999,40.360001,30100,40.360001
2015-12-29,40.139999,40.509998,39.349998,40.369999,91000,40.369999
2015-12-28,40.110001,40.330002,39.369999,39.990002,38200,39.990002
2015-12-24,40.619999,40.619999,40.00,40.220001,25900,40.220001
2015-12-23,40.75,40.889999,40.009998,40.09,92400,40.09
2015-12-22,39.25,40.73,39.130001,40.669998,119800,40.669998
2015-12-21,38.59,39.43,38.490002,39.349998,155700,39.349998
2015-12-18,37.150002,38.540001,36.009998,38.080002,680900,38.080002
2015-12-17,37.16,37.540001,36.970001,37.360001,122200,37.360001
2015-12-16,36.919998,37.93,36.400002,37.41,144200,37.41
2015-12-15,35.669998,36.52,35.18,36.380001,146000,36.380001
2015-12-14,36.799999,36.91,35.259998,35.869999,262200,35.869999
2015-12-11,36.950001,37.299999,36.75,36.849998,98400,36.849998
2015-12-10,37.34,37.889999,37.049999,37.34,209100,37.34
2015-12-09,37.220001,37.82,37.18,37.450001,114600,37.450001
2015-12-08,37.220001,37.580002,36.830002,37.389999,112100,37.389999
2015-12-07,38.459999,39.200001,37.32,37.720001,105400,37.720001
2015-12-04,39.450001,39.450001,37.939999,38.560001,55800,38.560001
2015-12-03,41.040001,41.080002,39.400002,39.549999,148200,39.549999
2015-12-02,39.00,41.00,39.00,40.77,151700,40.77
2015-12-01,37.709999,39.419998,37.455002,38.990002,241100,38.990002
2015-11-30,36.450001,37.639999,36.450001,37.549999,138900,37.549999
2015-11-27,36.360001,36.950001,35.709999,36.490002,36900,36.490002
2015-11-25,36.16,38.18,36.029999,36.450001,265400,36.450001
2015-11-24,36.720001,37.59,35.009998,36.040001,157100,36.040001
2015-11-23,37.73,37.84,36.130001,36.970001,117100,36.970001
2015-11-20,38.279999,38.279999,37.310001,37.810001,54300,37.810001
2015-11-19,37.259998,38.07,36.849998,37.869999,57900,37.869999
2015-11-18,37.130001,37.48,36.43,37.34,116500,37.34
2015-11-17,38.43,38.860001,36.700001,36.990002,113800,36.990002
2015-11-16,36.41,38.419998,35.580002,38.00,88800,38.00
2015-11-13,35.860001,36.610001,35.32,36.41,94500,36.41
2015-11-12,36.50,36.950001,35.880001,36.040001,55100,36.040001
2015-11-11,37.669998,38.209999,36.369999,36.970001,60000,36.970001
2015-11-10,37.34,38.189999,37.00,37.369999,91900,37.369999
2015-11-09,37.830002,37.830002,36.619999,37.169998,42800,37.169998
2015-11-06,36.50,38.209999,35.990002,37.419998,59900,37.419998
2015-11-05,37.189999,37.50,36.240002,36.610001,46500,36.610001
2015-11-04,38.639999,39.490002,37.119999,37.189999,97800,37.189999
2015-11-03,38.119999,38.66,38.00,38.52,78800,38.52
2015-11-02,38.790001,38.990002,38.16,38.34,33800,38.34
2015-10-30,38.860001,39.389999,37.080002,38.619999,69300,38.619999
2015-10-29,39.369999,39.639999,38.73,38.959999,34900,38.959999
2015-10-28,38.919998,40.049999,38.703999,39.509998,34500,39.509998
2015-10-27,39.00,39.00,37.66,38.57,127600,38.57
2015-10-26,40.779999,41.02,38.400002,38.880001,119600,38.880001
2015-10-23,37.689999,42.189999,37.34,40.959999,243600,40.959999
2015-10-22,33.09,38.099998,32.279999,37.540001,709300,37.540001
2015-10-21,33.91,33.91,32.82,33.00,177500,33.00
2015-10-20,34.349998,34.759998,33.029999,33.779999,59200,33.779999
2015-10-19,34.220001,36.130001,34.220001,34.43,312100,34.43
2015-10-16,34.779999,34.970001,33.759998,34.34,119500,34.34
2015-10-15,34.919998,35.34,34.099998,34.73,33900,34.73
2015-10-14,34.700001,35.830002,34.34,34.950001,72400,34.950001
2015-10-13,34.650002,34.869999,33.82,34.630001,225700,34.630001
2015-10-12,35.799999,36.290001,34.849998,35.00,100500,35.00
2015-10-09,35.630001,35.959999,35.009998,35.740002,125500,35.740002
2015-10-08,36.50,36.799999,35.27,35.610001,54900,35.610001
2015-10-07,36.639999,37.310001,36.400002,36.48,132100,36.48
2015-10-06,36.02,36.630001,36.02,36.52,41100,36.52
2015-10-05,35.18,36.200001,35.18,36.060001,76400,36.060001
2015-10-02,33.66,34.970001,33.66,34.939999,53700,34.939999
2015-10-01,33.82,34.209999,33.650002,33.98,81500,33.98
2015-09-30,34.00,34.00,33.139999,33.689999,78400,33.689999
2015-09-29,33.689999,34.040001,33.52,33.68,77500,33.68
2015-09-28,34.939999,35.049999,33.57,33.75,64900,33.75
2015-09-25,34.669998,35.360001,34.439999,35.09,100000,35.09
2015-09-24,33.799999,35.044998,33.18,34.860001,160300,34.860001
2015-09-23,34.50,34.50,33.950001,34.150002,52000,34.150002
2015-09-22,35.57,35.619999,34.369999,34.439999,83200,34.439999
2015-09-21,36.57,36.75,35.82,36.060001,104500,36.060001
2015-09-18,35.790001,36.650002,35.790001,36.330002,268100,36.330002
2015-09-17,36.549999,37.209999,36.50,36.939999,117700,36.939999
2015-09-16,37.029999,37.080002,36.060001,36.490002,66800,36.490002
2015-09-15,36.41,37.014999,36.299999,36.939999,74300,36.939999
2015-09-14,38.77,39.25,36.360001,36.599998,91800,36.599998
2015-09-11,38.00,39.209999,37.869999,38.77,238800,38.77
2015-09-10,35.650002,38.650002,35.650002,38.369999,104100,38.369999
2015-09-09,35.23,36.310001,35.080002,35.709999,63500,35.709999
2015-09-08,33.200001,35.200001,33.200001,34.91,116700,34.91
2015-09-04,32.610001,32.740002,31.934999,32.610001,113700,32.610001
2015-09-03,32.43,33.580002,32.380001,33.00,41300,33.00
2015-09-02,33.02,33.02,32.130001,32.549999,76400,32.549999
2015-09-01,33.470001,34.330002,32.150002,32.25,147500,32.25
2015-08-31,34.91,34.990002,34.099998,34.369999,86100,34.369999
2015-08-28,34.34,35.150002,34.34,34.919998,104600,34.919998
2015-08-27,33.619999,34.630001,33.619999,34.549999,159000,34.549999
2015-08-26,34.360001,34.360001,33.134998,33.50,144900,33.50
2015-08-25,36.080002,36.080002,33.150002,33.630001,267600,33.630001
2015-08-24,34.959999,36.59,33.82,35.139999,171200,35.139999
2015-08-21,36.68,37.16,36.450001,36.700001,121800,36.700001
2015-08-20,38.00,38.040001,36.990002,37.060001,149000,37.060001
2015-08-19,38.450001,38.73,38.049999,38.189999,173900,38.189999
2015-08-18,39.02,39.23,38.700001,38.880001,205800,38.880001
2015-08-17,39.25,39.73,38.970001,39.040001,283000,39.040001
2015-08-14,38.939999,39.630001,38.73,39.310001,104400,39.310001
2015-08-13,38.91,39.040001,38.50,38.93,396700,38.93
2015-08-12,39.529999,39.625,38.740002,38.900002,361400,38.900002
2015-08-11,40.00,40.389999,39.25,39.540001,440400,39.540001
2015-08-10,40.279999,40.435001,39.720001,40.119999,309700,40.119999
2015-08-07,41.560001,41.709999,39.540001,40.060001,204400,40.060001
2015-08-06,42.700001,42.700001,41.060001,41.580002,194500,41.580002
2015-08-05,43.060001,44.00,42.560001,42.720001,302200,42.720001
2015-08-04,42.549999,43.09,42.41,42.959999,203900,42.959999
2015-08-03,43.599998,44.459,42.32,42.549999,106900,42.549999
2015-07-31,43.029999,45.00,42.529999,42.759998,231300,42.759998
2015-07-30,42.759998,45.040001,42.759998,43.380001,88100,43.380001
2015-07-29,43.91,44.310001,42.720001,43.060001,140400,43.060001
2015-07-28,44.060001,45.049999,42.400002,43.889999,254800,43.889999
2015-07-27,44.900002,45.299999,43.50,43.759998,200500,43.759998
2015-07-24,46.540001,47.00,45.09,45.099998,173100,45.099998
2015-07-23,47.00,47.150002,46.50,46.59,95200,46.59
2015-07-22,47.57,48.650002,46.779999,47.080002,223600,47.080002
2015-07-21,48.59,48.619999,47.130001,47.349998,149000,47.349998
2015-07-20,49.77,49.77,47.810001,48.389999,187200,48.389999
2015-07-17,46.02,50.189999,45.689999,49.610001,300000,49.610001
2015-07-16,45.810001,46.139999,45.330002,45.849998,324300,45.849998
2015-07-15,45.75,45.939999,45.00,45.779999,211400,45.779999
2015-07-14,47.73,47.73,45.18,46.110001,377800,46.110001
