Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,19.549999,19.76,19.35,19.450001,169900,19.450001
2016-01-22,19.08,19.67,18.90,19.639999,314500,19.639999
2016-01-21,18.92,19.23,18.59,18.809999,526200,18.809999
2016-01-20,18.709999,18.931,18.10,18.82,298500,18.82
2016-01-19,19.440001,19.950001,18.709999,18.99,417400,18.99
2016-01-15,19.139999,19.57,18.389999,19.41,438500,19.41
2016-01-14,19.43,19.620001,18.65,19.32,389400,19.32
2016-01-13,19.67,19.98,19.059999,19.620001,242500,19.620001
2016-01-12,20.360001,20.73,19.200001,19.58,410600,19.58
2016-01-11,19.709999,20.059999,19.42,19.629999,520700,19.629999
2016-01-08,19.33,20.700001,19.15,19.559999,705900,19.559999
2016-01-07,21.360001,21.790001,20.469999,20.549999,552400,20.549999
2016-01-06,21.200001,22.17,21.049999,21.639999,529300,21.639999
2016-01-05,22.200001,22.639999,21.25,21.540001,397800,21.540001
2016-01-04,21.719999,22.610001,21.50,22.33,425200,22.33
2015-12-31,22.34,22.573999,21.860001,22.02,221700,22.02
2015-12-30,21.85,22.60,21.77,22.559999,295500,22.559999
2015-12-29,21.50,22.00,21.23,22.00,189000,22.00
2015-12-28,20.65,21.41,20.58,21.40,295400,21.40
2015-12-24,20.950001,20.98,20.58,20.780001,73500,20.780001
2015-12-23,20.76,21.24,20.50,21.01,375700,21.01
2015-12-22,21.00,21.34,20.60,20.780001,391300,20.780001
2015-12-21,21.049999,21.40,20.870001,21.00,521100,21.00
2015-12-18,21.950001,21.969999,20.700001,21.040001,732600,21.040001
2015-12-17,21.75,22.219999,21.50,21.82,596100,21.82
2015-12-16,20.309999,21.860001,20.302,21.559999,486100,21.559999
2015-12-15,19.75,20.32,19.50,20.23,273700,20.23
2015-12-14,20.24,20.780001,19.620001,19.75,452300,19.75
2015-12-11,19.85,20.719999,19.506001,20.34,703300,20.34
2015-12-10,19.67,19.799999,19.440001,19.540001,1308400,19.540001
2015-12-09,20.809999,20.860001,19.889999,20.110001,293900,20.110001
2015-12-08,20.129999,20.809999,19.969999,20.780001,268500,20.780001
2015-12-07,20.200001,20.77,19.50,20.299999,229700,20.299999
2015-12-04,19.85,20.690001,19.77,20.32,912600,20.32
2015-12-03,19.91,20.10,19.549999,19.809999,201800,19.809999
2015-12-02,19.93,20.030001,19.82,19.940001,145500,19.940001
2015-12-01,20.059999,20.059999,19.860001,20.00,430200,20.00
2015-11-30,20.049999,20.059999,19.889999,20.00,205800,20.00
2015-11-27,19.940001,20.07,19.290001,20.01,112300,20.01
2015-11-25,19.68,20.190001,19.68,19.82,350100,19.82
2015-11-24,19.40,19.959999,19.360001,19.75,589700,19.75
2015-11-23,18.90,19.690001,18.82,19.58,664000,19.58
2015-11-20,18.309999,19.00,18.24,18.809999,394900,18.809999
2015-11-19,17.889999,18.48,17.76,18.24,228800,18.24
2015-11-18,18.139999,18.42,17.895,18.08,300300,18.08
2015-11-17,18.040001,18.809999,17.975,18.200001,544500,18.200001
2015-11-16,17.549999,18.26,17.459999,18.190001,550700,18.190001
2015-11-13,17.690001,18.110001,17.475,17.639999,320900,17.639999
2015-11-12,18.049999,18.445,17.50,17.60,360800,17.60
2015-11-11,18.200001,19.379,17.85,17.950001,1371400,17.950001
2015-11-10,16.02,16.73,15.97,16.540001,364700,16.540001
2015-11-09,15.98,16.15,15.85,16.030001,256500,16.030001
2015-11-06,16.25,16.379999,15.83,16.07,164900,16.07
2015-11-05,16.15,16.50,15.921,16.35,462200,16.35
2015-11-04,15.40,16.34,15.33,16.059999,484600,16.059999
2015-11-03,14.94,15.50,14.80,15.38,272800,15.38
2015-11-02,14.35,14.90,14.30,14.80,291000,14.80
2015-10-30,14.46,14.69,14.25,14.34,400200,14.34
2015-10-29,14.60,14.99,14.46,14.51,183700,14.51
2015-10-28,14.63,14.92,14.55,14.70,133900,14.70
2015-10-27,14.79,14.79,14.51,14.55,229800,14.55
2015-10-26,14.79,15.02,14.715,14.83,603500,14.83
2015-10-23,14.66,14.99,14.66,14.87,178200,14.87
2015-10-22,14.70,15.03,14.37,14.60,715300,14.60
2015-10-21,14.21,14.69,14.17,14.50,526500,14.50
2015-10-20,14.17,14.60,13.99,14.28,854800,14.28
2015-10-19,14.41,14.41,13.97,14.12,582400,14.12
2015-10-16,14.78,14.80,14.39,14.47,183600,14.47
2015-10-15,14.44,14.78,14.40,14.75,165700,14.75
2015-10-14,14.76,14.83,14.40,14.45,150500,14.45
2015-10-13,14.65,14.93,14.65,14.69,173000,14.69
2015-10-12,15.16,15.36,14.706,14.75,120700,14.75
2015-10-09,14.91,15.39,14.85,15.14,419300,15.14
