Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,13.44,13.67,13.36,13.36,6700,13.36
2016-01-22,13.60,13.74,13.44,13.73,5800,13.73
2016-01-21,13.43,13.60,13.38,13.54,4900,13.54
2016-01-20,13.62,13.75,13.59,13.59,7000,13.45
2016-01-19,13.73,13.81,13.61,13.78,1400,13.638042
2016-01-15,13.55,13.75,13.55,13.57,2600,13.430206
2016-01-14,13.56,13.86,13.56,13.77,1500,13.628146
2016-01-13,13.73,13.73,13.55,13.64,5300,13.499485
2016-01-12,13.66,13.92,13.66,13.77,3100,13.628146
2016-01-11,13.86,13.89,13.75,13.80,2600,13.657837
2016-01-08,13.75,13.86,13.74,13.75,7300,13.608351
2016-01-07,13.75,13.94,13.73,13.90,7500,13.756806
2016-01-06,13.92,13.92,13.92,13.92,300,13.7766
2016-01-05,14.04,14.04,13.80,13.93,1700,13.786497
2016-01-04,13.91,14.06,13.80,13.83,4900,13.687527
2015-12-31,14.03,14.20,14.02,14.03,4500,13.885467
2015-12-30,14.05,14.20,14.05,14.15,16100,14.00423
2015-12-29,14.24,14.24,14.05,14.05,3500,13.905261
2015-12-28,14.21,14.24,13.82,13.82,5000,13.67763
2015-12-24,14.12,14.22,14.12,14.22,300,14.07351
2015-12-23,14.00,14.19,14.00,14.19,29600,14.043818
2015-12-22,14.10,14.10,14.00,14.00,6700,13.855776
2015-12-21,13.89,14.08,13.89,14.08,17100,13.934952
2015-12-18,13.75,13.90,13.75,13.90,49500,13.756806
2015-12-17,13.75,13.75,13.68,13.75,1500,13.608351
2015-12-16,13.70,13.75,13.69,13.70,2200,13.558866
2015-12-15,13.55,13.77,13.50,13.76,5000,13.618249
2015-12-14,13.50,13.63,13.50,13.63,3500,13.489588
2015-12-11,13.50,13.65,13.50,13.51,1100,13.370824
2015-12-10,13.65,13.65,13.65,13.65,1200,13.509381
2015-12-09,13.51,13.65,13.51,13.64,1900,13.499485
2015-12-08,13.57,13.65,13.57,13.63,3500,13.489588
2015-12-07,13.52,13.69,13.52,13.56,6600,13.420309
2015-12-04,13.62,13.84,13.51,13.69,4900,13.548969
2015-12-03,13.70,13.71,13.63,13.66,5900,13.519279
2015-12-02,14.01,14.01,13.75,13.80,12000,13.657837
2015-12-01,13.92,14.05,13.92,14.02,1600,13.87557
2015-11-30,13.97,14.04,13.81,14.00,4700,13.855776
2015-11-27,13.97,13.97,13.97,13.97,000,13.826085
2015-11-25,14.05,14.05,13.80,13.97,5000,13.826085
2015-11-24,14.23,14.23,14.07,14.08,2300,13.934952
2015-11-23,14.18,14.19,14.18,14.18,3800,14.033922
2015-11-20,14.21,14.26,14.05,14.11,9000,13.964643
2015-11-19,14.23,14.26,14.21,14.26,700,14.113098
2015-11-18,14.26,14.26,14.15,14.15,1500,14.00423
2015-11-17,14.22,14.22,14.22,14.22,100,14.07351
2015-11-16,14.21,14.22,14.17,14.22,1700,14.07351
2015-11-13,14.24,14.27,14.15,14.22,1000,14.07351
2015-11-12,14.22,14.26,14.22,14.26,1100,14.113098
2015-11-11,14.05,14.26,14.01,14.26,1300,14.113098
2015-11-10,14.24,14.24,14.23,14.24,600,14.093303
2015-11-09,14.19,14.22,14.13,14.22,2900,14.07351
2015-11-06,14.18,14.28,13.83,14.14,3200,13.994334
2015-11-05,14.10,14.25,13.80,14.15,17200,14.00423
2015-11-04,14.05,14.21,13.76,14.10,11200,13.954746
2015-11-03,14.23,14.28,14.10,14.26,5900,14.113098
2015-11-02,14.25,14.30,14.16,14.30,9700,14.152686
2015-10-30,14.25,14.25,14.20,14.22,3500,14.07351
2015-10-29,14.25,14.25,14.20,14.25,900,14.103201
2015-10-28,14.21,14.30,14.20,14.20,500,14.053716
2015-10-27,14.25,14.34,14.20,14.20,7400,14.053716
2015-10-26,14.26,14.26,14.25,14.25,4200,14.103201
2015-10-23,14.35,14.35,14.25,14.25,1000,14.103201
2015-10-22,14.30,14.40,14.29,14.35,7500,14.202171
2015-10-21,14.25,14.25,14.25,14.25,300,14.103201
2015-10-20,14.48,14.50,14.38,14.40,15300,14.113098
2015-10-19,14.52,14.53,14.37,14.40,4200,14.113098
2015-10-16,14.42,14.51,14.40,14.41,2500,14.122899
2015-10-15,14.35,14.55,14.34,14.51,9200,14.220907
2015-10-14,14.60,14.60,14.50,14.50,4400,14.211106
2015-10-13,14.55,14.55,14.40,14.52,7200,14.230708
2015-10-12,14.59,14.59,14.35,14.52,2900,14.230708
2015-10-09,14.60,14.60,14.41,14.57,2100,14.279711
2015-10-08,14.77,14.77,14.72,14.73,900,14.436523
2015-10-07,14.75,14.86,14.58,14.58,8400,14.289512
2015-10-06,14.75,14.75,14.60,14.72,700,14.426723
2015-10-05,14.55,14.77,14.43,14.73,3800,14.436523
2015-10-02,14.52,14.52,14.52,14.52,200,14.230708
2015-10-01,14.55,14.55,14.55,14.55,800,14.26011
2015-09-30,14.55,14.55,14.35,14.54,4000,14.250309
2015-09-29,14.59,14.59,14.59,14.59,500,14.299313
2015-09-28,14.56,14.78,14.41,14.59,800,14.299313
2015-09-25,14.75,14.75,14.65,14.65,2000,14.358117
2015-09-24,14.84,14.84,14.42,14.81,2000,14.51493
2015-09-23,14.81,14.81,14.81,14.81,000,14.51493
2015-09-22,14.81,14.81,14.81,14.81,400,14.51493
2015-09-21,14.78,14.84,14.39,14.84,17100,14.544332
2015-09-18,14.47,14.74,14.46,14.74,10200,14.446324
2015-09-17,14.49,14.49,14.38,14.48,6800,14.191504
