Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,23.799999,23.799999,23.799999,23.799999,000,23.799999
2016-01-22,23.610001,23.799999,23.591999,23.799999,1700,23.799999
2016-01-21,23.23,23.433001,23.23,23.433001,600,23.433001
2016-01-20,23.690001,23.690001,23.690001,23.690001,000,23.690001
2016-01-19,23.700001,23.700001,23.66,23.690001,1900,23.690001
2016-01-15,23.58,23.58,23.51,23.51,1300,23.51
2016-01-14,23.809999,23.809999,23.809999,23.809999,100,23.809999
2016-01-13,24.09,24.09,24.09,24.09,900,24.09
2016-01-12,25.389999,25.389999,23.98,24.00,7900,24.00
2016-01-11,24.040001,24.040001,24.040001,24.040001,4200,24.040001
2016-01-08,24.190001,24.209999,24.00,24.00,2300,24.00
2016-01-07,24.360001,24.360001,24.188999,24.188999,500,24.188999
2016-01-06,24.34,24.639999,24.34,24.60,900,24.60
2016-01-05,24.549999,24.66,24.50,24.66,5000,24.66
2016-01-04,24.50,24.52,24.42,24.42,500,24.42
