Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,2.68,2.68,2.68,2.68,000,2.68
2016-01-22,2.68,2.68,2.68,2.68,000,2.68
2016-01-21,2.68,2.68,2.68,2.68,000,2.68
2016-01-20,2.68,2.68,2.68,2.68,000,2.68
2016-01-19,2.68,2.68,2.68,2.68,000,2.68
2016-01-15,2.68,2.68,2.68,2.68,000,2.68
2016-01-14,2.68,2.68,2.68,2.68,000,2.68
2016-01-13,2.68,2.68,2.68,2.68,000,2.68
2016-01-12,2.68,2.68,2.68,2.68,000,2.68
2016-01-11,2.68,2.68,2.68,2.68,000,2.68
2016-01-08,2.68,2.68,2.68,2.68,000,2.68
2016-01-07,2.68,2.68,2.68,2.68,000,2.68
2016-01-06,2.68,2.68,2.68,2.68,000,2.68
2016-01-05,2.68,2.68,2.68,2.68,000,2.68
2016-01-04,2.68,2.68,2.68,2.68,000,2.68
2015-12-31,2.58,2.68,2.57,2.68,4900,2.68
2015-12-30,2.89,2.89,2.89,2.89,000,2.89
2015-12-29,2.89,2.89,2.89,2.89,000,2.89
2015-12-28,2.89,2.89,2.89,2.89,100,2.89
2015-12-24,2.90,2.90,2.90,2.90,000,2.90
2015-12-23,2.84,2.90,2.84,2.90,500,2.90
2015-12-22,3.03,3.03,3.03,3.03,000,3.03
2015-12-21,3.03,3.03,3.03,3.03,000,3.03
2015-12-18,3.03,3.03,3.03,3.03,000,3.03
2015-12-17,3.00,3.10,2.51,3.03,4500,3.03
2015-12-16,3.11,3.11,3.11,3.11,000,3.11
2015-12-15,3.11,3.11,3.11,3.11,000,3.11
2015-12-14,3.11,3.11,3.11,3.11,000,3.11
2015-12-11,3.11,3.11,3.11,3.11,000,3.11
2015-12-10,3.11,3.11,3.11,3.11,000,3.11
2015-12-09,3.11,3.11,3.11,3.11,000,3.11
2015-12-08,3.11,3.11,3.11,3.11,000,3.11
2015-12-07,3.11,3.11,3.11,3.11,400,3.11
2015-12-04,3.39,3.39,3.39,3.39,000,3.39
2015-12-03,3.39,3.39,3.39,3.39,000,3.39
2015-12-02,3.39,3.39,3.39,3.39,000,3.39
2015-12-01,3.39,3.39,3.39,3.39,000,3.39
2015-11-30,3.26,3.39,3.26,3.39,1400,3.39
2015-11-27,3.77,3.77,3.77,3.77,000,3.77
2015-11-25,3.77,3.77,3.77,3.77,000,3.77
2015-11-24,3.77,3.77,3.77,3.77,000,3.77
2015-11-23,3.77,3.77,3.77,3.77,000,3.77
2015-11-20,3.77,3.77,3.77,3.77,000,3.77
2015-11-19,3.77,3.77,3.77,3.77,000,3.77
2015-11-18,3.44,3.77,3.44,3.77,300,3.77
2015-11-17,3.47,3.47,3.47,3.47,000,3.47
2015-11-16,3.47,3.47,3.47,3.47,000,3.47
2015-11-13,3.47,3.47,3.47,3.47,000,3.47
2015-11-12,3.47,3.47,3.47,3.47,000,3.47
2015-11-11,3.47,3.47,3.47,3.47,000,3.47
2015-11-10,3.37,3.47,3.37,3.47,1600,3.47
2015-11-09,3.95,3.95,3.95,3.95,1400,3.95
2015-11-06,3.95,3.95,3.95,3.95,000,3.95
2015-11-05,3.95,3.95,3.95,3.95,000,3.95
2015-11-04,3.95,3.95,3.95,3.95,100,3.95
2015-11-03,3.534,3.93,3.534,3.93,1100,3.93
2015-11-02,3.52,3.87,3.51,3.87,1100,3.87
2015-10-30,4.03,4.03,4.03,4.03,100,4.03
2015-10-29,4.09,4.09,4.09,4.09,000,4.09
2015-10-28,4.09,4.09,4.09,4.09,000,4.09
2015-10-27,4.08,4.09,4.08,4.09,1000,4.09
2015-10-26,3.52,4.10,3.52,4.08,700,4.08
2015-10-23,3.32,3.32,3.32,3.32,100,3.32
2015-10-22,3.95,3.95,3.95,3.95,000,3.95
2015-10-21,3.95,3.95,3.95,3.95,000,3.95
2015-10-20,3.95,3.95,3.95,3.95,000,3.95
2015-10-19,3.95,3.95,3.95,3.95,200,3.95
2015-10-16,3.90,3.90,3.90,3.90,000,3.90
2015-10-15,3.90,3.90,3.90,3.90,000,3.90
2015-10-14,3.90,3.90,3.90,3.90,000,3.90
2015-10-13,3.40,3.90,3.40,3.90,400,3.90
2015-10-12,3.50,3.98,3.42,3.90,700,3.90
2015-10-09,4.48,4.48,4.48,4.48,000,4.48
2015-10-08,4.48,4.48,4.48,4.48,000,4.48
2015-10-07,4.48,4.48,4.48,4.48,000,4.48
2015-10-06,4.48,4.48,4.48,4.48,000,4.48
2015-10-05,4.48,4.48,4.48,4.48,000,4.48
2015-10-02,4.48,4.48,4.48,4.48,000,4.48
2015-10-01,4.48,4.48,4.48,4.48,000,4.48
2015-09-30,4.48,4.48,4.48,4.48,300,4.48
2015-09-29,4.05,4.05,4.05,4.05,000,4.05
2015-09-28,4.05,4.05,4.05,4.05,000,4.05
2015-09-25,4.20,4.20,4.05,4.05,300,4.05
2015-09-24,4.13,4.13,4.11,4.11,600,4.11
2015-09-23,4.10,4.10,4.10,4.10,400,4.10
2015-09-22,4.00,4.053,3.90,4.053,3100,4.053
2015-09-21,4.00,4.00,3.86,3.97,4100,3.97
2015-09-18,3.52,5.17,3.52,5.00,900,5.00
2015-09-17,3.90,3.90,3.90,3.90,000,3.90
2015-09-16,4.10,4.10,3.90,3.90,1100,3.90
2015-09-15,4.00,4.00,4.00,4.00,000,4.00
2015-09-14,4.15,4.15,4.00,4.00,400,4.00
2015-09-11,4.18,4.18,4.18,4.18,000,4.18
2015-09-10,4.18,4.18,4.18,4.18,000,4.18
2015-09-09,4.18,4.18,4.18,4.18,000,4.18
2015-09-08,3.72,4.18,3.72,4.18,1100,4.18
2015-09-04,3.99,3.99,3.99,3.99,000,3.99
2015-09-03,3.99,3.99,3.99,3.99,100,3.99
2015-09-02,3.94,3.94,3.80,3.80,400,3.80
2015-09-01,3.99,3.99,3.80,3.80,400,3.80
2015-08-31,3.85,3.85,3.85,3.85,000,3.85
2015-08-28,3.85,3.85,3.85,3.85,000,3.85
2015-08-27,3.85,3.85,3.85,3.85,300,3.85
2015-08-26,4.29,4.29,4.29,4.29,000,4.29
2015-08-25,3.99,4.29,3.99,4.29,200,4.29
2015-08-24,4.60,4.60,4.60,4.60,000,4.60
