Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,12.57,12.77,11.83,11.97,546400,11.97
2016-01-22,12.46,12.46,11.88,12.22,1130500,12.22
2016-01-21,12.06,12.25,11.64,11.94,600900,11.94
2016-01-20,12.21,12.25,11.45,11.95,1525400,11.95
2016-01-19,13.00,13.33,12.11,12.51,1457800,12.51
2016-01-15,12.75,13.09,12.13,12.96,1589700,12.96
2016-01-14,13.49,13.60,12.75,13.06,1792300,13.06
2016-01-13,13.78,13.83,13.00,13.295,966200,13.295
2016-01-12,13.84,14.14,13.25,13.56,844700,13.56
2016-01-11,13.60,14.13,13.49,13.73,597100,13.73
2016-01-08,13.55,13.85,13.55,13.59,510700,13.59
2016-01-07,13.62,13.911,13.16,13.51,1210400,13.51
2016-01-06,13.60,14.25,13.58,13.92,1661500,13.92
2016-01-05,13.44,13.98,13.36,13.67,1299300,13.67
2016-01-04,13.43,13.49,13.04,13.36,1771000,13.36
2015-12-31,13.67,13.74,13.52,13.55,411300,13.55
2015-12-30,13.81,13.89,13.54,13.60,736300,13.60
2015-12-29,13.94,13.97,13.50,13.77,734400,13.77
2015-12-28,14.19,14.37,13.55,13.73,655100,13.73
2015-12-24,13.97,14.295,13.72,14.09,346200,14.09
2015-12-23,14.16,14.16,13.64,14.03,636100,14.03
2015-12-22,13.59,14.18,13.56,13.91,388400,13.91
2015-12-21,14.42,14.45,13.48,13.90,851800,13.90
2015-12-18,14.28,14.58,13.96,14.33,2981800,14.33
2015-12-17,14.83,14.95,14.23,14.28,737600,14.28
2015-12-16,14.50,14.74,14.205,14.68,1264600,14.68
2015-12-15,13.76,14.50,13.57,14.08,1208600,14.08
2015-12-14,13.52,13.87,13.38,13.63,1575400,13.63
2015-12-11,13.65,13.99,13.53,13.84,1020400,13.84
2015-12-10,13.93,14.00,13.45,13.92,1247000,13.92
2015-12-09,13.30,13.84,13.14,13.55,715600,13.55
2015-12-08,13.00,13.40,13.00,13.38,630000,13.38
2015-12-07,13.39,13.48,13.00,13.25,663600,13.25
2015-12-04,13.05,13.26,12.82,13.11,1413800,13.11
2015-12-03,13.99,14.12,13.00,13.05,1674100,13.05
2015-12-02,14.02,14.20,14.00,14.10,461800,14.10
2015-12-01,14.53,14.53,13.90,14.23,915400,14.23
2015-11-30,14.93,14.931,14.00,14.48,1492200,14.48
2015-11-27,14.60,14.80,14.32,14.62,507200,14.62
2015-11-25,14.05,14.64,14.05,14.41,1109800,14.41
2015-11-24,14.29,15.10,13.62,14.22,2253200,14.22
2015-11-23,15.96,15.98,14.06,14.37,3233500,14.37
2015-11-20,15.28,16.17,14.37,15.20,7389600,15.20
2015-11-19,13.50,14.89,12.63,14.74,26921600,14.74
