Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,9.10,9.20,8.57,9.00,41000,9.00
2016-01-22,9.40,9.63,8.65,9.10,92800,9.10
2016-01-21,10.09,10.39,8.82,9.22,147400,9.22
2016-01-20,10.16,10.41,9.40,9.83,110700,9.83
2016-01-19,10.83,11.478,9.92,10.39,129300,10.39
2016-01-15,10.56,11.797,9.77,10.81,158000,10.81
2016-01-14,11.99,12.93,9.67,10.89,163800,10.89
2016-01-13,13.00,13.045,11.87,12.03,62200,12.03
2016-01-12,13.66,13.76,12.36,12.88,33200,12.88
2016-01-11,13.64,13.82,12.812,13.11,87900,13.11
2016-01-08,13.43,13.759,13.02,13.27,46700,13.27
2016-01-07,13.218,13.70,12.86,13.36,29600,13.36
2016-01-06,14.26,15.00,13.90,14.00,64800,14.00
2016-01-05,14.20,14.96,13.91,14.37,91600,14.37
2016-01-04,14.52,15.45,13.58,14.20,252800,14.20
2015-12-31,16.139999,16.76,14.51,14.66,81400,14.66
2015-12-30,16.110001,16.450001,15.01,15.93,90400,15.93
2015-12-29,14.94,16.209,14.34,16.040001,76400,16.040001
2015-12-28,15.11,15.25,14.32,14.94,40200,14.94
2015-12-24,14.60,15.92,14.53,15.12,64100,15.12
2015-12-23,14.40,15.63,13.52,14.73,44300,14.73
2015-12-22,14.75,15.74,13.69,14.09,99700,14.09
2015-12-21,13.38,15.08,13.06,14.80,110400,14.80
2015-12-18,12.74,14.82,11.30,13.52,895300,13.52
2015-12-17,11.42,13.40,10.48,12.61,171900,12.61
2015-12-16,10.18,12.00,10.05,11.40,124100,11.40
2015-12-15,11.46,11.69,10.01,10.86,173500,10.86
2015-12-14,12.25,12.835,10.81,11.24,121400,11.24
2015-12-11,13.28,13.28,12.25,12.48,133700,12.48
2015-12-10,13.36,13.45,12.46,12.82,47200,12.82
2015-12-09,13.32,14.09,12.40,12.78,35200,12.78
2015-12-08,13.09,14.05,11.80,13.55,75000,13.55
2015-12-07,13.02,14.06,12.851,13.59,98500,13.59
2015-12-04,12.75,14.40,12.60,12.76,132600,12.76
2015-12-03,12.48,12.80,12.22,12.55,35400,12.55
2015-12-02,12.50,12.77,12.27,12.37,22500,12.37
2015-12-01,12.81,12.845,11.82,12.50,51600,12.50
2015-11-30,12.77,13.15,12.12,12.37,182900,12.37
2015-11-27,12.79,12.79,11.60,12.40,228200,12.40
2015-11-25,12.45,13.165,12.31,12.73,43100,12.73
2015-11-24,12.85,13.15,11.90,12.41,117000,12.41
2015-11-23,12.17,12.61,11.65,12.60,143300,12.60
2015-11-20,12.54,12.54,11.61,11.83,73600,11.83
2015-11-19,10.99,12.50,10.76,12.17,93100,12.17
2015-11-18,10.69,11.21,10.323,11.21,189400,11.21
2015-11-17,10.51,10.97,10.23,10.97,96900,10.97
2015-11-16,10.39,10.73,10.05,10.73,49900,10.73
2015-11-13,10.63,10.90,10.30,10.64,44200,10.64
2015-11-12,10.70,11.00,10.633,10.87,12600,10.87
2015-11-11,9.63,11.318,9.12,10.92,121400,10.92
2015-11-10,9.86,9.90,9.67,9.89,30100,9.89
2015-11-09,9.83,9.96,9.107,9.85,44500,9.85
2015-11-06,9.97,9.97,9.71,9.96,44600,9.96
2015-11-05,10.03,10.05,8.98,9.89,157300,9.89
2015-11-04,10.00,10.20,10.00,10.06,31700,10.06
2015-11-03,10.15,10.42,10.00,10.15,65300,10.15
2015-11-02,10.59,10.59,9.99,10.44,235900,10.44
2015-10-30,10.50,10.89,10.00,10.21,198900,10.21
2015-10-29,11.08,11.34,10.25,10.53,1475600,10.53
