7.18,7.25,6.01,7.12,15100,5.888485
2008-12-29,7.01,7.25,6.87,7.14,3100,5.905026
2008-12-26,7.01,7.26,7.01,7.26,9500,6.00427
2008-12-24,7.42,7.42,7.42,7.42,600,6.136595
2008-12-23,7.41,7.41,7.00,7.20,4300,5.954648
2008-12-22,7.53,7.53,7.53,7.53,200,6.227569
2008-12-19,7.10,7.10,6.76,6.76,1100,5.590753
2008-12-18,7.44,7.44,7.44,7.44,000,6.153136
2008-12-17,7.30,7.51,7.25,7.44,4600,6.153136
2008-12-16,7.25,7.53,6.89,7.53,4200,6.227569
2008-12-15,7.30,7.64,7.30,7.30,700,6.037351
2008-12-12,7.25,7.25,7.23,7.24,6400,5.987729
2008-12-11,7.50,7.50,7.50,7.50,100,6.202758
2008-12-10,8.00,8.00,7.01,7.74,2300,6.401246
2008-12-09,7.10,7.99,7.10,7.99,7900,6.608005
2008-12-08,8.00,8.00,8.00,8.00,1800,6.616275
2008-12-05,8.00,8.00,7.01,7.50,7800,6.202758
2008-12-04,8.10,8.24,8.00,8.00,4800,6.616275
2008-12-03,7.80,7.80,7.00,7.71,14100,6.376435
2008-12-02,8.60,8.60,7.25,8.20,1200,6.781682
2008-12-01,9.00,9.00,9.00,9.00,000,7.44331
2008-11-28,9.00,9.00,9.00,9.00,000,7.44331
2008-11-26,9.00,9.00,9.00,9.00,400,7.44331
2008-11-25,9.00,9.00,8.80,8.80,6500,7.277903
2008-11-24,9.01,9.01,9.01,9.01,300,7.45158
2008-11-21,9.52,9.52,9.00,9.51,700,7.865097
2008-11-20,9.03,9.03,9.03,9.03,100,7.468121
2008-11-19,9.00,9.03,9.00,9.03,900,7.468121
2008-11-18,9.00,9.00,9.00,9.00,000,7.44331
2008-11-17,9.00,9.00,9.00,9.00,000,7.44331
2008-11-14,9.00,9.00,9.00,9.00,100,7.44331
2008-11-13,9.00,9.52,9.00,9.52,4000,7.873368
2008-11-12,9.00,9.00,9.00,9.00,000,7.44331
2008-11-11,9.05,9.05,9.00,9.00,2000,7.44331
2008-11-10,9.50,9.50,9.48,9.50,400,7.856827
2008-11-07,9.25,9.25,9.25,9.25,100,7.650068
2008-11-06,9.38,9.38,9.00,9.05,600,7.484662
2008-11-05,9.51,9.51,9.50,9.51,400,7.865097
2008-11-04,9.01,9.01,9.01,9.01,100,7.45158
2008-11-03,10.00,10.00,10.00,10.00,100,8.270344
2008-10-31,9.02,9.02,9.00,9.01,400,7.45158
2008-10-30,9.65,9.65,9.03,9.65,4900,7.980882
2008-10-29,9.50,9.50,9.50,9.50,000,7.856827
2008-10-28,9.50,9.80,9.50,9.50,3300,7.782394
2008-10-27,9.80,9.80,9.80,9.80,300,8.028154
2008-10-24,9.00,9.00,9.00,9.00,000,7.372794
2008-10-23,9.98,10.00,9.00,9.00,1200,7.372794
2008-10-22,9.00,10.00,8.50,8.50,3400,6.963195
2008-10-21,10.75,10.75,10.75,10.75,000,8.806393
2008-10-20,10.75,10.75,10.75,10.75,000,8.806393
2008-10-17,10.75,10.75,10.75,10.75,100,8.806393
2008-10-16,10.00,10.00,10.00,10.00,400,8.191994
2008-10-15,11.00,11.00,10.45,10.45,1300,8.560633
2008-10-14,11.50,11.50,11.50,11.50,3100,9.420793
2008-10-13,10.90,11.25,10.90,11.00,1100,9.011193
2008-10-10,10.90,11.00,10.90,11.00,800,9.011193
2008-10-09,11.50,11.50,10.75,11.00,500,9.011193
2008-10-08,11.25,11.25,11.00,11.00,200,9.011193
2008-10-07,10.48,12.00,10.48,11.52,2500,9.437177
2008-10-06,11.54,11.54,11.50,11.52,700,9.437177
2008-10-03,11.50,11.50,11.50,11.50,000,9.420793
2008-10-02,11.50,11.50,11.50,11.50,100,9.420793
2008-10-01,11.52,11.52,11.52,11.52,000,9.437177
2008-09-30,11.52,11.52,11.52,11.52,100,9.437177
2008-09-29,12.00,12.00,12.00,12.00,500,9.830393
2008-09-26,11.99,13.00,11.99,12.00,1100,9.830393
2008-09-25,11.75,12.25,11.50,11.50,1100,9.420793
2008-09-24,12.00,12.25,11.50,12.25,2200,10.035192
2008-09-23,12.00,12.00,12.00,12.00,000,9.830393
2008-09-22,12.00,12.00,12.00,12.00,200,9.830393
2008-09-19,13.00,13.00,11.50,12.50,8500,10.239992
2008-09-18,11.60,11.60,11.60,11.60,000,9.502713
2008-09-17,11.95,11.95,11.60,11.60,500,9.502713
2008-09-16,12.25,12.25,11.75,12.25,600,10.035192
2008-09-15,12.50,12.50,12.50,12.50,000,10.239992
2008-09-12,12.50,12.50,12.50,12.50,000,10.239992
2008-09-11,12.50,12.50,12.50,12.50,000,10.239992
2008-09-10,12.50,12.50,12.50,12.50,500,10.239992
2008-09-09,12.50,12.50,12.50,12.50,000,10.239992
2008-09-08,12.50,12.50,12.50,12.50,000,10.239992
2008-09-05,12.50,12.50,12.00,12.50,7000,10.239992
2008-09-04,12.95,12.95,12.00,12.00,1100,9.830393
2008-09-03,11.05,11.05,11.05,11.05,000,9.052153
2008-09-02,11.05,11.05,11.05,11.05,000,9.052153
2008-08-29,11.05,11.05,11.05,11.05,000,9.052153
2008-08-28,12.00,12.00,11.05,11.05,2500,9.052153
2008-08-27,12.35,12.35,12.00,12.00,600,9.830393
2008-08-26,12.50,12.50,12.50,12.50,000,10.239992
2008-08-25,12.50,12.50,12.50,12.50,300,10.239992
2008-08-22,13.00,13.00,12.45,12.45,1400,10.199032
2008-08-21,12.25,12.25,12.25,12.25,000,10.035192
2008-08-20,12.25,12.50,12.23,12.25,1700,10.035192
2008-08-19,12.50,12.50,11.75,12.40,2200,10.158072
2008-08-18,11.60,12.45,11.50,12.45,9100,10.199032
2008-08-15,11.50,11.60,11.50,11.60,2600,9.502713
2008-08-14,11.45,11.59,11.45,11.59,600,9.494521
2008-08-13,11.74,11.74,11.60,11.60,4200,9.502713
2008-08-12,11.40,11.40,11.39,11.40,1300,9.338873
2008-08-11,11.00,11.40,11.00,11.40,700,9.338873
2008-08-08,10.05,12.00,10.00,11.15,19500,9.134073
2008-08-07,10.05,10.05,9.85,10.00,8000,8.191994
2008-08-06,10.01,10.01,10.01,10.01,1200,8.200186
2008-08-05,10.03,10.03,9.99,10.00,2200,8.191994
2008-08-04,10.00,10.00,10.00,10.00,4000,8.191994
2008-08-01,10.00,10.00,9.86,9.86,4100,8.077306
2008-07-31,10.50,10.50,9.86,9.86,13300,8.077306
2008-07-30,11.65,11.65,10.27,10.27,4600,8.413178
2008-07-29,12.00,12.00,12.00,12.00,000,9.756665
2008-07-28,12.00,12.00,12.00,12.00,000,9.756665
2008-07-25,11.80,12.00,11.80,12.00,800,9.756665
2008-07-24,11.41,11.60,11.41,11.60,1500,9.431443
2008-07-23,11.60,11.60,11.60,11.60,200,9.431443
2008-07-22,11.41,11.65,11.41,11.65,700,9.472095
2008-07-21,11.40,11.40,11.40,11.40,000,9.268831
2008-07-18,11.45,11.45,11.40,11.40,1000,9.268831
2008-07-17,10.80,11.45,10.10,11.45,2200,9.309484
2008-07-16,10.00,10.75,10.00,10.75,3200,8.740346
2008-07-15,10.95,10.95,9.50,10.00,4600,8.130554
2008-07-14,11.01,11.01,11.01,11.01,000,8.95174
2008-07-11,11.01,11.01,11.01,11.01,000,8.95174
2008-07-10,11.01,11.01,11.01,11.01,000,8.95174
2008-07-09,11.01,11.01,11.01,11.01,000,8.95174
2008-07-08,11.01,11.01,11.01,11.01,000,8.95174
2008-07-07,11.20,11.20,11.01,11.01,1000,8.95174
2008-07-03,11.00,11.00,11.00,11.00,500,8.943609
2008-07-02,10.61,11.60,10.61,11.60,900,9.431443
2008-07-01,11.30,11.30,11.30,11.30,200,9.187526
2008-06-30,11.50,12.00,11.00,11.25,4700,9.146873
2008-06-27,12.50,12.50,12.50,12.50,000,10.163192
2008-06-26,12.00,12.50,12.00,12.50,900,10.163192
2008-06-25,13.00,13.00,12.97,13.00,1900,10.56972
2008-06-24,13.00,13.00,12.50,13.00,3200,10.56972
2008-06-23,13.10,13.10,13.10,13.10,000,10.651026
2008-06-20,13.10,13.10,13.10,13.10,000,10.651026
2008-06-19,13.10,13.10,13.10,13.10,000,10.651026
2008-06-18,13.10,13.10,12.95,13.10,8200,10.651026
2008-06-17,13.00,13.00,13.00,13.00,2700,10.56972
2008-06-16,13.00,13.00,13.00,13.00,000,10.56972
2008-06-13,13.00,13.00,13.00,13.00,300,10.56972
2008-06-12,13.75,13.75,13.75,13.75,000,11.179512
2008-06-11,13.75,13.75,13.75,13.75,200,11.179512
2008-06-10,14.00,14.00,14.00,14.00,000,11.382776
2008-06-09,14.00,14.00,14.00,14.00,000,11.382776
2008-06-06,14.00,14.00,14.00,14.00,000,11.382776
2008-06-05,14.00,14.00,14.00,14.00,000,11.382776
2008-06-04,14.00,14.00,14.00,14.00,500,11.382776
2008-06-03,14.00,14.00,14.00,14.00,100,11.382776
2008-06-02,13.52,13.52,13.52,13.52,000,10.992509
2008-05-30,13.59,13.59,13.51,13.52,400,10.992509
2008-05-29,14.00,14.00,14.00,14.00,200,11.382776
2008-05-28,13.75,13.75,13.00,13.08,1800,10.634765
2008-05-27,13.06,13.06,13.06,13.06,000,10.618504
2008-05-23,13.06,13.06,13.06,13.06,100,10.618504
2008-05-22,14.00,14.00,14.00,14.00,000,11.382776
2008-05-21,14.00,14.00,14.00,14.00,200,11.382776
2008-05-20,13.60,13.60,13.60,13.60,000,11.057554
2008-05-19,13.61,13.61,13.60,13.60,300,11.057554
2008-05-16,13.51,13.51,13.51,13.51,000,10.984379
2008-05-15,13.11,13.51,13.00,13.51,600,10.984379
2008-05-14,14.00,14.00,14.00,14.00,400,11.382776
2008-05-13,13.67,13.67,13.00,13.50,700,10.976248
2008-05-12,14.50,14.50,14.50,14.50,400,11.789303
2008-05-09,14.50,14.50,14.50,14.50,000,11.789303
2008-05-08,14.50,14.50,14.50,14.50,000,11.789303
2008-05-07,14.50,14.50,14.50,14.50,200,11.789303
2008-05-06,14.15,14.15,14.15,14.15,000,11.504734
2008-05-05,14.15,14.15,14.15,14.15,000,11.504734
2008-05-02,14.15,14.15,14.15,14.15,100,11.504734
2008-05-01,14.00,14.17,14.00,14.17,600,11.520995
2008-04-30,13.70,13.70,13.70,13.70,100,11.138859
2008-04-29,14.00,14.00,13.00,13.53,2700,10.927464
2008-04-28,13.50,13.50,13.50,13.50,200,10.903234
2008-04-25,14.00,14.00,13.50,13.50,1100,10.903234
2008-04-24,14.00,14.00,14.00,14.00,1000,11.307058
2008-04-23,14.70,14.70,14.00,14.00,2600,11.307058
2008-04-22,15.00,15.00,15.00,15.00,000,12.114705
2008-04-21,14.99,15.00,14.98,15.00,2500,12.114705
2008-04-18,14.60,14.60,14.60,14.60,000,11.791646
2008-04-17,14.60,14.60,14.60,14.60,100,11.791646
2008-04-16,14.65,14.65,14.65,14.65,000,11.832028
2008-04-15,14.65,14.65,14.65,14.65,000,11.832028
2008-04-14,14.65,14.65,14.65,14.65,3000,11.832028
2008-04-11,14.60,14.60,14.50,14.50,3100,11.710881
2008-04-10,14.75,14.75,14.50,14.50,2100,11.710881
2008-04-09,14.76,14.76,14.76,14.76,000,11.92087
2008-04-08,14.76,14.76,14.76,14.76,000,11.92087
2008-04-07,14.76,14.76,14.76,14.76,000,11.92087
2008-04-04,14.76,14.76,14.76,14.76,000,11.92087
2008-04-03,14.76,14.76,14.76,14.76,000,11.92087
2008-04-02,14.76,14.76,14.76,14.76,000,11.92087
2008-04-01,14.76,14.76,14.76,14.76,400,11.92087
2008-03-31,14.80,14.80,14.80,14.80,000,11.953176
2008-03-28,14.80,14.80,14.80,14.80,000,11.953176
2008-03-27,14.85,14.85,14.80,14.80,600,11.953176
2008-03-26,14.50,14.50,14.50,14.50,000,11.710881
2008-03-25,14.50,14.50,14.50,14.50,000,11.710881
2008-03-24,14.50,14.50,14.50,14.50,000,11.710881
2008-03-20,14.50,14.50,14.50,14.50,800,11.710881
2008-03-19,14.12,15.00,14.12,14.30,13000,11.549352
2008-03-18,14.00,14.00,14.00,14.00,400,11.307058
2008-03-17,14.00,14.00,13.50,13.50,200,10.903234
2008-03-14,15.00,15.00,15.00,15.00,000,12.114705
2008-03-13,15.00,15.00,15.00,15.00,000,12.114705
2008-03-12,14.70,15.25,14.70,15.00,3400,12.114705
2008-03-11,14.50,14.50,14.50,14.50,000,11.710881
2008-03-10,14.50,14.50,14.50,14.50,000,11.710881
2008-03-07,14.50,14.50,14.50,14.50,400,11.710881
2008-03-06,14.50,14.75,14.50,14.75,400,11.912793
2008-03-05,14.50,14.50,14.42,14.42,600,11.64627
2008-03-04,14.75,14.75,14.75,14.75,100,11.912793
2008-03-03,14.90,14.90,14.90,14.90,100,12.03394
2008-02-29,15.00,15.00,15.00,15.00,200,12.114705
2008-02-28,15.25,15.25,15.25,15.25,000,12.316617
2008-02-27,15.25,15.25,15.25,15.25,200,12.316617
2008-02-26,15.10,15.10,15.00,15.00,10100,12.114705
2008-02-25,15.00,15.00,14.90,14.90,300,12.03394
2008-02-22,15.10,15.10,15.10,15.10,000,12.19547
2008-02-21,15.10,15.10,15.10,15.10,000,12.19547
2008-02-20,15.00,15.25,15.00,15.10,400,12.19547
2008-02-19,14.72,14.72,14.72,14.72,300,11.888564
2008-02-15,14.55,14.60,14.52,14.52,1500,11.727035
2008-02-14,14.50,14.53,14.50,14.50,1600,11.710881
2008-02-13,14.79,14.79,14.34,14.70,3500,11.872411
2008-02-12,15.45,15.45,13.50,14.50,4000,11.710881
2008-02-11,15.60,15.60,15.60,15.60,000,12.599293
2008-02-08,15.60,15.60,15.60,15.60,200,12.599293
2008-02-07,15.60,15.60,15.45,15.45,700,12.478146
2008-02-06,15.75,15.75,15.75,15.75,000,12.72044
2008-02-05,15.75,15.75,15.75,15.75,000,12.72044
2008-02-04,15.75,15.75,15.75,15.75,500,12.72044
2008-02-01,15.50,15.65,15.50,15.65,2100,12.639675
2008-01-31,15.15,15.35,15.15,15.35,300,12.397382
2008-01-30,14.77,14.77,14.77,14.77,200,11.928946
2008-01-29,14.71,15.00,14.71,15.00,900,12.042017
2008-01-28,15.00,15.00,15.00,15.00,000,12.042017
2008-01-25,15.00,15.00,15.00,15.00,1300,12.042017
2008-01-24,15.00,15.00,15.00,15.00,400,12.042017
2008-01-23,15.00,15.50,14.95,14.95,8700,12.001877
2008-01-22,13.51,15.15,13.51,15.00,4200,12.042017
2008-01-18,14.25,14.25,14.00,14.00,1200,11.239216
2008-01-17,14.26,14.26,14.26,14.26,000,11.447944
2008-01-16,14.48,14.85,14.26,14.26,2400,11.447944
2008-01-15,15.00,15.00,14.50,14.87,3400,11.937653
2008-01-14,14.84,14.85,14.35,14.50,3000,11.640616
