Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,19.440001,20.799999,19.00,20.34,280900,20.34
2016-01-22,19.860001,20.77,19.42,19.690001,437000,19.690001
2016-01-21,19.25,19.620001,18.41,19.42,511700,19.42
2016-01-20,17.309999,19.200001,17.08,19.00,581500,19.00
2016-01-19,18.459999,18.48,16.860001,18.190001,831300,18.190001
2016-01-15,18.18,18.959999,17.66,17.75,726000,17.75
2016-01-14,21.76,21.77,18.26,19.17,1670400,19.17
2016-01-13,18.99,23.299999,15.90,21.379999,3977800,21.379999
2016-01-12,18.90,19.790001,16.450001,19.18,2671400,19.18
2016-01-11,23.950001,25.440001,19.00,20.700001,2261800,20.700001
2016-01-08,25.99,25.99,20.10,23.35,2205200,23.35
2016-01-07,28.02,28.030001,22.059999,25.92,3344400,25.92
2016-01-06,31.18,31.379999,28.60,29.030001,763900,29.030001
2016-01-05,30.450001,32.869999,30.00,31.959999,694700,31.959999
2016-01-04,33.00,33.00,28.73,29.639999,1397300,29.639999
2015-12-31,36.849998,37.639999,33.509998,33.529999,859100,33.529999
2015-12-30,40.00,40.220001,36.200001,37.110001,832200,37.110001
2015-12-29,39.84,41.310001,39.84,40.240002,386000,40.240002
2015-12-28,45.799999,45.970001,39.599998,39.84,710000,39.84
2015-12-24,46.75,47.07,44.23,45.889999,152800,45.889999
2015-12-23,47.450001,47.459999,46.509998,46.91,131400,46.91
2015-12-22,46.34,47.50,45.189999,46.860001,248000,46.860001
2015-12-21,44.669998,46.490002,44.00,46.18,158700,46.18
2015-12-18,44.50,45.259998,43.169998,44.669998,187900,44.669998
2015-12-17,47.419998,47.50,44.009998,44.779999,206100,44.779999
2015-12-16,45.00,46.75,44.540001,46.66,178000,46.66
2015-12-15,43.099998,44.82,43.099998,44.32,232600,44.32
2015-12-14,44.779999,45.900002,41.509998,42.27,345400,42.27
2015-12-11,48.52,48.52,44.529999,45.119999,423800,45.119999
2015-12-10,48.32,49.939999,48.259998,49.00,307500,49.00
2015-12-09,47.720001,50.00,47.540001,47.93,433500,47.93
2015-12-08,45.00,47.73,44.75,47.639999,267200,47.639999
2015-12-07,46.900002,47.220001,45.009998,45.73,173600,45.73
2015-12-04,44.650002,47.450001,44.650002,47.130001,212800,47.130001
2015-12-03,46.57,47.75,44.049999,44.869999,267100,44.869999
2015-12-02,47.00,47.799999,45.57,46.459999,259300,46.459999
2015-12-01,48.59,48.860001,45.200001,46.599998,368200,46.599998
2015-11-30,49.00,49.75,48.110001,48.389999,326800,48.389999
2015-11-27,48.830002,49.68,48.02,48.279999,225000,48.279999
2015-11-25,46.130001,49.970001,46.130001,47.869999,417300,47.869999
2015-11-24,42.50,47.599998,42.169998,46.34,424000,46.34
2015-11-23,42.240002,44.139999,40.50,43.459999,318100,43.459999
2015-11-20,41.389999,43.759998,41.25,42.560001,462600,42.560001
2015-11-19,41.98,42.389999,38.00,40.900002,760300,40.900002
2015-11-18,45.599998,48.00,40.68,42.529999,1061100,42.529999
2015-11-17,54.32,54.490002,40.860001,45.470001,1534600,45.470001
2015-11-16,51.25,54.209999,51.00,53.720001,333400,53.720001
2015-11-13,51.84,53.48,51.02,51.459999,244900,51.459999
2015-11-12,51.509998,52.330002,50.200001,51.77,201400,51.77
2015-11-11,53.439999,53.66,51.68,52.139999,182700,52.139999
2015-11-10,52.549999,53.939999,52.110001,53.360001,317300,53.360001
2015-11-09,51.209999,52.790001,50.709999,52.549999,297300,52.549999
2015-11-06,50.360001,52.330002,50.119999,50.889999,392500,50.889999
2015-11-05,49.540001,52.00,49.060001,50.830002,396000,50.780003
2015-11-04,52.709999,54.00,47.290001,49.32,834200,49.271486
2015-11-03,53.00,55.450001,50.959999,52.150002,759400,52.098704
2015-11-02,49.580002,53.869999,49.060001,52.790001,692200,52.738074
2015-10-30,48.50,49.900002,46.75,49.259998,549900,49.211543
2015-10-29,44.00,48.400002,43.060001,48.310001,906700,48.262481
2015-10-28,39.330002,45.27,39.310001,44.00,1351500,43.956719
2015-10-27,41.299999,41.549999,38.50,38.630001,470100,38.592002
2015-10-26,43.00,43.84,40.93,41.360001,460900,41.319317
2015-10-23,40.060001,42.880001,39.799999,42.549999,656400,42.508145
2015-10-22,37.98,39.990002,37.630001,39.799999,347300,39.76085
2015-10-21,39.369999,39.400002,37.00,37.700001,268900,37.662917
2015-10-20,39.50,40.450001,38.509998,38.869999,255500,38.831764
2015-10-19,37.279999,39.779999,36.200001,39.459999,282200,39.421184
2015-10-16,39.919998,39.919998,37.099998,37.32,274200,37.28329
2015-10-15,38.209999,39.689999,38.00,39.619999,220700,39.581027
2015-10-14,38.169998,39.669998,36.799999,38.200001,252000,38.162425
2015-10-13,39.669998,41.439999,37.529999,37.93,501200,37.89269
2015-10-12,35.68,40.50,35.639999,39.860001,469900,39.820792
2015-10-09,36.00,36.720001,35.299999,35.549999,216100,35.51503
2015-10-08,37.740002,37.900002,35.09,35.709999,259300,35.674873
2015-10-07,36.540001,38.00,36.009998,37.759998,390700,37.722855
2015-10-06,37.00,37.240002,34.790001,36.25,244000,36.214342
2015-10-05,34.00,37.25,33.82,36.799999,422600,36.763801
2015-10-02,32.349998,33.450001,31.25,33.25,111500,33.217293
2015-10-01,33.009998,33.450001,31.799999,32.990002,186400,32.957551
2015-09-30,30.26,32.91,30.26,32.68,248700,32.647854
2015-09-29,28.92,30.42,28.709999,29.799999,135200,29.770686
2015-09-28,30.620001,31.379999,28.66,29.10,215200,29.071376
2015-09-25,32.830002,33.369999,30.690001,31.00,175100,30.969507
2015-09-24,32.48,32.599998,31.200001,32.48,223300,32.44805
2015-09-23,31.27,33.00,30.83,32.860001,244600,32.827678
2015-09-22,30.870001,31.84,30.219999,31.41,145000,31.379103
2015-09-21,32.349998,33.91,30.799999,31.41,401700,31.379103
2015-09-18,28.90,31.870001,28.57,31.83,403900,31.79869
2015-09-17,28.48,30.25,28.129999,29.469999,258200,29.441011
2015-09-16,28.190001,29.00,27.40,28.610001,163000,28.581858
