Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,4.27,4.28,4.23,4.24,11500,4.24
2016-01-22,4.30,4.45,4.21,4.23,9900,4.23
2016-01-21,4.35,4.35,4.13,4.20,5600,4.20
2016-01-20,4.27,4.30,4.19,4.24,10200,4.24
2016-01-19,4.55,4.55,4.32,4.40,18400,4.40
2016-01-15,4.49,4.49,4.33,4.45,20900,4.45
2016-01-14,4.60,4.713,4.52,4.55,26600,4.55
2016-01-13,4.77,4.78,4.48,4.53,20400,4.53
2016-01-12,4.79,4.79,4.47,4.62,21400,4.62
2016-01-11,4.80,4.83,4.80,4.83,1600,4.83
2016-01-08,5.01,5.11,4.67,4.83,6300,4.83
2016-01-07,4.89,4.99,4.79,4.82,9500,4.82
2016-01-06,4.97,4.97,4.88,4.89,7600,4.89
2016-01-05,4.98,5.04,4.92,4.97,6700,4.97
2016-01-04,5.21,5.21,4.15,5.00,79900,5.00
2015-12-31,5.32,5.39,5.25,5.36,13300,5.36
2015-12-30,5.40,5.51,5.323,5.418,16700,5.418
2015-12-29,5.55,5.55,5.40,5.48,8500,5.48
2015-12-28,5.67,5.67,5.53,5.54,5900,5.54
2015-12-24,5.57,5.62,5.54,5.60,3600,5.60
2015-12-23,5.57,5.63,5.51,5.535,17000,5.535
2015-12-22,5.58,5.63,5.51,5.58,13600,5.58
2015-12-21,5.69,5.69,5.505,5.60,26100,5.60
2015-12-18,5.60,5.70,5.44,5.50,9700,5.50
2015-12-17,5.64,5.80,5.45,5.47,36000,5.47
2015-12-16,5.70,5.80,5.39,5.46,33800,5.46
2015-12-15,5.65,5.68,5.42,5.68,9100,5.68
2015-12-14,5.65,5.70,5.365,5.59,18400,5.59
2015-12-11,5.724,5.724,5.35,5.55,21100,5.55
2015-12-10,5.75,5.80,5.75,5.75,7100,5.75
2015-12-09,5.82,5.89,5.75,5.80,20100,5.80
2015-12-08,5.84,5.93,5.77,5.84,6700,5.84
2015-12-07,5.89,5.99,5.84,5.99,21400,5.99
2015-12-04,5.848,5.969,5.80,5.96,34000,5.96
2015-12-03,5.82,5.97,5.78,5.82,3700,5.82
2015-12-02,5.85,5.92,5.59,5.89,11500,5.89
2015-12-01,5.90,5.92,5.83,5.92,900,5.92
2015-11-30,5.78,6.00,5.71,5.93,19300,5.93
2015-11-27,5.68,5.85,5.65,5.85,1400,5.85
2015-11-25,5.69,5.75,5.65,5.67,5800,5.67
2015-11-24,5.78,5.86,5.30,5.71,9700,5.71
2015-11-23,5.89,5.89,5.75,5.89,4900,5.89
2015-11-20,5.72,5.89,5.72,5.88,1800,5.88
2015-11-19,5.79,5.89,5.625,5.82,24000,5.82
2015-11-18,6.11,6.12,5.62,5.90,126800,5.90
2015-11-17,5.89,6.00,5.89,5.92,34900,5.92
2015-11-16,5.81,5.81,5.81,5.81,200,5.81
2015-11-13,5.81,6.15,5.81,6.00,5800,6.00
2015-11-12,5.93,6.00,5.87,5.94,40100,5.94
2015-11-11,5.88,5.95,5.86,5.93,5400,5.93
2015-11-10,5.80,5.94,5.76,5.85,7200,5.85
2015-11-09,5.63,5.785,5.63,5.76,20400,5.76
2015-11-06,5.69,5.82,5.67,5.78,15400,5.78
2015-11-05,5.76,5.82,5.73,5.78,5600,5.78
2015-11-04,5.80,5.84,5.74,5.84,8500,5.84
2015-11-03,5.878,5.91,5.71,5.89,6400,5.89
2015-11-02,5.84,5.92,5.84,5.92,2100,5.92
2015-10-30,5.80,5.89,5.76,5.87,11500,5.87
2015-10-29,5.76,5.89,5.76,5.89,7000,5.89
2015-10-28,5.84,5.93,5.75,5.93,14100,5.93
2015-10-27,5.78,5.93,5.78,5.93,5700,5.93
2015-10-26,5.81,5.91,5.77,5.77,7600,5.77
2015-10-23,5.99,5.99,5.74,5.87,21700,5.87
2015-10-22,5.65,5.89,5.60,5.86,11800,5.86
2015-10-21,5.58,5.64,5.56,5.64,11900,5.64
2015-10-20,5.57,5.64,5.57,5.64,12800,5.64
2015-10-19,5.60,5.70,5.59,5.63,5700,5.63
2015-10-16,5.66,5.66,5.61,5.66,700,5.66
2015-10-15,5.57,5.68,5.56,5.68,6100,5.68
2015-10-14,5.557,5.58,5.50,5.58,7600,5.58
2015-10-13,5.51,5.60,5.51,5.59,38700,5.59
2015-10-12,5.446,6.09,5.44,6.09,6800,6.09
2015-10-09,5.521,5.55,5.521,5.55,1600,5.55
2015-10-08,5.46,5.54,5.42,5.54,600,5.54
2015-10-07,5.487,5.51,5.45,5.51,4900,5.51
2015-10-06,5.47,5.65,5.40,5.54,18600,5.54
2015-10-05,5.70,5.71,5.61,5.69,7700,5.69
2015-10-02,5.36,5.65,5.36,5.61,17400,5.61
2015-10-01,5.55,5.55,5.41,5.51,8800,5.51
2015-09-30,5.61,5.66,5.50,5.60,12700,5.60
2015-09-29,5.65,5.84,5.65,5.77,2900,5.77
2015-09-28,5.83,5.83,5.59,5.67,37100,5.67
2015-09-25,5.88,5.92,5.88,5.88,5700,5.88
2015-09-24,5.92,5.93,5.80,5.93,6800,5.93
2015-09-23,5.90,5.92,5.84,5.91,1800,5.91
2015-09-22,5.94,5.94,5.84,5.93,3300,5.93
2015-09-21,6.04,6.10,5.94,5.97,52800,5.97
2015-09-18,5.99,6.19,5.82,6.19,50600,6.19
2015-09-17,5.83,5.97,5.76,5.97,10700,5.97
2015-09-16,5.96,5.99,5.90,5.99,10300,5.99
2015-09-15,5.76,5.89,5.72,5.84,3100,5.84
2015-09-14,5.66,5.83,5.62,5.83,2800,5.83
2015-09-11,5.65,5.66,5.58,5.64,6300,5.64
2015-09-10,5.59,5.65,5.50,5.65,6300,5.65
2015-09-09,5.51,5.60,5.51,5.60,17600,5.60
2015-09-08,5.65,5.67,5.62,5.65,8900,5.65
2015-09-04,5.55,5.67,5.50,5.67,5800,5.67
2015-09-03,5.59,5.70,5.51,5.70,5700,5.70
2015-09-02,5.735,5.74,5.62,5.69,10000,5.69
2015-09-01,5.49,5.54,5.38,5.52,5000,5.52
2015-08-31,5.45,5.55,5.40,5.55,53900,5.55
2015-08-28,5.54,5.75,5.52,5.75,17600,5.75
2015-08-27,5.64,5.68,5.53,5.68,3900,5.68
2015-08-26,5.64,5.75,5.43,5.75,54500,5.75
2015-08-25,5.75,5.90,5.62,5.79,21800,5.79
2015-08-24,5.26,5.63,5.26,5.63,29300,5.63
2015-08-21,5.71,6.12,5.57,5.94,48200,5.94
2015-08-20,5.97,6.05,5.84,6.03,22600,6.03
2015-08-19,5.95,6.05,5.79,6.05,19600,6.05
2015-08-18,6.05,6.09,6.00,6.09,8800,6.09
2015-08-17,6.12,6.12,5.98,6.10,14900,6.10
2015-08-14,6.10,6.10,6.04,6.10,29600,6.10
2015-08-13,6.15,6.15,6.01,6.082,49800,6.082
2015-08-12,6.01,6.03,5.95,6.03,8900,6.03
2015-08-11,6.17,6.17,5.95,6.04,88100,6.04
2015-08-10,6.15,6.15,5.985,6.08,103000,6.08
2015-08-07,6.15,6.15,5.94,5.99,38500,5.99
2015-08-06,6.19,6.19,5.98,6.10,76100,6.10
2015-08-05,5.90,6.03,5.90,6.03,112000,6.03
2015-08-04,6.00,6.02,5.58,6.00,345600,6.00
