Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,14.00,15.10,13.70,14.50,424000,14.50
2016-01-22,15.48,15.60,13.52,13.81,649700,13.81
2016-01-21,14.56,15.96,14.56,15.05,733000,15.05
2016-01-20,16.51,17.309999,13.56,14.23,1117200,14.23
2016-01-19,17.52,17.67,16.07,17.059999,514300,17.059999
2016-01-15,18.719999,18.805,17.440001,17.790001,355800,17.790001
2016-01-14,20.18,20.299999,19.110001,19.299999,436500,19.299999
2016-01-13,22.09,22.49,20.360001,20.48,312200,20.48
2016-01-12,20.370001,21.90,20.370001,21.90,324300,21.90
2016-01-11,20.200001,21.35,19.459999,20.549999,394300,20.549999
2016-01-08,19.799999,20.68,19.799999,20.15,468100,20.15
2016-01-07,22.450001,22.450001,19.322001,19.76,553000,19.76
2016-01-06,22.23,22.60,22.00,22.42,171200,22.42
2016-01-05,22.790001,23.309999,22.35,22.74,127300,22.74
2016-01-04,22.00,22.812,21.41,22.549999,201700,22.549999
2015-12-31,22.870001,23.49,22.00,22.360001,328600,22.360001
2015-12-30,24.01,24.040001,23.02,23.379999,296600,23.379999
2015-12-29,24.959999,25.236,23.27,23.82,311600,23.82
2015-12-28,25.91,25.99,24.52,24.799999,252600,24.799999
2015-12-24,26.33,27.25,25.76,25.93,102600,25.93
2015-12-23,27.120001,27.469999,26.15,26.59,157800,26.59
2015-12-22,27.50,27.625,26.90,27.02,148600,27.02
2015-12-21,27.969999,28.950001,27.469999,27.559999,262900,27.559999
2015-12-18,27.50,28.32,27.355,27.719999,1035600,27.719999
2015-12-17,27.17,28.132,27.00,27.50,244600,27.50
2015-12-16,27.40,28.200001,26.02,27.120001,512000,27.120001
2015-12-15,27.700001,28.645,27.040001,28.110001,342900,28.110001
2015-12-14,26.73,28.00,26.01,27.639999,364100,27.639999
2015-12-11,26.25,27.110001,25.030001,26.860001,397000,26.860001
2015-12-10,27.33,27.459999,26.25,26.42,174000,26.42
2015-12-09,26.74,27.32,26.32,26.780001,197300,26.780001
2015-12-08,27.00,27.10,25.370001,26.719999,480300,26.719999
2015-12-07,26.00,27.52,25.360001,27.16,801000,27.16
2015-12-04,23.879999,25.50,23.299999,24.82,450500,24.82
2015-12-03,24.32,24.40,23.74,24.01,75500,24.01
2015-12-02,24.530001,24.98,23.860001,24.059999,181400,24.059999
2015-12-01,24.370001,24.530001,23.17,24.07,138600,24.07
2015-11-30,25.00,25.370001,23.84,24.35,143700,24.35
2015-11-27,23.73,25.00,23.690001,24.99,94700,24.99
2015-11-25,23.74,24.450001,23.559999,23.65,81400,23.65
2015-11-24,25.17,25.17,23.90,23.91,189100,23.91
2015-11-23,25.200001,25.74,23.639999,24.90,719200,24.90
2015-11-20,22.25,22.629999,22.00,22.040001,251500,22.040001
2015-11-19,22.82,22.860001,22.02,22.41,99000,22.41
2015-11-18,22.34,22.91,21.75,22.690001,94300,22.690001
2015-11-17,22.02,23.75,22.00,22.34,121200,22.34
2015-11-16,22.85,22.85,21.51,21.940001,98000,21.940001
2015-11-13,22.41,23.50,22.360001,22.799999,151800,22.799999
2015-11-12,21.889999,23.40,21.799999,22.700001,139300,22.700001
2015-11-11,23.92,24.10,21.50,22.35,366300,22.35
2015-11-10,24.50,24.85,23.250999,24.08,134600,24.08
2015-11-09,25.059999,26.17,24.50,24.83,105300,24.83
2015-11-06,26.00,26.299999,24.32,25.68,278900,25.68
2015-11-05,26.299999,26.77,25.750999,26.24,107400,26.24
2015-11-04,26.26,26.85,25.00,26.309999,257300,26.309999
2015-11-03,24.120001,26.75,24.014999,26.040001,594900,26.040001
2015-11-02,22.469999,24.379999,22.469999,23.83,381200,23.83
2015-10-30,23.690001,23.690001,22.25,22.469999,83700,22.469999
2015-10-29,24.690001,25.15,22.700001,22.85,239300,22.85
2015-10-28,24.969999,25.879999,22.790001,24.200001,534000,24.200001
2015-10-27,21.00,25.59,21.00,23.870001,1088100,23.870001
2015-10-26,20.85,20.976,19.91,20.58,350300,20.58
2015-10-23,19.15,19.93,19.15,19.52,239200,19.52
2015-10-22,20.60,20.663,19.049999,19.15,285800,19.15
2015-10-21,20.25,20.700001,19.733999,20.200001,314200,20.200001
2015-10-20,23.139999,23.40,19.76,19.870001,804200,19.870001
2015-10-19,26.00,26.280001,23.040001,23.209999,558700,23.209999
2015-10-16,25.700001,26.049999,23.549999,25.98,563200,25.98
2015-10-15,26.309999,26.51,25.50,25.870001,427200,25.870001
2015-10-14,27.49,27.50,24.811001,25.450001,1324700,25.450001
2015-10-13,25.50,30.889999,24.67,27.60,2226600,27.60
2015-10-12,22.889999,27.398001,21.85,25.879999,2133600,25.879999
2015-10-09,19.65,21.959999,19.10,21.02,1760700,21.02
2015-10-08,17.98,19.870001,17.32,18.940001,2945700,18.940001
2015-10-07,16.559999,16.674999,15.34,15.94,397500,15.94
2015-10-06,19.360001,19.58,15.01,16.68,1137800,16.68
2015-10-05,18.77,18.90,18.049999,18.690001,307000,18.690001
2015-10-02,20.16,20.48,17.549999,18.280001,3210500,18.280001
2015-10-01,22.00,22.00,22.00,22.00,000,22.00
