Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,3.739,3.739,3.65,3.65,6100,3.65
2016-01-22,3.88,3.88,3.88,3.88,000,3.88
2016-01-21,3.95,4.25,3.88,3.88,3100,3.88
2016-01-20,4.07,4.115,4.00,4.01,1700,4.01
2016-01-19,4.49,4.49,4.10,4.10,10200,4.10
2016-01-15,3.87,3.87,3.67,3.76,700,3.76
2016-01-14,3.87,4.25,2.88,4.10,2400,4.10
2016-01-13,3.88,3.88,3.88,3.88,000,3.88
2016-01-12,4.25,4.25,3.864,3.88,3700,3.88
2016-01-11,4.10,4.10,3.79,3.79,4400,3.79
2016-01-08,3.65,3.65,3.59,3.59,2600,3.59
2016-01-07,3.75,3.75,3.75,3.75,000,3.75
2016-01-06,3.59,3.75,3.57,3.75,1700,3.75
2016-01-05,3.57,3.59,3.57,3.57,1500,3.57
2016-01-04,3.71,3.75,3.66,3.72,4500,3.72
2015-12-31,3.62,3.62,3.62,3.62,800,3.62
2015-12-30,3.56,3.67,3.56,3.66,1000,3.66
2015-12-29,3.70,3.70,3.70,3.70,300,3.70
2015-12-28,3.74,3.75,3.74,3.75,500,3.75
2015-12-24,3.88,3.88,3.85,3.85,3800,3.85
2015-12-23,3.88,3.88,3.85,3.85,2600,3.85
2015-12-22,3.87,3.87,3.60,3.60,800,3.60
2015-12-21,3.59,3.59,3.59,3.59,000,3.59
2015-12-18,3.52,3.59,3.52,3.59,2700,3.59
2015-12-17,3.604,3.73,3.604,3.68,4200,3.68
2015-12-16,3.90,3.90,3.56,3.75,25400,3.75
2015-12-15,3.76,3.87,3.47,3.79,1700,3.79
2015-12-14,3.90,3.90,3.60,3.60,1000,3.60
2015-12-11,3.80,3.80,3.80,3.80,100,3.80
2015-12-10,3.257,3.257,3.257,3.257,2500,3.257
2015-12-09,3.70,3.79,3.42,3.75,12500,3.75
2015-12-08,3.65,3.86,3.24,3.71,2600,3.71
2015-12-07,4.01,4.024,3.75,3.79,9900,3.79
2015-12-04,4.01,4.01,4.01,4.01,000,4.01
2015-12-03,4.01,4.022,4.01,4.01,900,4.01
2015-12-02,4.09,4.10,4.09,4.10,1300,4.10
2015-12-01,4.011,4.113,4.011,4.113,2200,4.113
2015-11-30,4.13,4.13,4.012,4.012,1800,4.012
2015-11-27,4.14,4.14,4.14,4.14,000,4.14
2015-11-25,4.14,4.14,4.14,4.14,000,4.14
2015-11-24,4.14,4.14,4.14,4.14,500,4.14
2015-11-23,4.15,4.175,4.14,4.15,6800,4.15
2015-11-20,4.09,4.26,4.09,4.18,21400,4.18
2015-11-19,4.17,4.28,4.10,4.13,46900,4.13
2015-11-18,4.10,4.30,4.05,4.13,167300,4.13
2015-11-17,4.051,4.068,4.01,4.01,6700,4.01
2015-11-16,4.03,4.03,4.03,4.03,200,4.03
2015-11-13,4.06,4.20,4.06,4.19,3000,4.19
2015-11-12,4.13,4.22,4.12,4.20,6900,4.20
2015-11-11,4.18,4.29,4.04,4.29,8600,4.29
2015-11-10,3.96,4.31,3.96,4.29,22200,4.29
2015-11-09,3.98,4.095,3.96,4.09,3900,4.09
2015-11-06,4.11,4.11,3.95,4.09,8800,4.09
2015-11-05,4.05,4.09,3.91,4.09,14800,4.09
2015-11-04,4.32,4.32,3.90,3.97,16500,3.97
