Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,19.309999,19.84,18.969999,19.77,323800,19.77
2016-01-22,19.08,19.639999,18.860001,19.48,522800,19.48
2016-01-21,18.60,19.290001,18.48,18.719999,269900,18.719999
2016-01-20,18.77,19.030001,17.969999,18.700001,319700,18.700001
2016-01-19,19.120001,19.549999,18.379999,18.799999,655100,18.799999
2016-01-15,17.35,19.059999,17.25,18.82,795800,18.82
2016-01-14,17.639999,18.030001,17.190001,17.73,685700,17.73
2016-01-13,17.389999,18.25,17.35,17.58,259400,17.58
2016-01-12,18.77,19.200001,17.440001,17.50,832200,17.50
2016-01-11,18.85,19.60,18.00,18.27,494800,18.27
2016-01-08,18.51,18.76,18.08,18.16,336800,18.16
2016-01-07,18.18,18.639999,17.959999,18.34,312600,18.34
2016-01-06,18.190001,19.07,17.799999,18.60,485400,18.60
2016-01-05,17.360001,18.25,17.360001,17.98,342000,17.98
2016-01-04,16.73,17.389999,16.129999,17.33,285800,17.33
2015-12-31,17.00,17.23,16.75,17.01,169100,17.01
2015-12-30,16.82,17.01,16.610001,17.00,168500,17.00
2015-12-29,16.75,17.139999,16.709999,16.809999,142400,16.809999
2015-12-28,16.889999,16.99,16.540001,16.75,123500,16.75
2015-12-24,17.24,17.379999,16.93,16.940001,24800,16.940001
2015-12-23,16.799999,17.299999,16.75,17.209999,172000,17.209999
2015-12-22,16.559999,16.955,16.469999,16.790001,128800,16.790001
2015-12-21,16.85,17.07,16.34,16.690001,216800,16.690001
2015-12-18,16.799999,16.99,16.719999,16.83,135700,16.83
2015-12-17,17.02,17.309999,16.719999,16.940001,405500,16.940001
2015-12-16,16.67,17.15,16.51,17.02,231900,17.02
2015-12-15,16.49,16.780001,15.93,16.66,295000,16.66
2015-12-14,17.40,18.209999,16.129999,16.49,412400,16.49
2015-12-11,17.59,17.74,16.68,17.309999,602200,17.309999
2015-12-10,18.030001,18.030001,15.86,17.08,790600,17.08
2015-12-09,16.43,16.76,16.049999,16.51,295900,16.51
2015-12-08,16.00,16.540001,15.96,16.49,141300,16.49
2015-12-07,16.799999,16.940001,16.040001,16.17,119400,16.17
2015-12-04,16.639999,16.93,16.58,16.76,63400,16.76
2015-12-03,17.08,17.25,16.57,16.700001,82400,16.700001
2015-12-02,17.309999,17.360001,16.870001,17.08,82300,17.08
2015-12-01,17.68,17.68,17.219999,17.24,78200,17.24
2015-11-30,18.07,18.190001,17.40,17.66,157100,17.66
2015-11-27,17.799999,18.195,17.43,18.040001,124200,18.040001
2015-11-25,17.26,17.84,17.200001,17.77,172800,17.77
2015-11-24,17.129999,17.469999,16.870001,17.23,194600,17.23
2015-11-23,17.25,17.59,17.209999,17.24,117700,17.24
2015-11-20,17.09,17.49,17.09,17.25,178200,17.25
2015-11-19,17.23,17.23,16.690001,16.98,84200,16.98
2015-11-18,16.959999,17.50,16.809999,17.26,203600,17.26
2015-11-17,17.41,18.065001,16.75,17.00,316400,17.00
2015-11-16,16.57,17.395,16.57,17.389999,88900,17.389999
2015-11-13,16.82,16.82,16.299999,16.65,168700,16.65
2015-11-12,16.59,17.10,16.50,16.98,121400,16.98
2015-11-11,17.00,17.00,16.25,16.709999,167500,16.709999
2015-11-10,17.059999,17.18,16.690001,17.00,116000,17.00
2015-11-09,17.049999,17.292999,16.60,17.10,146100,17.10
2015-11-06,16.43,17.25,16.33,17.10,161800,17.10
2015-11-05,16.540001,16.73,16.41,16.540001,62800,16.540001
2015-11-04,16.67,16.68,16.209999,16.459999,158800,16.459999
2015-11-03,16.219999,16.93,16.219999,16.700001,100500,16.700001
2015-11-02,15.91,16.309999,15.61,16.200001,236600,16.200001
2015-10-30,15.89,16.15,15.60,15.85,171900,15.85
2015-10-29,15.24,15.97,15.24,15.92,249000,15.92
2015-10-28,15.47,15.91,15.19,15.34,234100,15.34
2015-10-27,15.40,15.46,14.88,15.28,322300,15.28
2015-10-26,15.19,15.67,15.00,15.49,131800,15.49
2015-10-23,15.60,15.786,15.00,15.28,119200,15.28
2015-10-22,15.45,15.72,15.22,15.55,599800,15.55
2015-10-21,15.49,15.60,15.17,15.40,209000,15.40
2015-10-20,15.69,15.978,15.25,15.38,156300,15.38
2015-10-19,15.82,15.96,15.65,15.66,159100,15.66
2015-10-16,16.200001,16.32,15.69,15.91,336800,15.91
2015-10-15,16.280001,16.504,15.62,16.18,177900,16.18
2015-10-14,16.98,17.438,16.094999,16.299999,331500,16.299999
2015-10-13,16.82,17.10,16.73,16.99,265400,16.99
2015-10-12,17.030001,17.190001,16.200001,16.940001,249800,16.940001
2015-10-09,16.49,17.110001,16.40,17.10,188000,17.10
2015-10-08,16.49,16.60,16.08,16.49,175500,16.49
2015-10-07,16.40,16.76,16.219999,16.59,243400,16.59
2015-10-06,16.57,16.620001,15.95,16.389999,227400,16.389999
2015-10-05,16.83,16.875,16.290001,16.66,321800,16.66
2015-10-02,16.290001,16.82,15.725,16.73,471900,16.73
2015-10-01,16.25,16.629999,15.45,16.08,536700,16.08
2015-09-30,16.559999,16.934999,15.995,16.17,2560500,16.17
2015-09-29,16.309999,16.809999,16.040001,16.49,376400,16.49
2015-09-28,16.290001,16.389999,15.63,16.16,459100,16.16
2015-09-25,16.34,17.094,15.96,16.35,336800,16.35
2015-09-24,16.34,17.959999,15.86,16.139999,257300,16.139999
2015-09-23,17.25,17.405001,16.18,16.360001,271400,16.360001
2015-09-22,17.15,17.309999,16.82,17.27,244500,17.27
2015-09-21,17.969999,18.639999,17.190001,17.309999,269700,17.309999
2015-09-18,18.33,18.950001,17.530001,17.82,882200,17.82
2015-09-17,18.559999,18.83,18.25,18.700001,257500,18.700001
2015-09-16,18.10,18.700001,17.99,18.68,283200,18.68
2015-09-15,18.190001,18.440001,17.74,18.190001,238400,18.190001
2015-09-14,18.24,18.450001,17.780001,18.10,405800,18.10
2015-09-11,18.50,18.780001,17.709999,18.26,498300,18.26
2015-09-10,17.48,18.74,17.309999,18.25,582100,18.25
2015-09-09,17.290001,18.27,16.997999,17.09,326100,17.09
2015-09-08,17.469999,17.809999,16.950001,17.27,236900,17.27
2015-09-04,16.309999,17.290001,16.309999,17.030001,185200,17.030001
2015-09-03,17.07,17.639999,16.219999,16.610001,365500,16.610001
2015-09-02,17.92,17.969999,16.98,17.10,380000,17.10
2015-09-01,17.620001,18.045,17.26,17.549999,126500,17.549999
2015-08-31,17.700001,17.969999,16.969999,17.889999,184300,17.889999
2015-08-28,16.719999,17.629999,16.59,17.57,169400,17.57
2015-08-27,16.860001,17.309999,16.415001,16.620001,321900,16.620001
2015-08-26,16.370001,16.709999,16.219999,16.52,230300,16.52
2015-08-25,17.40,17.74,15.70,15.91,493800,15.91
2015-08-24,17.360001,17.73,16.719999,16.719999,314000,16.719999
2015-08-21,19.290001,19.74,18.280001,18.32,332000,18.32
2015-08-20,19.75,20.030001,19.540001,19.540001,132700,19.540001
2015-08-19,19.75,20.32,19.52,19.809999,162900,19.809999
2015-08-18,19.66,20.01,19.18,19.870001,110000,19.870001
2015-08-17,19.99,20.40,19.165001,19.450001,265900,19.450001
2015-08-14,19.42,20.00,18.969999,19.91,201500,19.91
2015-08-13,19.790001,19.940001,19.120001,19.25,101100,19.25
