9999,17.559999,17.040001,17.389999,228900,11.386405
2008-07-07,17.02,17.40,16.90,17.01,133200,11.137594
2008-07-03,16.639999,17.50,16.52,17.25,88100,11.294738
2008-07-02,16.280001,16.860001,16.200001,16.639999,151800,10.895329
2008-07-01,16.23,16.440001,15.99,16.32,155000,10.685804
2008-06-30,16.690001,16.690001,16.40,16.58,110600,10.856043
2008-06-27,16.799999,16.950001,16.530001,16.59,178500,10.862591
2008-06-26,17.01,17.01,16.629999,16.82,161200,11.013187
2008-06-25,17.07,17.440001,16.98,17.049999,202600,11.163784
2008-06-24,17.049999,17.25,16.65,17.120001,437500,11.209618
2008-06-23,18.08,18.08,17.27,17.290001,91700,11.320929
2008-06-20,18.110001,18.35,17.49,18.200001,186200,11.916767
2008-06-19,18.51,18.77,18.280001,18.620001,74600,12.191769
2008-06-18,19.02,19.02,18.34,18.610001,118100,12.185222
2008-06-17,19.25,19.48,18.74,18.98,239100,12.427485
2008-06-16,19.049999,19.60,18.99,19.26,168900,12.61082
2008-06-13,18.50,19.40,18.50,18.99,81000,12.434033
2008-06-12,19.90,19.90,19.129999,19.290001,153100,12.630464
2008-06-11,19.66,19.809999,19.50,19.57,42100,12.813798
2008-06-10,19.82,19.959999,19.709999,19.76,168000,12.938204
2008-06-09,19.75,20.049999,19.66,19.780001,373300,12.9513
2008-06-06,21.139999,21.139999,19.75,19.84,201500,12.990585
2008-06-05,20.110001,20.50,20.110001,20.41,240700,13.363802
2008-06-04,20.219999,20.35,20.049999,20.110001,158200,13.167373
2008-06-03,20.190001,20.530001,19.91,20.280001,85800,13.278683
2008-06-02,20.00,20.27,19.799999,20.17,339900,13.206658
2008-05-30,19.00,20.09,19.00,20.040001,647600,13.121539
2008-05-29,18.74,19.50,18.02,18.92,1078500,12.388199
2008-05-28,19.35,19.40,18.51,18.65,230700,12.211412
2008-05-27,19.379999,19.59,19.129999,19.27,99300,12.617368
2008-05-23,19.84,19.84,18.40,19.379999,227000,12.689392
2008-05-22,19.33,19.35,18.85,18.959999,74000,12.414389
2008-05-21,19.870001,19.92,19.120001,19.209999,66900,12.578081
2008-05-20,20.17,20.17,19.780001,19.90,72400,13.029871
2008-05-19,20.719999,20.719999,20.00,20.110001,188800,13.167373
2008-05-16,20.040001,20.07,19.700001,19.950001,215600,13.06261
2008-05-15,19.889999,20.040001,19.879999,19.969999,152100,13.075704
2008-05-14,19.639999,20.110001,19.50,19.879999,287600,13.016775
2008-05-13,19.75,19.879999,19.290001,19.690001,209300,12.89237
2008-05-12,19.98,19.98,19.60,19.84,122600,12.990585
2008-05-09,19.76,20.459999,19.309999,19.84,351300,12.990585
2008-05-08,21.360001,21.360001,20.66,20.790001,177400,13.612615
2008-05-07,21.700001,21.77,21.379999,21.450001,56000,14.044761
2008-05-06,21.65,21.75,21.52,21.629999,119000,14.162618
2008-05-05,21.75,21.799999,21.610001,21.75,60300,14.241191
2008-05-02,21.860001,21.92,21.49,21.75,42900,14.241191
2008-05-01,21.48,21.950001,21.48,21.709999,43200,14.215
2008-04-30,21.620001,21.780001,21.610001,21.75,104600,14.241191
2008-04-29,21.42,21.82,21.42,21.73,88200,14.228095
2008-04-28,21.82,21.879999,21.57,21.77,164700,14.254286
2008-04-25,22.190001,22.190001,21.540001,21.719999,156500,14.221547
2008-04-24,21.83,22.35,21.65,22.34,405200,14.627504
2008-04-23,21.700001,21.860001,21.629999,21.75,165500,14.241191
2008-04-22,21.629999,21.809999,21.559999,21.67,143900,14.188809
2008-04-21,21.889999,21.889999,21.469999,21.559999,159000,14.116785
2008-04-18,21.719999,22.00,21.540001,21.799999,335900,14.273929
2008-04-17,21.540001,21.85,21.360001,21.700001,205200,14.208453
2008-04-16,20.049999,21.889999,20.030001,21.540001,248400,14.10369
