Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,9.95,9.95,9.95,9.95,000,9.95
2016-01-22,9.95,9.95,9.95,9.95,000,9.95
2016-01-21,9.95,9.95,9.95,9.95,300,9.95
2016-01-20,9.95,9.95,9.95,9.95,2400,9.95
2016-01-19,9.98,10.00,9.98,10.00,500,10.00
2016-01-15,10.00,10.00,10.00,10.00,800,10.00
2016-01-14,9.98,9.98,9.98,9.98,000,9.98
2016-01-13,9.98,9.98,9.98,9.98,300,9.98
2016-01-12,9.98,9.98,9.98,9.98,000,9.98
2016-01-11,9.98,9.98,9.98,9.98,200,9.98
2016-01-08,10.02,10.02,10.00,10.00,800,10.00
2016-01-07,10.14,10.14,10.14,10.14,000,10.14
2016-01-06,10.14,10.14,10.14,10.14,000,10.14
2016-01-05,10.14,10.14,10.14,10.14,000,10.14
2016-01-04,10.14,10.14,10.14,10.14,100,10.14
2015-12-31,10.05,10.05,10.05,10.05,100,10.05
2015-12-30,9.95,9.95,9.95,9.95,000,9.95
2015-12-29,9.95,9.95,9.95,9.95,300,9.95
2015-12-28,9.90,9.90,9.90,9.90,000,9.90
2015-12-24,9.90,9.90,9.90,9.90,000,9.90
2015-12-23,9.90,9.90,9.90,9.90,000,9.90
2015-12-22,9.90,9.90,9.90,9.90,000,9.90
2015-12-21,9.93,9.93,9.90,9.90,500,9.90
2015-12-18,10.00,10.00,10.00,10.00,000,10.00
2015-12-17,10.00,10.00,10.00,10.00,000,10.00
2015-12-16,10.00,10.00,10.00,10.00,200,10.00
2015-12-15,10.00,10.01,10.00,10.01,500,10.01
2015-12-14,10.00,10.00,10.00,10.00,000,10.00
2015-12-11,10.00,10.00,10.00,10.00,500,10.00
2015-12-10,10.02,10.02,10.02,10.02,000,10.02
2015-12-09,10.02,10.02,10.02,10.02,000,10.02
2015-12-08,10.02,10.02,10.02,10.02,000,10.02
2015-12-07,10.02,10.02,10.02,10.02,000,10.02
2015-12-04,10.02,10.02,10.02,10.02,000,10.02
2015-12-03,10.02,10.02,10.02,10.02,000,10.02
2015-12-02,10.02,10.02,10.02,10.02,000,10.02
2015-12-01,10.03,10.03,10.02,10.02,1100,10.02
2015-11-30,10.05,10.05,10.05,10.05,100,10.05
2015-11-27,10.09,10.09,10.09,10.09,000,10.09
2015-11-25,10.09,10.09,10.09,10.09,000,10.09
2015-11-24,10.08,10.09,10.08,10.09,1000,10.09
2015-11-23,10.06,10.06,10.06,10.06,000,10.06
2015-11-20,10.06,10.06,10.06,10.06,300000,10.06
2015-11-19,10.14,10.14,10.14,10.14,500,10.14
2015-11-18,10.14,10.14,10.14,10.14,000,10.14
2015-11-17,10.14,10.14,10.14,10.14,000,10.14
2015-11-16,10.14,10.14,10.14,10.14,000,10.14
2015-11-13,10.14,10.14,10.14,10.14,000,10.14
2015-11-12,10.05,10.14,10.05,10.14,800,10.14
2015-11-11,10.05,10.05,10.05,10.05,300,10.05
2015-11-10,10.11,10.11,10.11,10.11,2000,10.11
2015-11-09,10.05,10.05,10.05,10.05,300,10.05
2015-11-06,10.12,10.14,10.07,10.07,40800,10.07
2015-11-05,10.13,10.13,10.12,10.13,19300,10.13
2015-11-04,10.10,10.13,10.10,10.13,24800,10.13
2015-11-03,10.10,10.10,10.09,10.10,20000,10.10
2015-11-02,10.05,10.05,10.05,10.05,600,10.05
2015-10-30,10.10,10.10,10.10,10.10,000,10.10
2015-10-29,10.13,10.13,10.10,10.10,10500,10.10
2015-10-28,10.10,10.103,10.10,10.10,16900,10.10
2015-10-27,10.03,10.13,10.03,10.06,16900,10.06
2015-10-26,10.04,10.15,10.03,10.03,118400,10.03
2015-10-23,10.02,10.10,10.02,10.06,114100,10.06
2015-10-22,10.02,10.03,10.02,10.02,14100,10.02
2015-10-21,10.04,10.04,10.04,10.04,000,10.04
2015-10-20,10.03,10.06,10.02,10.04,22000,10.04
2015-10-19,10.05,10.05,10.02,10.02,23100,10.02
2015-10-16,10.04,10.07,10.04,10.04,27400,10.04
2015-10-15,10.02,10.09,10.02,10.03,715900,10.03
2015-10-14,10.00,10.00,10.00,10.00,000,10.00
