Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,10.00,10.05,9.90,9.90,7600,9.90
2016-01-22,10.00,10.05,9.95,9.96,4800,9.96
2016-01-21,10.00,10.00,9.95,10.00,2800,10.00
2016-01-20,9.90,10.17,9.90,10.17,1800,10.17
2016-01-19,10.00,10.01,9.94,9.99,26000,9.99
2016-01-15,10.01,10.01,10.00,10.01,121300,10.01
2016-01-14,10.13,10.15,10.02,10.15,4600,10.15
2016-01-13,10.00,10.09,10.00,10.09,50200,10.09
2016-01-12,10.00,10.07,10.00,10.07,200300,10.07
2016-01-11,10.02,10.025,10.00,10.007,14500,10.007
2016-01-08,10.01,10.05,10.00,10.05,100300,10.05
2016-01-07,10.02,10.02,10.02,10.02,100,10.02
2016-01-06,10.02,10.02,10.00,10.00,15300,10.00
2016-01-05,10.00,10.00,10.00,10.00,1600,10.00
2016-01-04,10.01,10.10,10.00,10.10,105200,10.10
2015-12-31,10.08,10.20,10.02,10.20,7100,10.20
2015-12-30,10.12,10.12,10.12,10.12,000,10.12
2015-12-29,10.12,10.12,10.12,10.12,000,10.12
2015-12-28,10.12,10.12,10.12,10.12,000,10.12
2015-12-24,10.115,10.12,10.09,10.12,8000,10.12
2015-12-23,10.12,10.13,10.00,10.00,12800,10.00
2015-12-22,10.02,10.02,10.00,10.00,7600,10.00
2015-12-21,9.90,10.12,9.90,10.00,66600,10.00
2015-12-18,10.07,10.07,10.00,10.00,6400,10.00
2015-12-17,10.00,10.04,10.00,10.04,11300,10.04
2015-12-16,10.00,10.00,10.00,10.00,500,10.00
2015-12-15,10.04,10.04,9.90,10.00,16200,10.00
2015-12-14,10.05,10.05,10.05,10.05,3800,10.05
2015-12-11,10.15,10.19,10.05,10.05,13800,10.05
2015-12-10,10.00,10.03,10.00,10.01,1200,10.01
2015-12-09,10.00,10.10,10.00,10.10,922700,10.10
2015-12-08,10.05,10.10,10.05,10.05,7300,10.05
2015-12-07,10.09,10.10,10.09,10.09,1900,10.09
2015-12-04,10.10,10.17,10.00,10.03,106900,10.03
2015-12-03,10.15,10.15,10.15,10.15,71500,10.15
2015-12-02,10.15,10.16,10.10,10.15,31200,10.15
2015-12-01,10.10,10.16,10.10,10.16,13900,10.16
2015-11-30,10.22,10.90,10.10,10.13,8600,10.13
2015-11-27,10.10,10.10,10.10,10.10,000,10.10
2015-11-25,10.13,10.13,10.10,10.10,48300,10.10
2015-11-24,10.08,10.08,10.08,10.08,000,10.08
2015-11-23,10.02,10.09,10.02,10.08,1400,10.08
2015-11-20,10.11,10.11,10.11,10.11,000,10.11
2015-11-19,10.15,10.15,10.00,10.11,3100,10.11
2015-11-18,10.11,10.25,10.00,10.02,56300,10.02
2015-11-17,10.24,10.25,10.24,10.25,12500,10.25
2015-11-16,10.287,10.287,10.287,10.287,000,10.287
2015-11-13,10.26,10.30,10.25,10.287,32400,10.287
2015-11-12,10.32,10.33,10.13,10.30,2200,10.30
2015-11-11,10.20,10.35,10.20,10.22,6500,10.22
2015-11-10,10.15,10.24,10.14,10.14,1900,10.14
2015-11-09,10.41,10.41,10.30,10.36,9500,10.36
2015-11-06,10.40,10.50,10.11,10.26,4000,10.26
2015-11-05,10.15,10.30,10.15,10.26,42000,10.26
2015-11-04,10.30,10.30,10.25,10.25,51100,10.25
2015-11-03,10.40,10.46,10.15,10.16,16400,10.16
2015-11-02,10.50,10.51,10.46,10.50,10000,10.50
2015-10-30,10.16,10.50,10.16,10.50,41300,10.50
2015-10-29,10.30,10.35,10.29,10.34,18600,10.34
2015-10-28,10.43,10.43,10.20,10.35,8900,10.35
2015-10-27,10.35,10.38,10.29,10.34,10300,10.34
2015-10-26,10.27,10.47,10.26,10.35,62800,10.35
2015-10-23,10.50,10.50,10.27,10.50,20600,10.50
2015-10-22,10.20,10.51,10.20,10.50,48500,10.50
2015-10-21,10.50,10.50,10.16,10.23,9900,10.23
2015-10-20,10.30,10.30,10.30,10.30,36600,10.30
2015-10-19,10.28,10.30,10.25,10.30,8300,10.30
2015-10-16,10.15,10.15,10.15,10.15,000,10.15
2015-10-15,10.15,10.24,10.10,10.15,16600,10.15
2015-10-14,10.15,10.305,10.14,10.16,25900,10.16
2015-10-13,10.17,10.34,10.12,10.12,57900,10.12
2015-10-12,10.11,10.50,10.10,10.39,22300,10.39
2015-10-09,10.30,10.34,10.054,10.34,102200,10.34
2015-10-08,10.10,10.25,10.10,10.14,8600,10.14
2015-10-07,10.19,10.19,10.10,10.15,68900,10.15
2015-10-06,10.24,10.24,10.07,10.15,65500,10.15
2015-10-05,10.06,10.547,10.05,10.13,108900,10.13
2015-10-02,10.11,10.536,10.06,10.14,87700,10.14
2015-10-01,10.45,10.45,10.05,10.14,93300,10.14
2015-09-30,10.25,10.25,10.05,10.20,81700,10.20
