001,20.67,19.950001,20.48,406500,20.48
2014-02-24,20.08,20.85,20.00,20.530001,397200,20.530001
2014-02-21,19.50,20.200001,19.50,20.110001,661400,20.110001
2014-02-20,20.40,20.51,19.18,19.360001,1612100,19.360001
2014-02-19,21.040001,21.40,19.879999,20.459999,3044900,20.459999
2014-02-18,23.049999,23.049999,22.110001,22.40,1195100,22.40
2014-02-14,22.700001,22.99,22.26,22.620001,277600,22.620001
2014-02-13,22.74,22.969999,21.799999,22.700001,362200,22.700001
2014-02-12,21.25,22.48,21.030001,22.209999,510900,22.209999
2014-02-11,21.68,22.02,21.129999,21.24,373200,21.24
2014-02-10,21.41,21.91,21.309999,21.67,210800,21.67
2014-02-07,21.389999,21.610001,21.030001,21.370001,203600,21.370001
2014-02-06,21.50,21.549999,21.059999,21.190001,327700,21.190001
2014-02-05,21.91,22.139999,21.40,21.51,222100,21.51
2014-02-04,21.860001,22.200001,21.73,22.059999,140100,22.059999
2014-02-03,22.67,22.93,21.639999,21.700001,404200,21.700001
2014-01-31,23.00,23.17,22.57,22.67,134600,22.67
2014-01-30,22.60,23.450001,22.25,23.200001,278000,23.200001
2014-01-29,23.00,23.34,22.34,22.41,294000,22.41
2014-01-28,22.82,23.459999,22.57,23.40,276100,23.40
2014-01-27,22.49,22.90,22.35,22.719999,367200,22.719999
2014-01-24,22.68,22.75,21.73,22.299999,413500,22.299999
2014-01-23,23.530001,23.709999,22.700001,22.709999,503800,22.709999
2014-01-22,23.50,23.77,22.809999,23.559999,405200,23.559999
2014-01-21,24.290001,24.719999,23.24,23.40,807300,23.40
2014-01-17,24.84,25.469999,24.040001,24.15,522400,24.15
2014-01-16,24.09,25.120001,24.030001,24.83,447300,24.83
2014-01-15,24.00,24.25,23.68,24.030001,302500,24.030001
2014-01-14,23.51,23.90,23.35,23.610001,280400,23.610001
2014-01-13,24.48,24.57,23.299999,23.40,579400,23.40
2014-01-10,24.35,24.83,24.059999,24.58,230100,24.58
2014-01-09,24.889999,24.969999,24.15,24.290001,240400,24.290001
