Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,1.60,1.728,1.60,1.63,104500,1.63
2016-01-22,1.58,1.64,1.50,1.60,127100,1.60
2016-01-21,1.59,1.62,1.55,1.56,80700,1.56
2016-01-20,1.53,1.65,1.41,1.59,198100,1.59
2016-01-19,1.70,1.75,1.51,1.54,268700,1.54
2016-01-15,1.41,1.63,1.31,1.62,368600,1.62
2016-01-14,1.69,1.725,1.26,1.49,759000,1.49
2016-01-13,1.86,1.92,1.68,1.71,416500,1.71
2016-01-12,1.91,2.00,1.83,1.88,211900,1.88
2016-01-11,2.05,2.05,1.85,1.92,230600,1.92
2016-01-08,2.00,2.16,1.90,2.01,345800,2.01
2016-01-07,2.10,2.143,2.00,2.00,259700,2.00
2016-01-06,2.20,2.21,2.12,2.13,200600,2.13
2016-01-05,2.29,2.34,2.21,2.23,289200,2.23
2016-01-04,2.28,2.35,2.22,2.29,201600,2.29
2015-12-31,2.33,2.38,2.25,2.29,133600,2.29
2015-12-30,2.35,2.40,2.25,2.28,190800,2.28
2015-12-29,2.26,2.37,2.23,2.37,187600,2.37
2015-12-28,2.28,2.30,2.25,2.25,120200,2.25
2015-12-24,2.27,2.31,2.25,2.30,63400,2.30
2015-12-23,2.30,2.35,2.29,2.30,119100,2.30
2015-12-22,2.38,2.44,2.25,2.27,189700,2.27
2015-12-21,2.46,2.49,2.31,2.36,117800,2.36
2015-12-18,2.38,2.42,2.26,2.39,205300,2.39
2015-12-17,2.40,2.43,2.286,2.33,194200,2.33
2015-12-16,2.33,2.44,2.27,2.33,280900,2.33
2015-12-15,2.36,2.52,2.31,2.37,225300,2.37
2015-12-14,2.50,2.50,2.22,2.34,395100,2.34
2015-12-11,2.63,2.67,2.42,2.45,494400,2.45
2015-12-10,2.72,2.84,2.57,2.63,610800,2.63
2015-12-09,2.83,2.90,2.54,2.69,1428900,2.69
2015-12-08,2.25,3.08,2.12,2.79,5932300,2.79
2015-12-07,2.38,2.45,2.01,2.06,569300,2.06
2015-12-04,2.29,2.40,2.20,2.35,193600,2.35
2015-12-03,2.40,2.429,2.25,2.31,271200,2.31
2015-12-02,2.50,2.50,2.35,2.42,321700,2.42
2015-12-01,2.57,2.57,2.42,2.49,285400,2.49
2015-11-30,2.60,2.68,2.35,2.51,469900,2.51
2015-11-27,2.51,2.52,2.39,2.50,168900,2.50
2015-11-25,2.34,2.50,2.30,2.48,246500,2.48
2015-11-24,2.44,2.46,2.30,2.35,419000,2.35
2015-11-23,2.19,2.39,2.15,2.36,313700,2.36
2015-11-20,2.17,2.23,2.10,2.19,233300,2.19
2015-11-19,2.25,2.30,2.12,2.13,434600,2.13
2015-11-18,2.16,2.31,2.07,2.21,644300,2.21
2015-11-17,2.01,2.14,1.95,2.11,248500,2.11
2015-11-16,1.94,2.038,1.86,2.00,256800,2.00
2015-11-13,1.87,2.07,1.82,1.97,269800,1.97
2015-11-12,1.95,2.045,1.83,1.87,222600,1.87
2015-11-11,2.10,2.27,1.94,1.99,624500,1.99
2015-11-10,1.98,2.07,1.89,1.97,178900,1.97
2015-11-09,1.93,2.06,1.91,2.00,462800,2.00
2015-11-06,1.91,1.93,1.82,1.93,201700,1.93
2015-11-05,1.96,1.965,1.80,1.85,257700,1.85
2015-11-04,1.97,1.97,1.77,1.88,203400,1.88
2015-11-03,1.78,1.95,1.72,1.93,306200,1.93
2015-11-02,1.61,1.79,1.57,1.79,464900,1.79
2015-10-30,1.699,1.699,1.58,1.59,353600,1.59
2015-10-29,1.61,1.70,1.59,1.64,425400,1.64
2015-10-28,1.63,1.70,1.539,1.59,374800,1.59
2015-10-27,1.65,1.72,1.59,1.59,257600,1.59
2015-10-26,1.66,1.66,1.58,1.58,111100,1.58
2015-10-23,1.68,1.72,1.62,1.64,78800,1.64
2015-10-22,1.76,1.77,1.65,1.65,113700,1.65
2015-10-21,1.80,1.83,1.65,1.74,182200,1.74
2015-10-20,1.91,1.95,1.80,1.80,53500,1.80
2015-10-19,1.98,2.00,1.91,1.91,72100,1.91
2015-10-16,1.94,2.00,1.90,2.00,97700,2.00
2015-10-15,1.964,2.01,1.92,1.94,107200,1.94
2015-10-14,1.90,1.99,1.90,1.91,38400,1.91
2015-10-13,1.97,2.02,1.865,1.87,177200,1.87
2015-10-12,1.95,2.00,1.93,1.97,41800,1.97
2015-10-09,1.87,1.95,1.87,1.95,99200,1.95
2015-10-08,1.91,1.97,1.82,1.86,44400,1.86
2015-10-07,1.92,1.95,1.81,1.89,137300,1.89
2015-10-06,1.98,1.99,1.87,1.90,199000,1.90
2015-10-05,1.99,2.039,1.95,1.977,118100,1.977
2015-10-02,1.95,2.05,1.95,1.99,160000,1.99
2015-10-01,1.85,1.95,1.78,1.92,152600,1.92
2015-09-30,1.87,1.92,1.75,1.83,307400,1.83
2015-09-29,1.89,1.99,1.744,1.82,301300,1.82
2015-09-28,2.35,2.35,1.77,1.86,939600,1.86
2015-09-25,2.57,2.57,2.30,2.40,306600,2.40
2015-09-24,2.48,2.50,2.38,2.50,156900,2.50
2015-09-23,2.55,2.60,2.41,2.49,150200,2.49
2015-09-22,2.71,2.74,2.45,2.56,314700,2.56
2015-09-21,2.84,2.94,2.53,2.65,937200,2.65
2015-09-18,2.53,2.60,2.49,2.60,135900,2.60
2015-09-17,2.48,2.64,2.48,2.59,176700,2.59
2015-09-16,2.50,2.59,2.38,2.49,239400,2.49
2015-09-15,2.55,2.63,2.48,2.50,279800,2.50
2015-09-14,2.60,2.66,2.36,2.47,664800,2.47
2015-09-11,2.75,2.75,2.61,2.64,125200,2.64
2015-09-10,2.68,2.72,2.59,2.70,200300,2.70
2015-09-09,2.72,2.77,2.63,2.66,51700,2.66
2015-09-08,2.79,2.79,2.71,2.72,110400,2.72
2015-09-04,2.67,2.77,2.67,2.75,62900,2.75
2015-09-03,2.70,2.75,2.62,2.67,50800,2.67
2015-09-02,2.81,2.83,2.65,2.70,164800,2.70
2015-09-01,2.87,2.87,2.72,2.80,107900,2.80
2015-08-31,2.85,2.88,2.75,2.75,102500,2.75
2015-08-28,2.90,2.96,2.80,2.88,61900,2.88
