Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,23.709999,23.85,23.709999,23.790001,34700,23.790001
2016-01-22,23.52,23.52,23.52,23.52,000,23.52
2016-01-21,23.52,23.52,23.52,23.52,000,23.52
2016-01-20,23.181999,23.52,23.181999,23.52,400,23.52
2016-01-19,23.780001,23.780001,23.780001,23.780001,600,23.780001
2016-01-15,24.459999,24.459999,24.459999,24.459999,000,24.459999
2016-01-14,24.459999,24.459999,24.459999,24.459999,000,24.459999
2016-01-13,24.50,24.50,24.459999,24.459999,600,24.459999
2016-01-12,24.48,24.48,24.48,24.48,000,24.48
2016-01-11,24.83,24.83,24.48,24.48,400,24.48
2016-01-08,24.816999,24.816999,24.816999,24.816999,000,24.816999
2016-01-07,25.01,25.01,24.816999,24.816999,400,24.816999
2016-01-06,25.360001,25.360001,25.360001,25.360001,100,25.360001
2016-01-05,25.469999,25.469999,25.469999,25.469999,000,25.469999
2016-01-04,25.530001,25.530001,25.41,25.469999,1000,25.469999
2015-12-31,26.009001,26.009001,25.950001,25.950001,600,25.950001
2015-12-30,26.24,26.24,26.24,26.24,000,26.24
2015-12-29,26.24,26.24,26.24,26.24,000,26.24
2015-12-28,26.25,26.25,26.24,26.24,25000,26.074
2015-12-24,26.309999,26.309999,26.309999,26.309999,000,26.143557
2015-12-23,26.309999,26.309999,26.309999,26.309999,200,26.143557
2015-12-22,25.799999,25.799999,25.799999,25.799999,000,25.636783
2015-12-21,25.700001,25.799999,25.700001,25.799999,2200,25.636783
2015-12-18,25.780001,25.780001,25.780001,25.780001,200,25.616911
2015-12-17,26.15,26.15,26.139999,26.139999,6600,25.974633
2015-12-16,26.32,26.32,26.32,26.32,100,26.153494
2015-12-15,26.34,26.34,26.07,26.139999,4400,25.974633
2015-12-14,25.66,25.66,25.66,25.66,13500,25.49767
2015-12-11,26.25,26.25,26.25,26.25,000,26.083937
2015-12-10,26.25,26.25,26.25,26.25,4100,26.083937
2015-12-09,26.379999,26.379999,26.379999,26.379999,000,26.213114
2015-12-08,26.42,26.51,26.34,26.379999,600,26.213114
2015-12-07,26.555,26.57,26.555,26.57,600,26.401913
2015-12-04,26.799999,26.799999,26.799999,26.799999,000,26.630457
2015-12-03,26.799999,26.799999,26.799999,26.799999,000,26.630457
2015-12-02,26.799999,26.799999,26.799999,26.799999,000,26.630457
2015-12-01,26.799999,26.799999,26.799999,26.799999,3800,26.630457
2015-11-30,26.666,26.68,26.639999,26.658001,1800,26.489357
2015-11-27,26.43,26.43,26.43,26.43,000,26.262799
2015-11-25,26.43,26.43,26.43,26.43,000,26.262799
2015-11-24,26.43,26.43,26.43,26.43,4800,26.262799
2015-11-23,26.700001,26.700001,26.700001,26.700001,000,26.531091
2015-11-20,26.700001,26.700001,26.700001,26.700001,3800,26.531091
2015-11-19,26.572001,26.572001,26.572001,26.572001,100,26.403901
2015-11-18,26.17,26.17,26.17,26.17,000,26.004443
2015-11-17,26.17,26.17,26.17,26.17,000,26.004443
2015-11-16,26.17,26.17,26.17,26.17,000,26.004443
2015-11-13,26.17,26.17,26.17,26.17,000,26.004443
2015-11-12,26.26,26.26,26.17,26.17,600,26.004443
2015-11-11,26.73,26.73,26.73,26.73,000,26.5609
2015-11-10,26.73,26.73,26.73,26.73,000,26.5609
2015-11-09,26.73,26.73,26.73,26.73,000,26.5609
2015-11-06,26.799999,26.799999,26.66,26.73,2800,26.5609
2015-11-05,26.82,26.879999,26.82,26.879999,15700,26.709951
2015-11-04,26.872,26.872,26.872,26.872,000,26.702002
2015-11-03,26.872,26.872,26.872,26.872,600,26.702002
2015-11-02,26.57,27.549999,26.57,26.860001,15300,26.690079
2015-10-30,27.00,27.00,26.610001,26.610001,1100,26.44166
2015-10-29,26.77,26.77,26.77,26.77,200,26.600648
2015-10-28,26.049999,26.049999,26.049999,26.049999,000,25.885202
2015-10-27,26.049999,26.049999,26.049999,26.049999,000,25.885202
2015-10-26,26.049999,26.049999,26.049999,26.049999,000,25.885202
2015-10-23,26.049999,26.049999,26.049999,26.049999,000,25.885202
2015-10-22,26.049999,26.049999,26.049999,26.049999,000,25.885202
2015-10-21,26.049999,26.049999,26.049999,26.049999,000,25.885202
2015-10-20,26.049999,26.049999,26.049999,26.049999,000,25.885202
2015-10-19,26.049999,26.049999,26.049999,26.049999,000,25.885202
2015-10-16,26.049999,26.049999,26.049999,26.049999,000,25.885202
2015-10-15,26.049999,26.049999,26.049999,26.049999,000,25.885202
2015-10-14,26.049999,26.049999,26.049999,26.049999,000,25.885202
2015-10-13,26.049999,26.049999,26.049999,26.049999,100,25.885202
2015-10-12,24.879999,24.879999,24.879999,24.879999,000,24.722603
2015-10-09,24.879999,24.879999,24.879999,24.879999,000,24.722603
2015-10-08,24.879999,24.879999,24.879999,24.879999,000,24.722603
2015-10-07,24.879999,24.879999,24.879999,24.879999,000,24.722603
2015-10-06,24.879999,24.879999,24.879999,24.879999,000,24.722603
2015-10-05,24.879999,24.879999,24.879999,24.879999,000,24.722603
2015-10-02,24.68,24.879999,24.68,24.879999,6800,24.722603
2015-10-01,24.74,24.75,24.52,24.75,1500,24.593427
2015-09-30,24.74,24.74,24.74,24.74,100,24.58349
2015-09-29,24.280001,24.50,24.209999,24.33,1000,24.176084
2015-09-28,24.41,24.469999,24.32,24.32,3900,24.166147
2015-09-25,25.00,25.00,25.00,25.00,200,24.841845
2015-09-24,24.77,24.77,24.719999,24.719999,1500,24.563616
