Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,3.87,3.87,3.82,3.84,5300,3.84
2016-01-22,3.90,3.90,3.62,3.87,38900,3.87
2016-01-21,3.80,3.90,3.80,3.80,19300,3.80
2016-01-20,3.88,3.88,3.61,3.79,16400,3.79
2016-01-19,3.87,4.99,3.63,3.87,21200,3.87
2016-01-15,3.82,3.85,3.75,3.85,18100,3.85
2016-01-14,3.85,3.88,3.78,3.82,14200,3.82
2016-01-13,3.88,3.88,3.80,3.85,12900,3.85
2016-01-12,3.85,3.96,3.85,3.87,11300,3.87
2016-01-11,3.98,3.98,3.87,3.87,3500,3.87
2016-01-08,3.91,4.00,3.90,3.90,10600,3.90
2016-01-07,3.75,3.92,3.75,3.90,43600,3.90
2016-01-06,3.77,3.81,3.75,3.75,6300,3.75
2016-01-05,3.73,4.00,3.73,3.80,27800,3.80
2016-01-04,3.73,3.73,3.73,3.73,1700,3.73
2015-12-31,3.71,3.75,3.70,3.75,3000,3.75
2015-12-30,3.77,3.77,3.70,3.70,5000,3.70
2015-12-29,3.75,3.75,3.70,3.75,10700,3.75
2015-12-28,3.89,3.89,3.80,3.80,12800,3.80
2015-12-24,3.80,3.80,3.80,3.80,300,3.80
2015-12-23,3.80,3.80,3.76,3.80,4500,3.80
2015-12-22,3.78,3.80,3.76,3.80,2100,3.80
2015-12-21,3.73,3.77,3.73,3.76,3800,3.76
2015-12-18,3.74,3.75,3.70,3.75,6700,3.75
2015-12-17,3.70,3.80,3.70,3.77,5200,3.77
2015-12-16,3.57,3.57,3.57,3.57,1900,3.57
2015-12-15,3.64,3.64,3.56,3.56,14600,3.56
2015-12-14,3.65,3.67,3.65,3.65,900,3.65
2015-12-11,3.64,3.72,3.64,3.65,11600,3.65
2015-12-10,3.74,3.74,3.71,3.71,1100,3.645
2015-12-09,3.78,3.80,3.71,3.75,8800,3.684299
2015-12-08,3.85,3.85,3.75,3.76,1500,3.694124
2015-12-07,3.85,3.85,3.83,3.83,1900,3.762898
2015-12-04,3.84,3.85,3.81,3.85,14200,3.782547
2015-12-03,3.86,3.94,3.80,3.80,10000,3.733423
2015-12-02,3.86,3.91,3.83,3.83,6500,3.762898
2015-12-01,3.81,3.90,3.79,3.86,20800,3.792372
2015-11-30,3.86,3.86,3.71,3.79,33100,3.723598
2015-11-27,3.78,3.80,3.78,3.80,1100,3.733423
2015-11-25,3.80,3.80,3.76,3.76,1600,3.694124
2015-11-24,3.80,3.80,3.80,3.80,000,3.733423
2015-11-23,3.76,3.80,3.75,3.80,5300,3.733423
2015-11-20,3.80,3.80,3.75,3.75,1100,3.684299
2015-11-19,3.79,3.79,3.79,3.79,2700,3.723598
2015-11-18,3.80,3.80,3.75,3.75,6600,3.684299
2015-11-17,3.80,3.81,3.80,3.80,2800,3.733423
2015-11-16,3.82,3.82,3.82,3.82,3100,3.753073
2015-11-13,3.84,3.84,3.84,3.84,000,3.772722
2015-11-12,3.84,3.84,3.84,3.84,000,3.772722
2015-11-11,3.84,3.84,3.84,3.84,3700,3.772722
2015-11-10,3.85,3.85,3.83,3.83,2900,3.762898
2015-11-09,3.86,3.86,3.86,3.86,12000,3.792372
2015-11-06,3.86,3.88,3.86,3.86,5200,3.792372
