Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,16.90,17.01,16.25,16.469999,171200,16.469999
2016-01-22,17.90,17.959999,16.85,17.24,171800,17.24
2016-01-21,18.33,18.90,17.27,17.709999,135000,17.709999
2016-01-20,17.25,18.57,16.639999,18.200001,154500,18.200001
2016-01-19,17.940001,17.959999,17.33,17.42,217700,17.42
2016-01-15,17.24,17.92,16.75,17.879999,187800,17.879999
2016-01-14,17.08,17.85,16.851,17.620001,122100,17.620001
2016-01-13,17.85,18.02,17.059999,17.129999,132600,17.129999
2016-01-12,17.49,17.82,17.27,17.77,135600,17.77
2016-01-11,17.58,17.709999,17.129999,17.41,151100,17.41
2016-01-08,19.00,19.17,17.26,17.459999,224500,17.459999
2016-01-07,20.00,20.174999,18.809999,18.85,176100,18.85
2016-01-06,19.42,20.40,19.27,20.24,125400,20.24
2016-01-05,19.48,19.73,19.190001,19.66,208300,19.66
2016-01-04,20.110001,20.385,19.379999,19.49,225100,19.49
2015-12-31,21.17,21.385,20.24,20.49,189400,20.49
2015-12-30,20.860001,21.379999,20.860001,21.17,138300,21.17
2015-12-29,20.74,21.23,20.700001,20.889999,111600,20.889999
2015-12-28,20.57,20.780001,20.24,20.73,110500,20.73
2015-12-24,20.59,20.719999,20.32,20.58,92100,20.58
2015-12-23,21.049999,21.049999,20.08,20.440001,147100,20.440001
2015-12-22,20.27,21.129999,20.27,20.950001,123800,20.950001
2015-12-21,19.32,20.780001,19.299999,20.18,292400,20.18
2015-12-18,20.190001,21.780001,19.115,19.27,3048900,19.27
2015-12-17,20.719999,21.299999,20.65,20.709999,481800,20.709999
2015-12-16,20.540001,21.209999,20.42,20.799999,247800,20.799999
2015-12-15,21.17,21.424999,19.91,20.639999,298800,20.639999
2015-12-14,21.66,21.82,20.57,20.85,236300,20.85
2015-12-11,21.469999,22.32,21.111,21.32,593600,21.32
2015-12-10,20.93,21.959999,20.540001,21.309999,251000,21.309999
2015-12-09,20.27,21.27,20.27,20.780001,428500,20.780001
2015-12-08,20.030001,20.700001,19.865,20.15,226600,20.15
2015-12-07,19.85,20.950001,19.549999,19.969999,319100,19.969999
2015-12-04,19.43,19.719999,19.014,19.610001,233700,19.610001
2015-12-03,19.16,19.50,18.440001,19.280001,198200,19.280001
2015-12-02,18.75,19.07,18.040001,18.93,245300,18.93
2015-12-01,19.110001,19.219999,18.58,18.620001,202300,18.620001
2015-11-30,19.219999,19.51,18.74,19.110001,109700,19.110001
2015-11-27,19.50,19.50,19.200001,19.49,92000,19.49
2015-11-25,19.00,19.610001,18.799999,19.48,179800,19.48
2015-11-24,18.950001,19.49,18.73,19.07,237700,19.07
2015-11-23,18.690001,19.059999,18.52,18.959999,143400,18.959999
2015-11-20,18.08,19.049999,18.01,18.629999,99400,18.629999
2015-11-19,18.24,18.48,17.610001,18.200001,81100,18.200001
2015-11-18,18.790001,19.030001,18.43,18.469999,86300,18.469999
2015-11-17,18.76,19.225,18.59,18.879999,150000,18.879999
2015-11-16,18.90,19.190001,18.33,18.85,111200,18.85
2015-11-13,18.139999,19.290001,17.639999,18.90,151600,18.90
2015-11-12,18.10,19.08,17.51,18.33,397200,18.33
2015-11-11,18.91,19.23,18.370001,18.940001,107400,18.940001
2015-11-10,18.790001,19.35,18.290001,19.059999,219900,19.059999
2015-11-09,19.01,19.48,18.120001,18.93,192400,18.93
2015-11-06,17.75,18.950001,17.305,18.809999,199700,18.809999
2015-11-05,16.66,17.33,16.66,17.23,76400,17.23
2015-11-04,17.299999,17.50,16.60,16.780001,419800,16.780001
2015-11-03,16.60,17.50,16.549999,17.370001,178100,17.370001
2015-11-02,16.98,16.98,16.280001,16.540001,119400,16.540001
2015-10-30,16.709999,17.530001,16.68,16.82,397800,16.82
2015-10-29,17.950001,17.950001,16.75,16.870001,136200,16.870001
2015-10-28,18.799999,18.799999,17.51,17.889999,289600,17.889999
2015-10-27,18.549999,19.35,18.01,18.790001,623700,18.790001
2015-10-26,18.33,18.90,18.059999,18.629999,231200,18.629999
2015-10-23,17.52,17.879999,16.870001,17.83,132400,17.83
2015-10-22,19.059999,19.059999,16.26,17.52,487700,17.52
2015-10-21,19.67,19.860001,18.709999,19.040001,379000,19.040001
2015-10-20,18.91,20.00,18.91,19.809999,435300,19.809999
2015-10-19,18.77,19.16,18.51,19.16,113700,19.16
2015-10-16,18.50,19.01,18.389999,18.969999,104300,18.969999
2015-10-15,18.58,18.889999,18.256001,18.540001,404000,18.540001
2015-10-14,18.41,18.85,18.26,18.77,262300,18.77
2015-10-13,18.200001,18.75,18.190001,18.690001,327500,18.690001
2015-10-12,18.00,18.93,18.00,18.139999,259100,18.139999
2015-10-09,18.48,18.50,17.50,18.01,1063000,18.01
2015-10-08,18.68,18.780001,18.50,18.65,208700,18.65
2015-10-07,19.00,19.198999,18.49,18.690001,491500,18.690001
2015-10-06,18.549999,19.389999,18.25,18.959999,414400,18.959999
2015-10-05,18.50,19.389999,18.50,18.790001,395700,18.790001
2015-10-02,17.91,19.49,17.549999,18.43,967300,18.43
2015-10-01,17.549999,19.00,16.950001,18.110001,8800500,18.110001
2015-09-30,19.00,19.00,19.00,19.00,000,19.00
