Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,50.18,50.18,50.18,50.18,400,50.18
2016-01-22,50.130001,50.141998,49.98,50.141998,700,50.141998
2016-01-21,50.136002,50.136002,50.136002,50.136002,000,50.136002
2016-01-20,50.330002,50.330002,50.136002,50.136002,400,50.136002
2016-01-19,50.16,50.560001,50.16,50.560001,2800,50.560001
2016-01-15,50.23,50.52,49.619999,49.799999,26700,49.799999
2016-01-14,50.200001,50.200001,50.200001,50.200001,2400,50.200001
2016-01-13,50.169998,50.169998,50.169998,50.169998,600,50.169998
2016-01-12,50.209999,50.209999,50.139999,50.139999,600,50.139999
2016-01-11,50.16,50.18,50.129002,50.18,600,50.18
2016-01-08,50.310001,50.369999,50.200001,50.349998,4400,50.349998
2016-01-07,50.849998,50.849998,50.240002,50.310001,4000,50.310001
2016-01-06,50.360001,50.360001,50.18,50.25,1500,50.25
2016-01-05,50.00,50.040001,49.919998,50.040001,3400,50.040001
2016-01-04,50.66,50.66,49.91,49.950001,1300,49.950001
2015-12-31,49.995998,49.995998,49.995998,49.995998,300,49.995998
2015-12-30,49.860001,49.93,49.860001,49.93,9000,49.93
2015-12-29,49.98,49.990002,49.91,49.91,9600,49.91
2015-12-28,50.034,50.07,50.034,50.07,1100,49.966999
2015-12-24,49.880001,50.02,49.869999,50.02,1300,49.917103
2015-12-23,50.099998,50.130001,50.07,50.130001,4500,50.026877
2015-12-22,50.139999,50.139999,50.02,50.02,2700,49.917103
2015-12-21,50.130001,50.130001,50.101002,50.101002,700,49.997937
2015-12-18,50.139999,50.169998,50.113998,50.113998,1700,50.010907
2015-12-17,50.139999,50.139999,50.139999,50.139999,600,50.036855
2015-12-16,50.16,50.220001,50.009998,50.220001,1300,50.116692
2015-12-15,50.110001,50.200001,50.099998,50.099998,9200,49.996936
2015-12-14,50.110001,50.16,50.110001,50.16,7000,50.056814
2015-12-11,50.220001,50.27,50.189999,50.209999,6300,50.10671
2015-12-10,50.259998,50.259998,50.220001,50.220001,1600,50.116692
2015-12-09,50.240002,50.299999,50.222,50.299999,7400,50.196525
2015-12-08,50.220001,50.240002,50.220001,50.240002,6600,50.136651
2015-12-07,50.220001,50.220001,50.220001,50.220001,7200,50.116692
2015-12-04,50.132,50.220001,50.110001,50.16,5300,50.056814
2015-12-03,50.360001,50.360001,50.150002,50.150002,1900,50.046836
2015-12-02,50.380001,50.439999,50.349998,50.397999,2000,50.294323
2015-12-01,50.360001,50.50,50.360001,50.50,2000,50.396115
2015-11-30,50.799999,50.84,50.290001,50.366001,11800,50.170583
2015-11-27,50.439999,50.459999,50.439999,50.459999,500,50.264216
2015-11-25,50.349998,50.389999,50.349998,50.349998,3200,50.154642
2015-11-24,50.34,50.34,50.25,50.25,600,50.055032
2015-11-23,50.27,50.27,50.110001,50.110001,5100,49.915576
2015-11-20,50.360001,50.369999,50.360001,50.369999,700,50.174565
2015-11-19,50.240002,50.240002,50.240002,50.240002,500,50.045072
2015-11-18,50.202999,50.202999,50.202999,50.202999,300,50.008213
2015-11-17,50.200001,50.279999,50.200001,50.279999,16100,50.084914
2015-11-16,50.209999,50.27,50.209999,50.23,3100,50.035109
2015-11-13,50.23,50.32,50.23,50.23,2500,50.035109
2015-11-12,50.200001,50.200001,50.150002,50.150002,200,49.955421
2015-11-11,50.189999,50.189999,50.169998,50.169998,600,49.97534
2015-11-10,50.150002,50.23,50.150002,50.189999,8400,49.995263
2015-11-09,50.060001,50.110001,50.060001,50.09,19100,49.895653
