Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,89.099998,89.650002,88.559998,88.57,95900,88.57
2016-01-22,89.00,89.786003,88.589996,89.330002,32000,89.330002
2016-01-21,88.400002,88.519997,87.00,88.050003,18000,88.050003
2016-01-20,87.529999,88.300003,86.00,87.870003,18200,87.870003
2016-01-19,88.889999,89.779999,88.349998,89.120003,7500,89.120003
2016-01-15,88.260002,90.07,87.279999,90.07,84400,90.07
2016-01-14,89.25,91.160004,87.349998,88.93,10500,88.93
2016-01-13,93.059998,93.059998,89.110001,89.110001,2600,89.110001
2016-01-12,90.809998,91.760002,90.650002,91.629997,14300,91.629997
2016-01-11,90.889999,91.00,90.019997,90.529999,106000,90.529999
2016-01-08,91.139999,91.139999,89.900002,89.900002,29600,89.900002
2016-01-07,90.330002,90.82,90.330002,90.800003,22600,90.800003
2016-01-06,90.400002,91.00,90.400002,91.00,36900,91.00
2016-01-05,90.160004,91.290001,89.949997,90.779999,49000,90.779999
2016-01-04,91.050003,91.050003,88.639999,89.489998,26800,89.489998
2015-12-31,91.699997,92.50,91.610001,91.610001,3800,91.610001
2015-12-30,93.099998,93.099998,91.690002,91.690002,4800,91.690002
2015-12-29,92.459999,93.129997,92.080002,92.410004,25800,92.410004
2015-12-28,91.57,92.059998,91.089996,91.75,4100,91.75
2015-12-24,91.400002,91.739998,91.400002,91.739998,1100,91.739998
2015-12-23,91.32,91.580002,91.150002,91.43,53800,91.43
2015-12-22,89.50,91.010002,89.50,90.849998,77400,90.849998
2015-12-21,89.779999,89.839996,88.82,89.650002,123700,89.650002
2015-12-18,89.75,89.875,88.370003,88.580002,107200,88.580002
2015-12-17,90.029999,90.839996,89.349998,90.07,17600,90.07
2015-12-16,92.68,92.68,89.040001,89.50,51900,89.50
2015-12-15,89.407997,89.839996,89.25,89.470001,111000,89.470001
2015-12-14,89.129997,89.177002,88.470001,88.470001,58200,88.470001
2015-12-11,88.699997,89.139999,88.160004,88.599998,86400,88.599998
2015-12-10,110.00,110.00,89.089996,89.279999,8300,89.279999
2015-12-09,88.900002,89.540001,88.480003,88.650002,74700,88.650002
2015-12-08,88.209999,89.370003,88.209999,88.629997,40500,88.629997
2015-12-07,91.410004,91.410004,88.400002,88.419998,9600,88.419998
2015-12-04,88.519997,90.209999,88.489998,89.440002,15500,89.440002
2015-12-03,89.720001,89.860001,87.75,87.980003,161400,87.980003
2015-12-02,91.360001,91.43,90.309998,90.440002,44100,90.440002
2015-12-01,92.129997,92.129997,90.139999,91.349998,82600,91.349998
2015-11-30,93.00,93.00,91.220001,91.849998,11200,91.849998
2015-11-27,91.519997,92.029999,90.970001,91.639999,3500,91.639999
2015-11-25,94.790001,94.790001,93.550003,93.660004,5600,92.347005
2015-11-24,93.730003,94.720001,93.580002,94.379997,68300,93.056905
2015-11-23,94.389999,94.75,93.760002,94.150002,13000,92.830134
2015-11-20,93.620003,95.080002,92.709999,93.629997,75100,92.317419
2015-11-19,93.800003,94.290001,92.580002,92.730003,41100,91.430042
2015-11-18,90.099998,94.040001,90.099998,93.620003,3200,92.307565
2015-11-17,94.050003,94.660004,93.400002,93.620003,4700,92.307565
2015-11-16,93.739998,94.669998,93.550003,93.809998,29300,92.494896
2015-11-13,93.260002,94.760002,93.260002,93.809998,18600,92.494896
2015-11-12,94.360001,94.610001,93.919998,94.260002,7300,92.938592
2015-11-11,95.07,95.309998,94.290001,94.410004,245700,93.086491
2015-11-10,95.32,95.900002,94.635002,94.919998,73300,93.589336
2015-11-09,94.769997,95.230003,94.080002,94.50,6000,93.175226
2015-11-06,95.019997,95.75,91.50,95.540001,46700,94.200647
2015-11-05,95.050003,95.82,94.519997,94.580002,146100,93.254106
2015-11-04,95.50,95.550003,93.160004,93.160004,142900,91.854015
2015-11-03,94.629997,97.480003,94.18,96.989998,27500,95.630317
2015-11-02,93.849998,95.510002,93.82,94.720001,173000,93.392143
2015-10-30,94.25,94.529999,93.129997,93.220001,28400,91.913171
2015-10-29,93.110001,94.099998,93.00,93.610001,7400,92.297703
2015-10-28,93.434998,93.870003,92.470001,93.870003,26800,92.55406
2015-10-27,94.879997,94.879997,93.129997,93.300003,236200,91.992051
2015-10-26,93.720001,95.110001,92.529999,94.00,80500,92.682235
2015-10-23,96.400002,96.400002,87.00,92.559998,626200,91.26242
2015-10-22,105.900002,106.980003,105.900002,106.339996,196800,104.84924
2015-10-21,107.540001,107.629997,106.25,106.269997,141900,104.780222
2015-10-20,107.120003,107.519997,106.459999,107.239998,133300,105.736625
2015-10-19,106.25,107.620003,106.150002,107.190002,682600,105.68733
2015-10-16,107.129997,109.989998,104.650002,105.709999,1123400,104.228074
2015-10-15,106.25,106.900002,106.25,106.800003,367200,105.302798
2015-10-14,106.849998,107.599998,106.089996,106.089996,60200,104.602745
2015-10-13,107.43,107.540001,106.839996,107.209999,141100,105.707046
2015-10-12,107.059998,107.550003,107.00,107.300003,39400,105.795789
2015-10-09,106.410004,107.00,106.410004,106.980003,32000,105.480275
2015-10-08,104.169998,108.059998,104.169998,106.010002,73000,104.523872
2015-10-07,104.239998,106.790001,104.230003,104.269997,296200,102.808259
2015-10-06,104.279999,104.849998,103.839996,104.084999,144800,102.625855
2015-10-05,103.440002,104.650002,103.239998,104.550003,84000,103.08434
2015-10-02,101.610001,102.410004,101.610001,102.410004,11800,100.974341
2015-10-01,101.800003,102.550003,101.730003,102.120003,108300,100.688406
2015-09-30,101.50,101.75,101.425003,101.75,167500,100.32359
2015-09-29,100.660004,101.50,100.660004,101.50,2200,100.077094
2015-09-28,117.480003,117.480003,101.00,101.32,211600,99.899618
2015-09-25,101.75,102.510002,101.75,102.449997,161100,101.013774
2015-09-24,101.00,101.510002,100.900002,101.510002,155200,100.086956
2015-09-23,101.099998,101.75,101.00,101.75,41000,100.32359
2015-09-22,101.056999,101.099998,100.489998,100.870003,153100,99.455929
2015-09-21,101.550003,101.550003,101.110001,101.110001,21300,99.692562
2015-09-18,100.260002,101.163002,100.260002,101.00,27000,99.584104
2015-09-17,101.290001,101.800003,101.18,101.800003,146200,100.372892
2015-09-16,100.099998,100.75,100.099998,100.50,379600,99.091113
2015-09-15,102.50,102.50,100.050003,101.169998,365100,99.751719
2015-09-14,100.699997,101.50,100.50,100.699997,1854900,99.288306
2015-09-11,101.339996,103.00,101.00,101.800003,1550000,100.372892
2015-09-10,100.129997,102.029999,99.25,101.279999,1570600,99.860177
