Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,3.05,3.50,3.05,3.50,1400,3.50
2016-01-22,3.61,3.61,3.45,3.45,2100,3.45
2016-01-21,3.70,3.75,3.26,3.26,5200,3.26
2016-01-20,3.48,3.70,3.46,3.70,2000,3.70
2016-01-19,4.20,4.20,3.13,3.75,3200,3.75
2016-01-15,3.90,4.09,3.10,3.61,6200,3.61
2016-01-14,3.60,3.89,3.60,3.89,800,3.89
2016-01-13,3.64,3.64,3.55,3.55,500,3.55
2016-01-12,3.58,3.60,3.55,3.55,1600,3.55
2016-01-11,3.60,3.60,3.60,3.60,000,3.60
2016-01-08,4.15,4.15,3.50,3.60,8700,3.60
2016-01-07,3.70,3.70,3.70,3.70,300,3.70
2016-01-06,3.70,4.19,3.70,3.70,6500,3.70
2016-01-05,3.57,3.57,3.57,3.57,000,3.57
2016-01-04,3.57,3.57,3.57,3.57,900,3.57
2015-12-31,3.60,3.60,3.60,3.60,000,3.60
2015-12-30,3.58,3.70,3.58,3.60,2500,3.60
2015-12-29,3.67,3.67,3.67,3.67,1000,3.67
2015-12-28,3.69,3.69,3.66,3.66,1400,3.66
2015-12-24,3.70,3.70,3.70,3.70,100,3.70
2015-12-23,3.69,3.69,3.65,3.65,1800,3.65
2015-12-22,3.68,3.68,3.50,3.50,4600,3.50
2015-12-21,3.95,3.95,3.56,3.70,5900,3.70
2015-12-18,3.86,4.49,3.86,4.15,2400,4.15
2015-12-17,3.93,3.93,3.93,3.93,200,3.93
2015-12-16,4.00,4.00,4.00,4.00,000,4.00
2015-12-15,5.20,5.20,4.00,4.00,7400,4.00
2015-12-14,4.89,4.89,4.05,4.05,2400,4.05
2015-12-11,4.00,4.12,4.00,4.01,2300,4.01
2015-12-10,4.05,4.94,4.05,4.91,600,4.91
2015-12-09,5.75,5.75,4.05,4.05,2800,4.05
2015-12-08,2.70,5.99,2.70,5.40,17300,5.40
2015-12-07,3.70,3.75,3.70,3.75,2200,3.75
2015-12-04,4.80,4.80,4.00,4.00,1500,4.00
2015-12-03,4.83,4.83,4.31,4.31,1100,4.31
2015-12-02,4.97,4.97,4.36,4.36,700,4.36
2015-12-01,4.30,4.30,4.30,4.30,100,4.30
2015-11-30,5.00,5.00,4.58,4.97,1300,4.97
2015-11-27,4.68,4.68,4.58,4.58,1000,4.58
2015-11-25,5.00,5.00,4.60,4.90,800,4.90
2015-11-24,4.76,4.76,4.60,4.60,600,4.60
2015-11-23,4.60,4.60,4.60,4.60,200,4.60
2015-11-20,5.02,5.02,5.02,5.02,200,5.02
2015-11-19,4.67,4.67,4.67,4.67,100,4.67
2015-11-18,4.60,5.00,4.60,5.00,500,5.00
2015-11-17,5.50,5.50,5.50,5.50,000,5.50
2015-11-16,5.50,5.50,5.50,5.50,200,5.50
2015-11-13,4.87,4.87,4.57,4.57,1600,4.57
2015-11-12,4.41,4.41,4.41,4.41,200,4.41
2015-11-11,5.50,5.50,5.50,5.50,1200,5.50
2015-11-10,5.48,5.48,5.48,5.48,000,5.48
2015-11-09,5.50,5.70,5.01,5.48,8000,5.48
2015-11-06,4.98,6.40,4.98,5.35,8600,5.35
2015-11-05,5.00,5.00,5.00,5.00,200,5.00
2015-11-04,4.70,4.70,4.70,4.70,300,4.70
2015-11-03,5.00,5.00,5.00,5.00,000,5.00
2015-11-02,5.00,5.00,5.00,5.00,2000,5.00
2015-10-30,5.00,5.00,5.00,5.00,100,5.00
2015-10-29,4.65,4.65,4.65,4.65,1800,4.65
2015-10-28,5.00,5.00,5.00,5.00,200,5.00
2015-10-27,4.46,5.00,4.45,5.00,2100,5.00
2015-10-26,3.49,5.00,3.49,5.00,300,5.00
2015-10-23,4.84,5.00,4.84,5.00,1000,5.00
2015-10-22,5.00,5.00,5.00,5.00,000,5.00
2015-10-21,5.15,5.15,5.00,5.00,400,5.00
2015-10-20,4.94,5.20,4.94,5.15,3700,5.15
2015-10-19,5.00,5.00,5.00,5.00,300,5.00
2015-10-16,5.35,5.35,5.00,5.00,500,5.00
2015-10-15,5.20,5.20,5.00,5.00,500,5.00
2015-10-14,5.01,5.55,4.97,5.34,4100,5.34
2015-10-13,6.10,6.10,5.90,5.90,1100,5.90
2015-10-12,6.01,6.01,6.01,6.01,000,6.01
2015-10-09,6.01,6.01,6.01,6.01,900,6.01
2015-10-08,6.52,6.60,6.25,6.25,500,6.25
2015-10-07,6.35,6.35,6.35,6.35,000,6.35
2015-10-06,6.26,6.35,6.26,6.35,800,6.35
2015-10-05,6.78,6.78,6.16,6.25,4800,6.25
2015-10-02,6.21,6.24,6.21,6.23,700,6.23
2015-10-01,7.74,7.74,6.03,7.43,500,7.43
2015-09-30,7.90,7.90,7.90,7.90,000,7.90
2015-09-29,10.24,10.24,7.90,7.90,2500,7.90
2015-09-28,6.99,6.99,6.75,6.90,5600,6.90
2015-09-25,6.58,6.60,6.58,6.60,1600,6.60
2015-09-24,6.57,6.57,6.57,6.57,100,6.57
2015-09-23,6.48,6.48,6.48,6.48,400,6.48
2015-09-22,6.58,6.65,6.25,6.50,3700,6.50
2015-09-21,6.25,6.25,6.25,6.25,3100,6.25
2015-09-18,5.55,6.99,5.55,6.99,5300,6.99
2015-09-17,5.70,5.70,5.70,5.70,000,5.70
2015-09-16,0.53,0.58,0.53,0.57,5200,5.70
2015-09-15,0.46,0.65,0.46,0.56,14500,5.60
2015-09-14,0.45,0.46,0.41,0.46,2100,4.60
2015-09-11,0.50,0.50,0.40,0.43,6600,4.30
2015-09-10,0.53,0.53,0.53,0.53,000,5.30
2015-09-09,0.44,0.53,0.43,0.53,1300,5.30
2015-09-08,0.44,0.44,0.44,0.44,300,4.40
2015-09-04,0.43,0.44,0.43,0.43,1200,4.30
2015-09-03,0.40,0.43,0.40,0.42,1100,4.20
2015-09-02,0.40,0.40,0.40,0.40,1500,4.00
2015-09-01,0.44,0.44,0.39,0.44,500,4.40
2015-08-31,0.45,0.45,0.35,0.45,800,4.50
2015-08-28,0.50,0.50,0.45,0.45,500,4.50
2015-08-27,0.48,0.48,0.42,0.45,1200,4.50
2015-08-26,0.50,0.50,0.48,0.48,2100,4.80
2015-08-25,0.53,0.53,0.51,0.53,600,5.30
2015-08-24,0.51,0.51,0.51,0.51,800,5.10
2015-08-21,0.53,0.56,0.53,0.56,400,5.60
2015-08-20,0.55,0.60,0.53,0.57,1700,5.70
2015-08-19,0.55,0.60,0.53,0.53,1900,5.30
2015-08-18,0.45,0.63,0.45,0.55,2000,5.50
2015-08-17,0.45,0.45,0.45,0.45,300,4.50
2015-08-14,0.45,0.45,0.45,0.45,000,4.50
2015-08-13,0.47,0.47,0.40,0.45,5400,4.50
2015-08-12,0.48,0.50,0.46,0.50,1000,5.00
2015-08-11,0.50,0.50,0.50,0.50,1000,5.00
2015-08-10,0.50,0.50,0.48,0.50,900,5.00
2015-08-07,0.52,0.54,0.52,0.54,200,5.40
2015-08-06,0.52,0.52,0.52,0.52,1300,5.20
2015-08-05,0.51,0.52,0.51,0.52,600,5.20
2015-08-04,0.51,0.51,0.49,0.50,200,5.00
2015-08-03,0.51,0.51,0.46,0.51,3100,5.10
2015-07-31,0.58,0.58,0.46,0.51,900,5.10
2015-07-30,0.58,0.58,0.58,0.58,2200,5.80
2015-07-29,0.63,0.63,0.41,0.58,2500,5.80
2015-07-28,0.66,0.68,0.60,0.63,2500,6.30
2015-07-27,0.67,0.73,0.62,0.71,2600,7.10
2015-07-24,0.75,0.75,0.75,0.75,000,7.50
2015-07-23,0.70,0.76,0.70,0.75,2000,7.50
2015-07-22,0.79,0.79,0.67,0.79,700,7.90
2015-07-21,0.80,0.80,0.80,0.80,000,8.00
2015-07-20,0.67,0.80,0.67,0.80,100,8.00
2015-07-17,0.67,0.80,0.67,0.80,1800,8.00
2015-07-16,0.70,0.80,0.67,0.80,400,8.00
2015-07-15,0.76,0.76,0.75,0.75,300,7.50
2015-07-14,0.71,0.80,0.71,0.80,1800,8.00
2015-07-13,0.78,0.80,0.78,0.80,4100,8.00
2015-07-10,0.80,0.80,0.70,0.70,900,7.00
2015-07-09,0.72,0.80,0.72,0.80,700,8.00
2015-07-08,0.82,0.82,0.82,0.82,000,8.20
2015-07-07,0.84,0.84,0.82,0.82,700,8.20
2015-07-06,0.84,0.84,0.84,0.84,300,8.40
2015-07-02,0.84,0.85,0.84,0.84,3300,8.40
2015-07-01,0.83,0.83,0.83,0.83,000,8.30
2015-06-30,0.80,0.83,0.62,0.83,1200,8.30
2015-06-29,0.85,0.85,0.85,0.85,400,8.50
2015-06-26,0.88,0.88,0.81,0.81,1700,8.100001
2015-06-25,0.90,0.90,0.85,0.85,800,8.50
2015-06-24,0.85,0.87,0.70,0.80,6100,8.00
2015-06-23,0.83,0.88,0.77,0.87,3900,8.70
2015-06-22,0.85,0.85,0.62,0.68,800,6.80
2015-06-19,0.85,0.85,0.65,0.69,1400,6.90
2015-06-18,0.65,0.80,0.62,0.80,4400,8.00
2015-06-17,0.77,0.77,0.77,0.77,000,7.70
2015-06-16,0.61,0.76,0.61,0.68,1000,6.80
2015-06-15,0.60,0.76,0.60,0.76,1200,7.60
2015-06-12,0.77,0.77,0.60,0.76,1300,7.60
2015-06-11,0.74,0.75,0.70,0.74,1200,7.40
2015-06-10,0.71,0.75,0.70,0.75,800,7.50
2015-06-09,0.70,0.75,0.70,0.70,3000,7.00
2015-06-08,0.80,0.80,0.80,0.80,1000,8.00
2015-06-05,0.85,0.85,0.84,0.85,1600,8.50
2015-06-04,0.81,0.85,0.77,0.85,4600,8.50
2015-06-03,0.78,0.78,0.78,0.78,100,7.80
2015-06-02,0.78,0.78,0.78,0.78,100,7.80
2015-06-01,0.84,0.84,0.80,0.80,400,8.00
2015-05-29,0.80,0.84,0.80,0.84,3000,8.40
2015-05-28,0.80,0.80,0.80,0.80,200,8.00
2015-05-27,0.81,0.81,0.78,0.78,2400,7.80
2015-05-26,0.80,0.80,0.75,0.80,5100,8.00
2015-05-22,0.67,0.80,0.67,0.80,4100,8.00
2015-05-21,0.69,0.69,0.68,0.68,1100,6.80
2015-05-20,0.71,0.71,0.71,0.71,000,7.10
2015-05-19,0.71,0.71,0.71,0.71,100,7.10
2015-05-18,0.65,0.65,0.65,0.65,400,6.50
2015-05-15,0.70,0.71,0.60,0.71,2600,7.10
2015-05-14,0.62,0.75,0.61,0.75,2600,7.50
2015-05-13,0.56,0.65,0.56,0.65,200,6.50
2015-05-12,0.65,0.65,0.65,0.65,100,6.50
2015-05-11,0.65,0.65,0.65,0.65,000,6.50
2015-05-08,0.70,0.70,0.70,0.70,000,7.00
2015-05-07,0.70,0.70,0.70,0.70,000,7.00
2015-05-06,0.62,0.70,0.62,0.70,300,7.00
2015-05-05,0.65,0.68,0.65,0.68,100,6.80
2015-05-04,0.75,0.75,0.65,0.70,2100,7.00
2015-05-01,0.64,0.75,0.64,0.75,1500,7.50
2015-04-30,0.65,0.65,0.56,0.65,200,6.50
2015-04-29,0.73,0.73,0.73,0.73,000,7.30
2015-04-28,0.75,0.75,0.56,0.73,300,7.30
2015-04-27,0.75,0.75,0.75,0.75,5100,7.50
2015-04-24,0.70,0.80,0.40,0.40,1500,4.00
2015-04-23,0.94,0.94,0.82,0.82,1800,8.20
2015-04-22,0.85,0.94,0.73,0.80,1700,8.00
2015-04-21,0.75,0.80,0.69,0.80,600,8.00
2015-04-20,0.75,0.75,0.69,0.75,1500,7.50
2015-04-17,0.57,0.90,0.57,0.67,15000,6.70
2015-04-16,0.32,0.57,0.32,0.57,9000,5.70
2015-04-15,0.28,0.36,0.27,0.32,3400,3.20
2015-04-14,0.28,0.28,0.28,0.28,000,2.80
2015-04-13,0.28,0.28,0.28,0.28,000,2.80
2015-04-10,0.28,0.28,0.28,0.28,1700,2.80
2015-04-09,0.28,0.28,0.28,0.28,100,2.80
2015-04-08,0.25,0.28,0.25,0.28,700,2.80
2015-04-07,0.29,0.29,0.26,0.27,2000,2.70
2015-04-06,0.27,0.30,0.26,0.27,1300,2.70
2015-04-02,0.26,0.26,0.26,0.26,100,2.60
2015-04-01,0.27,0.27,0.27,0.27,1900,2.70
2015-03-31,0.27,0.30,0.27,0.30,000,3.00
2015-03-30,0.30,0.31,0.30,0.31,1100,3.10
2015-03-27,0.27,0.31,0.27,0.31,200,3.10
2015-03-26,0.31,0.31,0.27,0.31,2300,3.10
2015-03-25,0.27,0.36,0.27,0.35,700,3.50
2015-03-24,0.36,0.36,0.35,0.36,1300,3.60
2015-03-23,0.30,0.34,0.30,0.34,500,3.40
2015-03-20,0.34,0.34,0.34,0.34,500,3.40
2015-03-19,0.37,0.37,0.37,0.37,1300,3.70
2015-03-18,0.36,0.36,0.36,0.36,1000,3.60
2015-03-17,0.32,0.32,0.32,0.32,000,3.20
2015-03-16,0.32,0.32,0.32,0.32,200,3.20
2015-03-13,0.32,0.32,0.32,0.32,000,3.20
2015-03-12,0.28,0.32,0.28,0.32,400,3.20
2015-03-11,0.32,0.32,0.32,0.32,600,3.20
2015-03-10,0.32,0.32,0.32,0.32,000,3.20
2015-03-09,0.30,0.32,0.27,0.32,2700,3.20
2015-03-06,0.30,0.30,0.26,0.30,1600,3.00
2015-03-05,0.32,0.32,0.32,0.32,600,3.20
2015-03-04,0.30,0.30,0.30,0.30,600,3.00
2015-03-03,0.30,0.32,0.30,0.32,1400,3.20
2015-03-02,0.35,0.35,0.30,0.30,2000,3.00
2015-02-27,0.29,0.35,0.29,0.35,500,3.50
2015-02-26,0.30,0.35,0.30,0.35,900,3.50
2015-02-25,0.29,0.38,0.29,0.38,1900,3.80
2015-02-24,0.29,0.35,0.29,0.35,1600,3.50
2015-02-23,0.30,0.30,0.30,0.30,1300,3.00
2015-02-20,0.29,0.29,0.29,0.29,300,2.90
2015-02-19,0.35,0.35,0.35,0.35,300,3.50
2015-02-18,0.35,0.35,0.35,0.35,000,3.50
2015-02-17,0.28,0.35,0.28,0.35,600,3.50
2015-02-13,0.35,0.35,0.30,0.33,800,3.30
2015-02-12,0.32,0.35,0.32,0.35,400,3.50
2015-02-11,0.30,0.30,0.30,0.30,1000,3.00
2015-02-10,0.30,0.30,0.30,0.30,400,3.00
2015-02-09,0.30,0.30,0.27,0.30,2600,3.00
2015-02-06,0.33,0.45,0.25,0.27,13200,2.70
2015-02-05,0.33,0.33,0.30,0.32,3500,3.20
2015-02-04,0.33,0.33,0.30,0.30,2600,3.00
2015-02-03,0.38,0.38,0.29,0.32,1700,3.20
2015-02-02,0.35,0.40,0.25,0.35,9900,3.50
2015-01-30,0.48,0.66,0.39,0.45,1500,4.50
2015-01-29,0.48,0.48,0.40,0.45,1400,4.50
2015-01-28,0.34,0.70,0.34,0.50,2400,5.00
2015-01-27,0.38,0.40,0.34,0.38,2300,3.80
2015-01-26,0.42,0.42,0.37,0.37,1400,3.70
2015-01-23,0.45,0.45,0.44,0.44,400,4.40
2015-01-22,0.45,0.55,0.45,0.49,1000,4.90
2015-01-21,0.55,0.55,0.50,0.50,1200,5.00
2015-01-20,0.48,0.55,0.48,0.55,400,5.50
2015-01-16,0.55,0.55,0.50,0.55,1000,5.50
2015-01-15,0.55,0.60,0.50,0.55,900,5.50
2015-01-14,0.50,0.58,0.50,0.58,1400,5.80
2015-01-13,0.60,0.60,0.47,0.60,700,6.00
2015-01-12,0.65,0.65,0.59,0.60,1600,6.00
2015-01-09,0.70,0.70,0.60,0.70,1600,7.00
2015-01-08,0.60,0.69,0.60,0.69,700,6.90
2015-01-07,0.60,0.69,0.60,0.65,1800,6.50
2015-01-06,0.55,0.64,0.55,0.64,3800,6.40
2015-01-05,0.55,0.62,0.55,0.62,1700,6.20
2015-01-02,0.58,0.65,0.58,0.62,1400,6.20
2014-12-31,0.55,0.65,0.55,0.64,1300,6.40
2014-12-30,0.55,0.60,0.55,0.60,1000,6.00
2014-12-29,0.59,0.62,0.55,0.61,3900,6.10
2014-12-26,0.56,0.60,0.55,0.60,800,6.00
2014-12-24,0.48,0.63,0.48,0.56,4800,5.60
2014-12-23,0.49,0.54,0.49,0.54,1900,5.40
2014-12-22,0.75,0.75,0.38,0.56,2100,5.60
2014-12-19,0.34,0.75,0.34,0.75,3400,7.50
2014-12-18,0.37,0.43,0.34,0.40,1500,4.00
2014-12-17,0.44,0.44,0.35,0.36,3400,3.60
2014-12-16,0.34,0.44,0.34,0.44,2000,4.40
2014-12-15,0.49,0.49,0.35,0.40,3000,4.00
2014-12-12,0.45,0.49,0.41,0.49,3200,4.90
2014-12-11,0.50,0.50,0.45,0.50,400,5.00
2014-12-10,0.54,0.55,0.48,0.50,4000,5.00
2014-12-09,0.55,0.59,0.50,0.54,4100,5.40
2014-12-08,0.63,0.63,0.59,0.60,2000,6.00
2014-12-05,0.65,0.65,0.60,0.61,600,6.10
2014-12-04,0.68,0.68,0.57,0.66,2000,6.60
2014-12-03,0.67,0.67,0.60,0.66,5400,6.60
2014-12-02,0.75,0.75,0.65,0.70,2200,7.00
2014-12-01,0.80,0.80,0.75,0.75,1100,7.50
2014-11-28,0.82,0.82,0.82,0.82,100,8.20
2014-11-26,0.82,0.82,0.82,0.82,200,8.20
2014-11-25,0.85,0.85,0.82,0.82,700,8.20
2014-11-24,0.90,0.90,0.80,0.85,1200,8.50
2014-11-21,0.85,0.90,0.85,0.90,2400,9.00
2014-11-20,0.93,0.93,0.80,0.80,900,8.00
2014-11-19,0.75,0.91,0.74,0.91,4200,9.100001
2014-11-18,0.89,0.89,0.60,0.71,3200,7.10
2014-11-17,0.90,0.95,0.76,0.85,2300,8.50
2014-11-14,0.95,0.95,0.85,0.95,2100,9.50
2014-11-13,1.00,1.00,0.85,0.93,3600,9.30
2014-11-12,1.05,1.05,0.91,1.00,4700,10.00
2014-11-11,1.11,1.11,0.70,1.05,3300,10.499999
2014-11-10,1.17,1.17,1.06,1.11,600,11.100001
2014-11-07,1.17,1.22,1.15,1.17,3200,11.70
2014-11-06,1.20,1.27,1.17,1.17,4800,11.70
2014-11-05,1.21,1.27,1.21,1.27,900,12.70
2014-11-04,1.28,1.28,1.21,1.27,4300,12.70
2014-11-03,1.30,1.30,1.25,1.25,2400,12.50
2014-10-31,1.22,1.34,1.21,1.30,1200,12.999999
2014-10-30,1.28,1.34,1.28,1.32,1800,13.200001
2014-10-29,1.27,1.29,1.25,1.25,800,12.50
2014-10-28,1.30,1.34,1.27,1.27,3400,12.70
2014-10-27,1.28,1.30,1.19,1.30,1800,12.999999
2014-10-24,1.35,1.35,1.30,1.35,1300,13.50
2014-10-23,1.40,1.40,1.25,1.35,1000,13.50
2014-10-22,1.40,1.40,1.28,1.38,1600,13.80
2014-10-21,1.40,1.40,1.25,1.39,1200,13.90
2014-10-20,1.35,1.45,1.27,1.40,300,14.00
2014-10-17,1.39,1.39,1.39,1.39,100,13.90
2014-10-16,1.39,1.40,1.24,1.39,1700,13.90
2014-10-15,1.30,1.40,1.25,1.39,1100,13.90
2014-10-14,1.25,1.40,1.25,1.30,4500,12.999999
2014-10-13,1.20,1.25,1.11,1.25,500,12.50
2014-10-10,1.35,1.35,1.24,1.29,1100,12.90
2014-10-09,1.36,1.46,1.26,1.44,900,14.400001
2014-10-08,1.39,1.48,1.39,1.46,600,14.600001
2014-10-07,1.39,1.43,1.39,1.43,700,14.299999
2014-10-06,1.45,1.45,1.39,1.44,1000,14.400001
2014-10-03,1.51,1.51,1.45,1.49,900,14.90
2014-10-02,1.50,1.65,1.50,1.63,1000,16.299999
2014-10-01,1.61,1.66,1.50,1.50,500,15.00
2014-09-30,1.64,1.64,1.56,1.56,100,15.60
2014-09-29,1.69,1.69,1.69,1.69,000,16.900002
2014-09-26,1.62,1.71,1.62,1.69,600,16.900002
2014-09-25,1.65,1.79,1.60,1.62,300,16.200001
2014-09-24,1.65,1.81,1.65,1.81,100,18.099999
2014-09-23,1.55,1.85,1.55,1.85,1000,18.50
2014-09-22,1.70,1.80,1.59,1.59,1600,15.900001
