Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,24.50,24.636,23.450001,23.67,581700,23.67
2016-01-22,25.110001,25.325001,24.27,24.610001,673100,24.610001
2016-01-21,22.719999,25.08,22.030001,24.24,759600,24.24
2016-01-20,23.209999,23.66,21.620001,22.629999,1944800,22.629999
2016-01-19,25.299999,25.709999,23.02,24.02,1739400,24.02
2016-01-15,26.040001,26.315001,24.52,25.190001,1183300,25.190001
2016-01-14,26.68,27.139999,25.75,26.84,485200,26.84
2016-01-13,27.00,27.200001,26.00,26.73,1231600,26.73
2016-01-12,27.200001,27.427,26.639999,26.82,799200,26.82
2016-01-11,27.10,27.50,26.950001,27.120001,808100,27.120001
2016-01-08,27.059999,27.76,26.93,27.17,455900,27.17
2016-01-07,26.549999,27.319,26.459999,26.969999,661500,26.969999
2016-01-06,26.459999,27.23,26.02,27.049999,616300,27.049999
2016-01-05,27.91,28.00,26.27,26.77,917700,26.77
2016-01-04,28.940001,29.030001,27.200001,27.41,1312000,27.41
2015-12-31,30.219999,31.00,29.99,30.08,304900,30.08
2015-12-30,31.459999,31.459999,30.00,30.209999,297400,30.209999
2015-12-29,29.209999,31.309999,29.209999,31.10,888100,31.10
2015-12-28,28.280001,28.93,28.00,28.90,342600,28.90
2015-12-24,28.33,28.889999,27.51,28.209999,470800,28.209999
2015-12-23,30.57,30.57,28.35,28.49,1071300,28.49
2015-12-22,30.16,30.74,29.559999,30.10,954100,30.10
2015-12-21,28.84,29.860001,28.75,29.35,876700,29.35
2015-12-18,27.90,28.24,27.66,28.219999,794300,28.219999
2015-12-17,26.940001,28.18,26.65,28.01,626900,28.01
2015-12-16,26.75,26.950001,26.469999,26.540001,483700,26.540001
2015-12-15,26.389999,26.948999,26.299999,26.50,1086400,26.50
2015-12-14,27.50,27.860001,26.110001,26.26,1223500,26.26
2015-12-11,27.85,28.50,27.48,27.50,2285000,27.50
2015-12-10,27.67,28.50,26.50,27.780001,15007300,27.780001
2015-12-09,21.00,21.00,21.00,21.00,000,21.00
