Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,3.07,3.07,2.90,3.02,160700,3.02
2016-01-22,3.10,3.25,3.06,3.11,116000,3.11
2016-01-21,3.05,3.13,2.97,3.07,80600,3.07
2016-01-20,2.95,3.09,2.67,3.03,236300,3.03
2016-01-19,2.87,3.25,2.87,2.98,282100,2.98
2016-01-15,3.00,3.10,2.57,3.10,559600,3.10
2016-01-14,3.51,3.51,2.90,3.00,797100,3.00
2016-01-13,4.10,4.27,3.05,3.41,3410600,3.41
2016-01-12,3.00,3.00,3.00,3.00,000,3.00
2016-01-11,3.44,3.52,2.98,3.00,651500,3.00
2016-01-08,3.00,3.77,2.83,3.52,467900,3.52
2016-01-07,3.69,3.81,3.16,3.44,337500,3.44
2016-01-06,4.16,4.22,3.65,3.69,365300,3.69
2016-01-05,4.28,4.30,4.12,4.16,155000,4.16
2016-01-04,4.31,4.43,4.10,4.24,188600,4.24
2015-12-31,4.51,4.92,4.44,4.44,122300,4.44
2015-12-30,4.45,4.66,4.45,4.51,84900,4.51
2015-12-29,4.57,4.59,4.45,4.53,124100,4.53
2015-12-28,4.62,4.75,4.50,4.53,66200,4.53
2015-12-24,4.66,4.69,4.41,4.58,128000,4.58
2015-12-23,4.65,4.75,4.63,4.74,45200,4.74
2015-12-22,4.72,4.72,4.57,4.60,48400,4.60
2015-12-21,4.70,4.80,4.60,4.71,63100,4.71
2015-12-18,4.80,4.98,4.29,4.42,321800,4.42
2015-12-17,4.98,5.10,4.66,4.80,90400,4.80
2015-12-16,4.99,5.12,4.95,4.96,115900,4.96
2015-12-15,5.15,5.15,4.89,4.96,152700,4.96
2015-12-14,5.03,5.32,5.00,5.10,162700,5.10
2015-12-11,5.11,5.15,4.95,5.03,67700,5.03
2015-12-10,5.20,5.26,5.03,5.11,132300,5.11
2015-12-09,5.21,5.49,4.92,5.19,294000,5.19
2015-12-08,5.00,5.40,5.00,5.29,150800,5.29
2015-12-07,5.13,5.44,5.04,5.20,213700,5.20
2015-12-04,4.99,5.21,4.65,5.12,156700,5.12
2015-12-03,5.05,5.42,4.90,4.92,63600,4.92
2015-12-02,5.20,5.20,4.82,5.05,160800,5.05
2015-12-01,4.94,5.37,4.80,5.13,281700,5.13
2015-11-30,4.68,4.90,4.59,4.81,104000,4.81
2015-11-27,4.39,4.62,4.39,4.59,20000,4.59
2015-11-25,4.23,4.46,4.20,4.44,61200,4.44
2015-11-24,4.19,4.24,4.15,4.24,22900,4.24
2015-11-23,4.13,4.21,4.10,4.19,40500,4.19
2015-11-20,4.16,4.23,4.10,4.11,54600,4.11
2015-11-19,4.23,4.24,4.19,4.19,42900,4.19
2015-11-18,4.15,4.24,4.10,4.23,71900,4.23
2015-11-17,4.18,4.24,4.15,4.24,20800,4.24
2015-11-16,4.15,4.26,4.15,4.17,13000,4.17
2015-11-13,4.25,4.33,4.15,4.22,20200,4.22
2015-11-12,4.12,4.32,4.12,4.25,32100,4.25
2015-11-11,4.24,4.31,4.15,4.20,19900,4.20
2015-11-10,4.29,4.29,4.20,4.20,33800,4.20
2015-11-09,4.22,4.30,4.14,4.29,47500,4.29
2015-11-06,4.25,4.35,4.09,4.22,30500,4.22
2015-11-05,4.30,4.30,4.22,4.23,18000,4.23
2015-11-04,4.35,4.35,4.27,4.30,27300,4.30
2015-11-03,4.26,4.36,4.26,4.34,15300,4.34
2015-11-02,4.26,4.43,4.20,4.25,53200,4.25
2015-10-30,4.38,4.41,4.19,4.26,39400,4.26
2015-10-29,4.25,4.40,4.25,4.39,9700,4.39
2015-10-28,4.30,4.56,4.19,4.26,78100,4.26
2015-10-27,4.41,4.43,4.11,4.35,86100,4.35
2015-10-26,4.23,4.44,4.20,4.37,38400,4.37
2015-10-23,4.33,4.33,4.21,4.25,15200,4.25
