Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,21.705999,21.73,21.705999,21.709999,500,21.709999
2016-01-22,21.799999,21.799999,21.65,21.74,9000,21.74
2016-01-21,21.737,21.74,21.737,21.74,600,21.74
2016-01-20,21.709999,21.74,21.610001,21.74,25600,21.74
2016-01-19,21.709999,21.780001,21.709999,21.780001,32800,21.780001
2016-01-15,21.450001,21.77,21.450001,21.77,19300,21.77
2016-01-14,21.75,21.862,21.75,21.860001,16600,21.860001
2016-01-13,21.952999,21.952999,21.745001,21.745001,8400,21.745001
2016-01-12,21.860001,22.00,21.860001,22.00,10800,22.00
2016-01-11,21.940001,22.003,21.85,21.98,17300,21.98
2016-01-08,22.101999,22.120001,22.02,22.02,1800,22.02
2016-01-07,22.131001,22.204,22.10,22.120001,12800,22.120001
2016-01-06,22.299999,22.32,22.231001,22.309999,24700,22.309999
2016-01-05,22.421,22.427999,22.370001,22.41,9500,22.41
2016-01-04,22.299999,22.41,22.299999,22.41,3000,22.41
2015-12-31,22.51,22.51,22.50,22.50,200,22.50
2015-12-30,22.530001,22.569,22.52,22.549999,15000,22.549999
2015-12-29,22.559999,22.59,22.530001,22.58,5700,22.58
2015-12-28,22.493999,22.549999,22.493999,22.549999,1100,22.549999
2015-12-24,22.52,22.549999,22.52,22.540001,400,22.540001
2015-12-23,22.559999,22.559999,22.50,22.559999,3200,22.559999
2015-12-22,22.414,22.559999,22.414,22.559999,1000,22.559999
2015-12-21,22.48,22.50,22.33,22.50,900,22.50
2015-12-18,22.450001,22.471001,22.360001,22.41,10000,22.41
2015-12-17,22.701,22.701,22.610001,22.610001,900,22.610001
2015-12-16,22.719999,22.85,22.559999,22.84,41100,22.84
2015-12-15,22.57,22.620001,22.545,22.559999,900,22.559999
2015-12-14,22.287001,22.40,22.25,22.40,7400,22.40
2015-12-11,22.48,22.48,22.33,22.40,11800,22.40
2015-12-10,22.738001,22.782,22.73,22.73,6200,22.73
2015-12-09,22.865999,22.865999,22.620001,22.68,300,22.68
2015-12-08,22.84,22.889999,22.771,22.84,23000,22.84
2015-12-07,23.10,23.10,22.799999,22.92,19400,22.92
2015-12-04,22.870001,23.209999,22.870001,23.190001,43200,23.190001
2015-12-03,22.77,22.799999,22.639999,22.719999,4000,22.719999
2015-12-02,22.889,22.940001,22.84,22.84,4900,22.84
2015-12-01,22.93,22.940001,22.854,22.940001,3900,22.940001
2015-11-30,22.820999,22.860001,22.82,22.860001,20500,22.860001
2015-11-27,22.825001,22.893,22.825001,22.879999,1100,22.879999
2015-11-25,22.844999,22.875,22.839001,22.870001,1700,22.870001
2015-11-24,22.790001,22.879999,22.784,22.879999,51500,22.879999
2015-11-23,22.844999,22.860001,22.799999,22.860001,10700,22.860001
2015-11-20,22.823999,22.85,22.823999,22.85,500,22.85
2015-11-19,22.796,22.801001,22.796,22.799999,900,22.799999
2015-11-18,22.660999,22.809999,22.660999,22.809999,12700,22.809999
2015-11-17,22.674999,22.705999,22.65,22.65,2100,22.65
2015-11-16,22.459999,22.700001,22.42,22.700001,900,22.700001
2015-11-13,22.43,22.43,22.43,22.43,100,22.43
2015-11-12,22.540001,22.74,22.540001,22.60,239600,22.60
2015-11-11,22.860001,22.90,22.83,22.83,4300,22.83
2015-11-10,22.893999,22.950001,22.889999,22.950001,12100,22.950001
2015-11-09,22.971001,22.971001,22.790001,22.91,2600,22.91
2015-11-06,23.038,23.040001,22.950001,23.040001,3000,23.040001
2015-11-05,23.08,23.08,23.049999,23.08,400,23.08
2015-11-04,23.08,23.120001,23.051001,23.120001,43300,23.120001
2015-11-03,23.15,23.209999,23.15,23.18,115400,23.18
2015-11-02,23.059999,23.15,23.049999,23.15,3200,23.15
2015-10-30,23.049999,23.07,23.040001,23.040001,4500,23.040001
2015-10-29,23.08,23.16,23.02,23.07,3400,23.07
2015-10-28,23.02,23.23,23.02,23.23,2500,23.23
2015-10-27,23.044001,23.07,22.959999,23.02,21600,23.02
2015-10-26,23.110001,23.110001,23.049999,23.08,8100,23.08
2015-10-23,23.01,23.08,23.01,23.08,7000,23.08
2015-10-22,22.820999,23.00,22.820999,23.00,6200,23.00
2015-10-21,22.875999,22.875999,22.809999,22.809999,600,22.809999
2015-10-20,22.774,22.809999,22.774,22.809999,2400,22.809999
2015-10-19,22.790001,22.85,22.790001,22.85,12400,22.85
2015-10-16,22.805,22.860001,22.805,22.860001,1700,22.860001
2015-10-15,22.757,22.84,22.75,22.84,15300,22.84
2015-10-14,22.774,22.790001,22.719999,22.780001,297000,22.780001
2015-10-13,22.785,22.785,22.74,22.76,700,22.76
2015-10-12,22.797001,22.82,22.76,22.82,5200,22.82
2015-10-09,22.75,22.82,22.75,22.82,10100,22.82
2015-10-08,22.746,22.799999,22.68,22.799999,3600,22.799999
2015-10-07,22.663,22.799999,22.66,22.799999,1600,22.799999
2015-10-06,22.68,22.68,22.584,22.629999,2700,22.629999
2015-10-05,22.620001,22.799999,22.620001,22.799999,15700,22.799999
2015-10-02,22.08,22.58,22.08,22.58,2700,22.58
2015-10-01,22.344999,22.379999,22.23,22.379999,7400,22.379999
2015-09-30,22.233999,22.32,22.209999,22.32,30100,22.32
2015-09-29,22.110001,22.15,22.10,22.120001,10100,22.120001
2015-09-28,22.16,22.200001,22.10,22.16,54000,22.16
2015-09-25,22.809999,22.809999,22.629999,22.629999,1300,22.629999
2015-09-24,22.73,22.73,22.73,22.73,100,22.73
2015-09-23,22.709999,22.790001,22.709999,22.790001,25700,22.790001
2015-09-22,22.719999,22.77,22.67,22.77,10400,22.77
2015-09-21,22.83,22.879999,22.82,22.879999,14000,22.879999
2015-09-18,22.530001,22.92,22.530001,22.92,12800,22.92
2015-09-17,22.811001,22.889999,22.790001,22.889999,11500,22.889999
2015-09-16,22.790001,22.83,22.790001,22.83,2000,22.83
2015-09-15,22.870001,22.870001,22.801001,22.84,2800,22.84
2015-09-14,22.91,22.91,22.91,22.91,000,22.91
2015-09-11,22.870001,22.91,22.860001,22.91,13800,22.91
2015-09-10,22.91,22.91,22.91,22.91,000,22.91
2015-09-09,22.85,22.924,22.84,22.91,10400,22.91
2015-09-08,22.90,22.90,22.90,22.90,100,22.90
2015-09-04,22.902,23.01,22.879999,22.93,14700,22.93
2015-09-03,22.90,22.940001,22.889999,22.90,12400,22.90
2015-09-02,22.860001,22.860001,22.700001,22.85,3700,22.85
2015-09-01,22.856001,22.856001,22.709999,22.709999,4400,22.709999
2015-08-31,23.10,23.209999,23.00,23.030001,10900,23.030001
2015-08-28,23.18,23.24,23.17,23.209999,13400,23.209999
2015-08-27,23.120001,23.27,23.110001,23.27,1900,23.27
2015-08-26,22.299999,22.790001,22.299999,22.790001,11400,22.790001
2015-08-25,22.50,22.700001,21.68,22.07,14000,22.07
2015-08-24,22.01,22.43,20.870001,22.43,16300,22.43
2015-08-21,23.74,23.74,23.24,23.26,14300,23.26
2015-08-20,24.038,24.038,24.030001,24.030001,2400,24.030001
2015-08-19,24.219999,24.257999,24.219999,24.23,16000,24.23
2015-08-18,24.33,24.33,24.33,24.33,200,24.33
2015-08-17,24.24,24.379999,24.200001,24.379999,52400,24.379999
2015-08-14,24.24,24.24,24.24,24.24,200,24.24
2015-08-13,24.09,24.15,24.09,24.09,1400,24.09
2015-08-12,24.00,24.10,23.940001,24.10,17600,24.10
2015-08-11,23.879999,24.18,23.879999,24.17,24700,24.17
2015-08-10,24.200001,24.200001,24.120001,24.120001,8700,24.120001
2015-08-07,24.027,24.139999,23.959999,24.139999,19600,24.139999
2015-08-06,24.10,24.10,23.99,24.02,15500,24.02
2015-08-05,24.235001,24.309999,24.209999,24.299999,10000,24.299999
2015-08-04,24.280001,24.290001,24.190001,24.190001,56500,24.190001
2015-08-03,24.33,24.33,24.33,24.33,000,24.33
2015-07-31,24.409,24.409,24.33,24.33,3100,24.33
2015-07-30,24.290001,24.389999,24.290001,24.370001,5100,24.370001
2015-07-29,24.23,24.389999,24.23,24.370001,41200,24.370001
2015-07-28,24.02,24.24,24.00,24.214001,52300,24.214001
2015-07-27,24.10,24.132,23.940001,23.99,18300,23.99
2015-07-24,24.309999,24.309999,24.181999,24.181999,5800,24.181999
2015-07-23,24.27,24.27,24.23,24.23,20700,24.23
2015-07-22,24.237,24.299999,24.237,24.280001,34000,24.280001
2015-07-21,24.290001,24.299999,24.252001,24.280001,44300,24.280001
2015-07-20,24.306,24.320999,24.299999,24.320999,2100,24.320999
2015-07-17,24.26,24.304001,24.26,24.304001,1400,24.304001
2015-07-16,24.309999,24.309999,24.309999,24.309999,700,24.309999
2015-07-15,24.26,24.299999,24.25,24.299999,12300,24.299999
2015-07-14,24.212,24.379999,24.212,24.309999,104400,24.309999
2015-07-13,24.15,24.23,24.129999,24.212,17300,24.212
2015-07-10,23.785999,23.940001,23.73,23.940001,13600,23.940001
2015-07-09,23.790001,23.790001,23.549999,23.549999,14400,23.549999
