Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,50.349998,51.009998,50.00,50.080002,7622100,50.080002
2016-01-22,50.84,51.23,50.139999,50.299999,6335600,50.299999
2016-01-21,49.66,50.860001,49.009998,49.830002,10093900,49.830002
2016-01-20,47.91,49.279999,47.400002,49.009998,13410100,49.009998
2016-01-19,48.619999,48.93,47.810001,48.220001,9025900,48.220001
2016-01-15,47.889999,48.689999,46.73,48.029999,15786800,48.029999
2016-01-14,49.98,50.669998,49.529999,50.029999,10401000,50.029999
2016-01-13,51.52,51.810001,49.799999,49.82,6753100,49.82
2016-01-12,51.73,51.84,50.830002,51.529999,5046700,51.529999
2016-01-11,50.830002,51.50,50.48,51.209999,7000500,51.209999
2016-01-08,51.52,51.98,50.240002,50.360001,9600900,50.360001
2016-01-07,52.389999,52.950001,51.369999,51.700001,10477500,51.700001
2016-01-06,52.950001,53.889999,52.720001,53.419998,8474800,53.419998
2016-01-05,54.27,54.470001,53.549999,53.77,6131900,53.77
2016-01-04,53.549999,54.34,53.369999,54.34,7835500,54.34
2015-12-31,56.049999,56.299999,54.810001,54.810001,6414700,54.810001
2015-12-30,57.02,57.18,56.09,56.16,3002200,56.16
2015-12-29,56.75,57.439999,56.419998,57.02,2752100,57.02
2015-12-28,56.41,56.669998,55.77,56.419998,2930100,56.419998
2015-12-24,56.970001,56.970001,56.529999,56.75,1681200,56.75
2015-12-23,56.060001,56.709999,55.169998,56.700001,5776600,56.700001
2015-12-22,56.189999,56.419998,55.209999,55.610001,4410500,55.610001
2015-12-21,55.349998,55.830002,54.93,55.82,4201800,55.82
2015-12-18,56.040001,56.490002,54.799999,54.939999,11893400,54.939999
2015-12-17,58.189999,58.23,56.50,56.529999,6228000,56.529999
2015-12-16,58.259998,58.259998,56.900002,58.07,5897600,58.07
2015-12-15,57.299999,57.939999,56.849998,57.549999,7542800,57.549999
2015-12-14,56.450001,56.720001,55.830002,56.220001,5082300,56.220001
2015-12-11,56.139999,56.759998,56.099998,56.209999,5205700,56.209999
2015-12-10,56.98,57.470001,56.630001,56.93,4303500,56.93
2015-12-09,57.50,57.669998,56.290001,56.759998,4541800,56.759998
2015-12-08,57.759998,57.91,57.02,57.669998,3658300,57.669998
2015-12-07,58.799999,58.830002,58.110001,58.349998,3914200,58.349998
2015-12-04,57.52,58.959999,57.490002,58.880001,6348800,58.880001
2015-12-03,57.970001,58.220001,57.119999,57.689999,9689300,57.689999
2015-12-02,58.200001,58.330002,57.439999,57.549999,5144800,57.549999
2015-12-01,57.470001,58.849998,57.419998,58.310001,4997400,58.310001
2015-11-30,57.619999,58.34,57.50,58.119999,5569900,58.119999
2015-11-27,57.279999,57.77,57.009998,57.549999,1507600,57.549999
2015-11-25,57.849998,57.860001,57.23,57.27,3152600,57.27
2015-11-24,57.299999,57.950001,56.860001,57.849998,4655300,57.849998
2015-11-23,58.200001,58.25,57.310001,57.349998,4296800,57.349998
2015-11-20,58.349998,58.349998,57.810001,58.119999,4252500,58.119999
2015-11-19,58.099998,58.290001,57.50,57.950001,4076200,57.950001
2015-11-18,57.209999,58.009998,56.880001,57.959999,4029700,57.959999
2015-11-17,56.900002,57.48,56.75,57.07,4265800,57.07
2015-11-16,56.02,56.889999,56.00,56.880001,5995100,56.880001
2015-11-13,56.669998,57.119999,56.009998,56.130001,5741700,56.130001
2015-11-12,57.139999,57.369999,56.66,56.669998,4894800,56.669998
2015-11-11,57.470001,58.509998,57.040001,57.599998,6291800,57.599998
2015-11-10,56.490002,57.220001,56.380001,57.029999,5058700,57.029999
2015-11-09,57.23,57.650002,56.860001,57.209999,4478200,57.209999
2015-11-06,57.25,57.849998,56.700001,57.630001,6387000,57.630001
2015-11-05,57.00,57.740002,56.830002,57.400002,5768400,57.400002
2015-11-04,57.209999,57.41,56.799999,56.950001,5096000,56.950001
2015-11-03,56.990002,57.43,56.810001,57.150002,4268400,57.150002
2015-11-02,56.900002,57.189999,56.709999,56.990002,5492600,56.990002
2015-10-30,56.990002,57.00,56.400002,56.720001,7503400,56.720001
