Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,33.27,35.00,32.389999,32.560001,146100,32.560001
2016-01-22,33.68,34.52,32.139999,34.189999,211600,34.189999
2016-01-21,32.509998,34.150002,30.969999,31.07,206100,31.07
2016-01-20,28.60,34.830002,27.83,33.349998,354100,33.349998
2016-01-19,34.709999,35.029999,29.40,30.860001,255200,30.860001
2016-01-15,31.35,33.900002,30.860001,33.080002,185400,33.080002
2016-01-14,32.209999,37.009998,29.754,35.84,246500,35.84
2016-01-13,38.790001,39.080002,31.799999,32.07,253200,32.07
2016-01-12,38.029999,40.432999,34.389999,38.23,212900,38.23
2016-01-11,41.59,41.59,33.858002,36.50,239800,36.50
2016-01-08,45.130001,45.130001,40.509998,40.650002,174700,40.650002
2016-01-07,45.259998,46.759998,43.134998,43.506001,158100,43.506001
2016-01-06,49.560001,51.189999,47.709999,49.040001,318800,49.040001
2016-01-05,52.73,53.790001,50.830002,51.91,253500,51.91
2016-01-04,53.919998,54.290001,50.709999,52.169998,308700,52.169998
2015-12-31,58.380001,59.419998,57.849998,57.849998,62500,57.849998
2015-12-30,59.807999,60.299999,58.564999,59.07,38600,59.07
2015-12-29,58.150002,60.529999,58.150002,60.310001,93500,60.310001
2015-12-28,57.560001,57.580002,56.279999,57.119999,43500,57.119999
2015-12-24,57.93,59.02,57.73,58.560001,46800,58.560001
2015-12-23,56.349998,58.279999,56.299999,57.939999,158700,57.939999
2015-12-22,55.360001,55.900002,53.549999,54.91,201900,54.91
2015-12-21,54.869999,55.099998,53.130001,54.790001,103500,54.790001
2015-12-18,54.00,56.00,53.369999,53.939999,218900,53.939999
2015-12-17,58.330002,58.330002,54.509998,54.75,75800,54.75
2015-12-16,55.349998,57.759998,53.779999,57.380001,109600,57.380001
2015-12-15,51.610001,54.310001,51.060001,53.77,197900,53.77
2015-12-14,49.66,50.889999,46.75,49.599998,74600,49.599998
2015-12-11,52.400002,52.880001,48.970001,49.110001,205300,49.110001
2015-12-10,51.84,54.299999,51.50,53.740002,96500,53.740002
2015-12-09,53.389999,54.59,50.869999,51.860001,99200,51.860001
2015-12-08,50.41,54.880001,49.93,54.389999,130800,54.389999
2015-12-07,54.669998,54.669998,51.139999,51.52,151600,51.52
2015-12-04,50.700001,55.18,50.700001,55.029999,118600,55.029999
2015-12-03,56.279999,56.50,49.619999,50.560001,137500,50.560001
2015-12-02,57.75,59.240002,56.150002,56.43,123000,56.43
2015-12-01,57.900002,58.299999,55.389999,57.740002,103900,57.740002
2015-11-30,61.00,61.060001,55.75,56.509998,139300,56.509998
2015-11-27,59.599998,60.555,59.580002,60.349998,93500,60.349998
2015-11-25,57.48,59.52,57.48,59.200001,90500,59.200001
2015-11-24,56.720001,57.509998,55.759998,57.509998,99000,57.509998
2015-11-23,56.59,59.16,56.59,57.669998,113300,57.669998
2015-11-20,57.48,58.130001,56.200001,56.41,115900,56.41
2015-11-19,59.470001,59.610001,56.150002,56.50,134400,56.50
2015-11-18,55.119999,59.41,54.792,59.23,114400,59.23
2015-11-17,53.110001,55.619999,51.869999,54.400002,117200,54.400002
2015-11-16,50.880001,52.450001,49.00,52.360001,83000,52.360001
2015-11-13,49.919998,54.07,49.919998,51.849998,71600,51.849998
2015-11-12,10.50,10.74,10.03,10.04,344300,50.200002
2015-11-11,11.33,11.33,10.70,10.70,245800,53.500001
2015-11-10,10.85,11.26,10.74,11.18,357500,55.900002
2015-11-09,10.81,11.30,10.77,11.03,263100,55.150002
2015-11-06,11.09,11.25,10.40,11.01,76100,55.05
2015-11-05,11.70,11.70,10.80,11.15,90800,55.750001
2015-11-04,12.19,12.19,11.28,11.83,146300,59.150002
2015-11-03,11.78,12.21,11.37,11.95,122200,59.750001
2015-11-02,10.88,11.90,10.88,11.89,135100,59.450002
2015-10-30,11.06,11.08,10.57,10.68,72000,53.400002
2015-10-29,11.27,11.80,10.85,10.98,886200,54.900002
2015-10-28,10.74,11.26,10.21,11.23,196800,56.150002
2015-10-27,9.90,10.83,9.90,10.83,182400,54.150002
2015-10-26,9.67,10.36,9.35,9.90,993900,49.500001
2015-10-23,9.26,9.80,9.14,9.73,219000,48.650002
2015-10-22,8.83,9.04,8.26,8.91,177900,44.55
2015-10-21,9.39,9.462,8.00,8.77,1361000,43.849999
2015-10-20,9.74,9.85,8.87,8.91,117800,44.55
2015-10-19,9.55,10.29,9.15,9.86,613400,49.30
2015-10-16,9.69,10.04,9.27,9.69,118200,48.450001
2015-10-15,8.26,9.73,8.23,9.70,140000,48.500001
2015-10-14,8.62,9.079,8.28,8.59,102800,42.950001
2015-10-13,9.04,9.55,8.34,8.36,480900,41.80
2015-10-12,9.49,9.55,9.04,9.25,213900,46.250001
2015-10-09,9.16,9.50,8.81,9.23,70400,46.150002
2015-10-08,8.95,9.302,8.22,9.12,200900,45.599999
2015-10-07,8.79,9.47,8.29,9.19,665800,45.950001
2015-10-06,9.38,9.41,7.811,8.643,1227200,43.215001
2015-10-05,10.18,10.58,9.31,9.72,212800,48.599999
2015-10-02,8.36,9.97,8.36,9.96,191800,49.80
