Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,23.049999,23.049999,22.969999,22.969999,8700,22.969999
2016-01-22,23.15,23.200001,23.049999,23.174999,47700,23.174999
2016-01-21,22.73,22.99,22.690001,22.790001,7100,22.790001
2016-01-20,22.200001,22.325001,22.190001,22.23,12800,22.23
2016-01-19,23.08,23.08,22.77,22.889999,3200,22.889999
2016-01-15,22.870001,22.940001,22.74,22.940001,2400,22.940001
2016-01-14,23.030001,23.26,23.02,23.24,4000,23.24
2016-01-13,23.540001,23.549999,23.17,23.171,8700,23.171
2016-01-12,23.32,23.32,23.32,23.32,500,23.32
2016-01-11,23.450001,23.459999,23.16,23.200001,22600,23.200001
2016-01-08,23.799999,23.870001,23.34,23.34,35100,23.34
2016-01-07,23.82,23.950001,23.709999,23.709999,4300,23.709999
2016-01-06,24.190001,24.190001,24.000999,24.000999,2400,24.000999
2016-01-05,24.334,24.379999,24.334,24.34,900,24.34
2016-01-04,24.17,24.216999,24.10,24.190001,4600,24.190001
2015-12-31,24.98,24.98,24.98,24.98,000,24.98
2015-12-30,25.002001,25.002001,24.98,24.98,5100,24.98
2015-12-29,25.02,25.02,25.02,25.02,700,25.02
2015-12-28,24.780001,24.780001,24.66,24.76,38800,24.76
2015-12-24,24.82,24.889999,24.82,24.870001,20200,24.870001
2015-12-23,24.77,24.90,24.690001,24.90,58300,24.90
2015-12-22,24.42,24.65,24.41,24.65,31100,24.65
2015-12-21,24.370001,24.41,24.24,24.290001,8500,24.290001
2015-12-18,24.379999,24.40,24.15,24.15,16900,24.15
2015-12-17,24.725,24.77,24.67,24.67,39000,24.67
2015-12-16,24.75,24.92,24.528,24.92,106200,24.92
2015-12-15,24.549999,24.598,24.497,24.50,12000,24.50
2015-12-14,24.24,24.271,24.122,24.202999,70600,24.202999
2015-12-11,24.42,24.48,24.35,24.370001,96400,24.370001
2015-12-10,24.549999,24.549999,24.549999,24.549999,4800,24.549999
2015-12-09,24.75,24.90,24.549999,24.68,2800,24.68
2015-12-08,24.780001,24.870001,24.780001,24.870001,154300,24.870001
2015-12-07,24.975,25.00,24.85,24.92,25100,24.92
2015-12-04,24.969999,25.17,24.969999,25.17,1500,25.17
2015-12-03,24.952999,24.952999,24.707001,24.707001,2100,24.707001
2015-12-02,25.389999,25.389999,25.087999,25.087999,18400,25.087999
2015-12-01,25.33,25.35,25.290001,25.309999,4339600,25.309999
2015-11-30,25.290001,25.290001,25.190001,25.190001,31200,25.190001
2015-11-27,25.267,25.267,25.26,25.26,700,25.26
2015-11-25,25.17,25.190001,25.17,25.190001,63600,25.190001
2015-11-24,24.98,25.139999,24.959999,25.129999,29400,25.129999
2015-11-23,25.190001,25.190001,25.190001,25.190001,1100,25.190001
2015-11-20,25.01,25.01,25.01,25.01,000,25.01
2015-11-19,25.01,25.01,25.01,25.01,500,25.01
2015-11-18,24.83,24.83,24.83,24.83,500,24.83
2015-11-13,24.549999,24.549999,24.35,24.35,1200,24.35
2015-11-12,24.809999,24.809999,24.75,24.75,800,24.75
2015-11-06,25.10,25.10,25.10,25.10,200,25.10
2015-11-05,25.23,25.24,25.23,25.24,300,25.24
