Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,33.25,33.25,33.189999,33.200001,1400,33.200001
2016-01-22,33.599998,33.599998,33.00,33.029999,1300,33.029999
2016-01-21,31.370001,33.740002,31.370001,33.459999,4100,33.459999
2016-01-20,32.349998,33.75,31.68,31.99,36200,31.99
2016-01-19,32.200001,33.740002,31.60,33.52,27100,33.52
2016-01-15,32.860001,32.860001,31.24,32.080002,48700,32.080002
2016-01-14,32.84,32.900002,32.700001,32.900002,4000,32.900002
2016-01-13,33.040001,33.200001,32.290001,32.889999,39300,32.889999
2016-01-12,32.950001,33.200001,32.00,33.00,46000,33.00
2016-01-11,33.009998,33.900002,32.00,32.790001,2800,32.790001
2016-01-08,33.279999,33.759998,32.759998,33.610001,2000,33.610001
2016-01-07,33.720001,33.720001,33.50,33.50,300,33.50
2016-01-06,31.959999,33.919998,31.549999,33.849998,4300,33.849998
2016-01-05,31.950001,31.98,31.50,31.98,600,31.98
2016-01-04,31.190001,32.00,31.190001,31.459999,10400,31.459999
2015-12-31,31.950001,32.00,31.52,31.52,600,31.52
2015-12-30,31.90,31.99,31.50,31.51,6300,31.51
2015-12-29,32.00,32.00,31.82,31.83,2100,31.83
2015-12-28,31.50,31.629999,31.50,31.540001,700,31.540001
2015-12-24,31.309999,32.00,31.309999,31.50,1000,31.50
2015-12-23,31.25,32.00,31.25,31.60,1100,31.60
2015-12-22,31.309999,32.00,31.309999,31.450001,1500,31.450001
2015-12-21,31.969999,32.00,31.360001,31.360001,1500,31.360001
2015-12-18,31.950001,32.00,31.60,32.00,1800,32.00
2015-12-17,31.219999,31.799999,31.219999,31.799999,700,31.799999
2015-12-16,31.790001,31.809999,31.76,31.799999,2400,31.799999
2015-12-15,31.32,31.77,31.299999,31.540001,3600,31.540001
2015-12-14,31.01,32.00,31.00,31.84,4000,31.84
2015-12-11,31.049999,31.370001,31.00,31.07,3400,31.07
2015-12-10,30.85,31.00,30.85,31.00,400,31.00
2015-12-09,30.01,30.049999,30.01,30.01,1600,30.01
2015-12-08,30.00,31.200001,29.65,30.450001,2800,30.450001
2015-12-07,31.059999,31.26,29.67,30.549999,4100,30.549999
2015-12-04,29.73,32.00,29.700001,32.00,6000,32.00
2015-12-03,30.25,30.25,30.24,30.25,1000,30.25
2015-12-02,30.049999,30.459999,29.700001,29.700001,7100,29.700001
2015-12-01,29.709999,29.73,29.709999,29.73,200,29.73
2015-11-30,31.389999,31.389999,30.16,30.299999,2100,30.299999
2015-11-27,31.370001,31.370001,31.370001,31.370001,700,31.370001
2015-11-25,31.129999,31.26,31.129999,31.15,2200,31.15
2015-11-24,30.00,31.40,30.00,30.99,5900,30.99
2015-11-23,31.77,31.77,30.049999,30.129999,1900,30.129999
2015-11-20,30.50,30.50,30.50,30.50,000,30.50
2015-11-19,31.10,31.10,30.469999,30.50,900,30.50
2015-11-18,30.040001,30.76,30.00,30.09,1400,30.09
2015-11-17,29.709999,30.01,29.709999,30.00,4200,30.00
2015-11-16,29.85,29.85,29.74,29.83,1900,29.83
2015-11-13,29.719999,29.719999,29.719999,29.719999,000,29.719999
2015-11-12,29.700001,29.75,29.700001,29.719999,900,29.719999
2015-11-11,30.85,30.85,30.85,30.85,800,30.85
2015-11-10,30.85,30.85,30.85,30.85,100,30.85
2015-11-09,32.029999,32.029999,32.029999,32.029999,100,32.029999
2015-11-06,29.25,32.18,28.93,32.150002,2700,32.150002
2015-11-05,30.26,31.75,30.26,31.75,2300,31.75
2015-11-04,30.17,30.25,30.17,30.25,400,30.13
2015-11-03,30.00,30.00,29.51,29.51,1600,29.392936
2015-11-02,28.99,29.40,28.99,29.40,4200,29.283372
2015-10-30,28.629999,28.629999,28.629999,28.629999,200,28.516426
2015-10-29,28.74,29.00,28.530001,28.530001,1100,28.416824
2015-10-28,28.60,28.60,28.60,28.60,000,28.486546
2015-10-27,28.50,28.60,28.50,28.60,600,28.486546
2015-10-26,28.549999,28.549999,28.549999,28.549999,200,28.436743
2015-10-23,28.549999,29.18,28.549999,29.18,400,29.064245
2015-10-22,29.209999,29.209999,29.209999,29.209999,100,29.094125
2015-10-21,28.51,28.51,28.51,28.51,700,28.396903
2015-10-20,28.75,29.01,28.75,29.01,700,28.89492
2015-10-19,28.93,28.93,28.93,28.93,200,28.815237
2015-10-16,28.950001,29.280001,28.93,28.93,600,28.815237
2015-10-15,28.40,29.190001,28.40,29.17,1500,29.054285
2015-10-14,28.559999,29.25,28.559999,29.25,400,29.133967
2015-10-13,28.950001,28.950001,28.950001,28.950001,100,28.835158
2015-10-12,28.85,29.02,28.25,29.02,700,28.90488
2015-10-09,28.309999,29.40,28.309999,29.40,1900,29.283372
2015-10-08,28.290001,28.549999,28.290001,28.549999,400,28.436743
2015-10-07,28.90,28.90,28.32,28.33,1100,28.217617
2015-10-06,28.41,28.52,28.41,28.52,400,28.406864
2015-10-05,28.299999,28.75,28.25,28.620001,3600,28.506467
2015-10-02,28.309999,28.75,28.309999,28.40,1500,28.287339
2015-10-01,28.41,29.35,28.41,28.75,5100,28.635951
2015-09-30,29.15,29.15,29.00,29.049999,4300,28.93476
2015-09-29,28.33,29.299999,28.32,29.299999,2800,29.183768
2015-09-28,28.360001,28.40,28.32,28.32,4100,28.207656
2015-09-25,28.60,28.60,28.35,28.40,8000,28.287339
2015-09-24,28.60,28.68,28.299999,28.50,5100,28.386943
2015-09-23,29.08,29.290001,27.440001,28.50,8000,28.386943
2015-09-22,29.00,29.049999,29.00,29.00,23900,28.884959
2015-09-21,29.09,29.40,29.049999,29.10,13300,28.984563
2015-09-18,29.00,29.00,29.00,29.00,12100,28.884959
2015-09-17,29.940001,30.200001,29.940001,30.200001,2500,30.0802
2015-09-16,29.50,30.00,29.50,29.950001,2900,29.831191
2015-09-15,29.450001,29.50,29.049999,29.49,2500,29.373015
2015-09-14,29.049999,29.450001,29.049999,29.40,1600,29.283372
2015-09-11,29.50,29.50,29.35,29.469999,2600,29.353094
2015-09-10,29.889999,29.889999,29.85,29.889999,1500,29.771428
2015-09-09,29.92,29.92,29.16,29.360001,1700,29.243532
2015-09-08,29.73,29.99,29.73,29.99,1700,29.871032
2015-09-04,29.040001,29.889999,29.040001,29.889999,200,29.771428
2015-09-03,29.860001,29.889999,29.10,29.209999,1700,29.094125
2015-09-02,29.940001,30.00,29.049999,29.059999,4000,28.944721
2015-09-01,29.40,29.799999,29.40,29.67,1000,29.552301
2015-08-31,29.040001,29.85,29.040001,29.10,400,28.984563
2015-08-28,28.98,29.940001,28.98,29.940001,700,29.821231
2015-08-27,29.950001,30.00,29.02,29.02,3500,28.90488
2015-08-26,30.00,30.00,28.870001,29.90,1000,29.781388
2015-08-25,30.00,30.00,30.00,30.00,200,29.880992
2015-08-24,28.51,30.00,28.51,28.559999,1600,28.446704
2015-08-21,29.860001,29.860001,29.860001,29.860001,000,29.741548
2015-08-20,29.860001,29.860001,29.860001,29.860001,000,29.741548
2015-08-19,29.379999,29.860001,28.92,29.860001,1500,29.741548
2015-08-18,29.200001,29.200001,29.059999,29.059999,1800,28.944721
2015-08-17,29.059999,29.200001,29.00,29.200001,2500,29.084166
2015-08-14,29.40,29.549999,29.40,29.549999,2100,29.432777
2015-08-13,29.25,29.440001,29.120001,29.190001,3000,29.074206
2015-08-12,29.040001,29.65,29.040001,29.10,2200,28.984563
2015-08-11,29.700001,29.709999,29.700001,29.709999,600,29.592142
