Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,9.67,9.67,9.43,9.43,500,9.43
2016-01-22,9.69,9.70,9.572,9.572,12000,9.572
2016-01-21,9.54,9.54,9.09,9.331,105500,9.331
2016-01-20,9.31,9.31,9.31,9.31,000,9.31
2016-01-19,9.31,9.31,9.31,9.31,1200,9.31
2016-01-15,9.56,9.56,9.17,9.35,1800,9.35
2016-01-14,9.54,9.788,9.41,9.69,3600,9.69
2016-01-13,9.90,9.90,9.52,9.52,1400,9.52
2016-01-12,10.00,10.00,9.75,9.804,1900,9.804
2016-01-11,10.01,10.094,9.868,9.868,2200,9.868
2016-01-08,10.06,10.06,10.06,10.06,300,10.06
2016-01-07,10.24,10.24,10.00,10.00,1400,10.00
2016-01-06,10.37,10.393,10.36,10.36,800,10.36
2016-01-05,10.457,10.50,10.43,10.50,700,10.50
2016-01-04,10.38,10.555,10.38,10.555,1500,10.555
2015-12-31,10.71,10.72,10.71,10.72,900,10.72
2015-12-30,10.849,10.849,10.70,10.71,6600,10.71
2015-12-29,10.81,10.81,10.72,10.72,600,10.72
2015-12-28,10.82,10.82,10.74,10.79,1900,10.79
2015-12-24,10.848,10.848,10.848,10.848,000,10.848
2015-12-23,10.73,10.848,10.73,10.848,500,10.848
2015-12-22,10.718,10.718,10.718,10.718,000,10.718
2015-12-21,10.68,10.718,10.67,10.718,4600,10.718
2015-12-18,10.47,10.57,10.389,10.57,3800,10.57
2015-12-17,10.478,10.519,10.42,10.42,1100,10.42
2015-12-16,10.145,10.40,10.145,10.39,10800,10.39
2015-12-15,9.827,9.827,9.827,9.827,1500,9.827
2015-12-14,9.74,9.74,9.68,9.72,5700,9.72
2015-12-11,9.69,9.74,9.69,9.74,8100,9.74
2015-12-10,9.80,9.81,9.79,9.81,5400,9.81
2015-12-09,9.56,9.77,9.56,9.763,7900,9.763
2015-12-08,9.34,9.37,9.34,9.37,300,9.37
2015-12-07,9.67,9.67,9.481,9.481,1500,9.481
2015-12-04,9.77,9.79,9.72,9.76,15900,9.76
2015-12-03,10.00,10.00,9.84,9.84,2200,9.84
2015-12-02,10.01,10.01,9.83,9.83,1600,9.83
2015-12-01,10.03,10.03,9.96,9.96,6400,9.96
2015-11-30,9.72,9.855,9.72,9.82,3300,9.82
2015-11-27,9.818,9.82,9.80,9.80,1500,9.80
2015-11-25,9.98,9.98,9.81,9.89,3500,9.89
2015-11-24,9.98,10.00,9.98,10.00,700,10.00
2015-11-23,10.00,10.14,10.00,10.016,6300,10.016
2015-11-20,10.09,10.09,9.98,9.98,800,9.98
2015-11-19,10.293,10.293,10.084,10.092,1600,10.092
2015-11-18,10.20,10.20,10.10,10.17,8800,10.17
2015-11-17,10.67,10.67,10.17,10.17,5600,10.17
2015-11-16,10.47,10.65,10.47,10.65,3700,10.65
2015-11-13,10.46,10.52,10.45,10.49,2400,10.49
2015-11-12,10.59,10.64,10.52,10.52,3100,10.52
2015-11-11,10.90,10.90,10.70,10.703,7300,10.703
2015-11-10,11.17,11.17,10.89,10.896,4700,10.896
2015-11-09,11.12,11.16,11.12,11.16,8300,11.16
2015-11-06,11.08,11.14,11.08,11.14,2600,11.14
2015-11-05,11.20,11.27,11.20,11.27,1900,11.125
2015-11-04,11.43,11.43,11.32,11.375,9800,11.228649
2015-11-03,11.279,11.279,11.279,11.279,000,11.133884
2015-11-02,11.217,11.279,11.217,11.279,1100,11.133884
2015-10-30,11.01,11.13,11.01,11.13,3000,10.986801
2015-10-29,11.01,11.01,11.01,11.01,200,10.868345
2015-10-28,11.02,11.02,10.93,10.93,800,10.789375
2015-10-27,10.83,10.83,10.72,10.79,2800,10.651176
2015-10-26,11.14,11.14,11.02,11.02,1000,10.878217
2015-10-23,11.27,11.27,11.12,11.122,1100,10.978904
2015-10-22,11.16,11.34,11.16,11.26,2600,11.115129
2015-10-21,11.25,11.25,11.18,11.19,5800,11.046029
2015-10-20,11.366,11.366,11.366,11.366,400,11.219765
2015-10-19,11.28,11.28,11.28,11.28,800,11.134871
2015-10-16,11.30,11.31,11.30,11.31,400,11.164486
2015-10-15,11.166,11.166,11.166,11.166,1000,11.022338
2015-10-14,11.16,11.219,11.16,11.214,4600,11.06972
2015-10-13,11.20,11.26,11.20,11.26,800,11.115129
2015-10-12,11.50,11.50,11.50,11.50,400,11.352041
2015-10-09,11.40,11.48,11.40,11.46,10100,11.312555
2015-10-08,11.16,11.20,11.16,11.20,400,11.0559
2015-10-07,11.06,11.10,11.02,11.10,5200,10.957188
2015-10-06,11.01,11.02,11.00,11.02,4900,10.878217
2015-10-05,10.61,10.97,10.61,10.97,1300,10.82886
2015-10-02,10.15,10.15,10.15,10.15,000,10.01941
2015-10-01,10.00,10.15,9.88,10.15,1600,10.01941
2015-09-30,9.981,10.068,9.981,10.068,5700,9.938465
2015-09-29,10.19,10.19,9.90,9.91,4500,9.782498
